_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
5652,38,867,635,157,1458,0.7,1187,2.4
5653,44,813,1028,80,2250,0.7,1625,2.5
5654,47,607,615,87,1281,0.7,880,2
5655,34,563,630,1,1199,0.7,1050,2.2
5660,32,0,725,0,1625,0.6,1437,2
5661,39,338,744,63,1350,0.8,1171,2.4
5670,48,1185,503,128,1239,0.8,886,2.2
5671,46,705,594,0,1281,0.7,914,1.9
5680,48,1277,588,180,1385,0.8,1079,2.3
5690,38,1281,688,160,1482,0.8,1239,2.5
5700,41,1170,581,177,1304,0.8,1051,2.3
5701,50,0,474,0,0,1,899,0
5710,35,1500,745,250,1729,0.8,1465,2.6
5713,26,0,899,0,0,0,0,0
5715,34,0,875,0,1374,1,1125,2.9
5717,31,0,833,0,0,0.5,1062,1
5719,47,0,833,0,2250,0.6,1042,1.2
5720,48,0,1059,118,2036,0.5,1488,1.6
5722,53,929,475,115,1300,0.7,708,1.8
5723,44,556,654,147,1341,0.8,841,1.9
5724,34,0,395,70,866,0.9,959,2.5
5725,30,2000,1548,198,2760,0.8,2477,2.7
5730,50,0,468,25,900,0.9,737,1.9
5731,39,0,1260,48,1583,0.8,1428,2.4
5732,43,0,568,90,814,0.7,762,2
5733,40,0,591,83,1208,0.8,833,2.3
5734,31,0,359,75,492,0.8,468,2.1
5950,0,0,0,0,0,0,0,0
5960,0,0,0,0,0,0,0,0
