_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
5472,0,28,26,6,13,70,0,66
5473,15,104,104,42,27,290,18,307
5480,12,102,106,61,34,318,9,330
5481,8,60,74,58,36,233,3,241
5482,8,53,48,42,42,184,7,191
5483,0,33,42,27,18,122,4,129
5485,0,53,86,41,32,212,6,223
5490,3,14,25,14,15,63,0,60
5491,29,224,267,122,73,719,26,746
5493,0,14,7,10,0,32,3,37
5495,6,90,90,39,24,244,14,258
5501,34,510,972,514,373,2407,83,2491
5502,9,116,221,128,71,546,18,558
5510,0,14,17,6,10,43,3,48
5520,3,92,83,36,14,236,8,244
5521,0,28,17,12,6,61,0,67
5522,38,239,220,64,39,598,24,628
5523,37,211,265,106,99,716,30,740
5540,610,2332,1906,656,370,5870,241,6113
5550,12,115,125,49,32,336,18,359
5552,0,36,43,32,26,128,3,131
5554,103,660,753,265,140,1922,80,2002
5555,0,45,74,38,29,187,4,194
5556,113,673,606,168,88,1661,69,1733
5558,90,740,724,237,126,1913,71,1982
5560,6,63,59,28,16,178,3,177
5570,4,96,92,18,16,232,15,244
5571,31,311,299,82,54,773,41,815
5572,0,9,22,9,17,60,0,62
5573,45,248,311,107,59,768,33,803
5575,30,324,322,136,98,916,33,945
5576,27,165,178,56,32,457,14,475
5577,0,74,81,30,30,213,8,221
5580,0,43,57,22,27,140,4,150
5581,9,92,90,34,13,241,3,252
5582,11,88,109,29,23,256,4,261
5583,15,142,127,30,19,339,17,354
5600,184,840,908,322,145,2395,91,2483
5601,17,49,70,28,16,183,10,196
5602,20,130,185,82,66,477,18,498
5603,0,42,53,36,24,153,3,155
5604,3,29,38,14,3,97,3,96
5605,45,289,260,75,43,706,33,740
5606,392,1921,2039,598,232,5185,207,5395
5607,30,379,764,306,176,1656,55,1711
5608,892,2187,1464,488,175,5213,280,5497
5609,26,220,275,92,40,654,14,671
5630,0,6,21,3,9,44,4,46
5631,8,114,150,67,40,378,11,382
5632,0,12,31,27,16,82,0,82
5633,4,31,47,19,23,121,3,121
5640,16,145,144,64,38,410,16,418
5641,9,88,148,72,51,368,7,379
5642,0,16,27,27,24,88,3,91
5650,0,11,18,12,10,60,3,65
5651,0,3,15,9,11,27,0,31
5652,15,74,88,61,26,259,9,269
5653,0,3,17,14,3,32,0,30
5654,4,20,37,16,14,92,8,95
5655,0,5,13,13,4,31,0,32
5660,0,3,0,3,8,15,0,15
5661,4,8,16,12,8,50,4,51
5670,4,61,76,32,17,184,3,193
5671,0,15,19,13,10,60,3,64
5680,20,213,315,118,80,746,48,792
5690,118,383,437,171,101,1206,80,1288
5700,461,1684,1325,437,158,4066,188,4252
5701,0,3,0,0,0,6,0,6
5710,16,195,322,130,78,740,32,766
5713,0,0,0,0,0,3,0,3
5715,0,0,4,3,3,7,0,7
5717,0,0,0,0,0,5,0,9
5719,0,3,8,0,4,15,3,18
5720,3,39,27,10,8,83,5,88
5722,10,52,46,22,10,145,9,150
5723,58,276,220,69,35,656,60,715
5724,32,53,9,12,11,120,4,122
5725,26,315,568,162,73,1150,32,1177
5730,0,13,7,4,5,37,0,37
5731,3,34,24,19,12,89,7,99
5732,16,31,14,3,6,66,3,67
5733,5,26,12,6,10,61,9,66
5734,19,18,9,4,0,48,11,55
5950,0,0,0,0,0,0,0,0
5960,0,0,0,0,0,0,0,0
