_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
5520,0,0,3,5,7,6,5,0,0,33,0,0,3,3,7,0,3,0,0,17,0,0,9,0,3,0,0,3,0,15,0,0,0,0,0,3,0,0,0,7,0,0,3,3,3,4,0,0,0,10,0,0,0,0,0,0,3,0,0,4,3,0,5,0,8,8,9,3,0,32,33,16,67,41,82,103,71,40,17,485
5521,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,12,0,5,17,24,20,23,12,3,120
5522,0,3,5,3,14,16,14,6,3,69,0,3,9,8,11,10,3,0,0,47,0,0,3,6,15,11,0,0,0,39,0,0,7,4,13,8,7,3,0,31,0,0,3,8,10,8,3,0,0,36,0,0,0,0,0,6,4,3,0,12,10,0,10,3,23,18,28,29,24,143,50,23,81,100,173,269,311,174,86,1267
5523,0,7,20,20,23,23,7,3,3,106,0,10,30,11,19,22,3,0,0,95,0,0,10,6,23,15,0,0,0,62,0,0,4,9,20,10,0,0,0,47,0,3,11,17,10,14,4,0,0,56,0,0,0,9,3,7,3,0,0,30,15,0,7,12,20,30,26,27,15,143,95,91,166,178,278,302,254,135,65,1562
5540,0,62,141,155,170,159,59,19,3,761,0,43,143,129,127,106,15,4,0,564,0,20,94,110,173,97,13,3,0,509,0,7,53,67,100,65,7,0,0,300,0,3,51,67,122,65,11,3,0,317,0,0,22,29,36,34,8,0,0,135,116,58,118,127,169,161,161,123,66,1104,1049,858,1598,1709,2158,2026,1743,1055,430,12621
5550,0,3,10,10,7,5,0,0,0,41,0,4,0,4,15,9,3,0,0,31,0,0,5,3,9,14,3,0,0,33,0,0,3,0,3,3,0,0,0,8,0,0,3,3,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,3,4,0,10,6,8,16,6,0,4,49,48,50,110,109,133,137,87,37,10,732
5552,0,0,3,4,4,8,3,0,0,23,0,0,0,3,4,3,0,0,0,12,0,0,3,3,9,0,0,0,0,13,0,0,0,6,0,4,3,0,0,13,0,0,0,3,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,6,0,0,11,7,3,4,11,3,0,37,22,4,52,53,61,47,54,14,7,310
5554,0,8,67,54,80,55,15,9,3,301,0,11,37,33,35,27,16,3,3,161,0,0,37,24,42,20,8,0,0,128,0,0,17,26,36,17,3,3,3,104,0,0,15,31,28,32,7,3,0,121,0,0,4,15,5,8,0,0,0,35,38,29,44,46,67,68,90,48,51,479,347,266,542,556,734,683,615,371,156,4271
5555,0,0,3,4,3,5,3,0,0,27,0,0,3,0,4,3,0,0,0,17,0,3,3,3,4,0,0,0,0,14,0,0,0,3,4,5,0,0,0,11,0,0,0,0,8,3,0,0,0,11,0,0,0,0,0,0,0,0,0,3,4,0,0,3,9,7,11,3,3,43,13,22,36,43,79,103,98,33,9,438
5556,0,11,32,32,42,48,28,4,0,196,0,9,25,18,20,34,15,3,0,125,0,0,17,10,21,19,7,0,0,86,0,0,10,12,18,10,0,0,0,54,0,0,12,18,24,13,6,0,0,70,0,0,8,11,7,10,13,0,0,45,16,12,31,13,44,52,74,67,64,374,178,142,352,341,527,715,730,370,115,3475
5558,0,5,27,34,57,62,41,12,0,241,0,0,24,23,35,31,12,5,0,130,0,0,15,24,34,27,10,4,0,114,0,0,9,17,16,12,3,5,0,65,0,0,14,15,25,23,6,5,3,84,0,0,0,4,10,13,7,3,0,33,18,11,29,23,41,91,96,44,26,375,213,164,371,367,618,828,951,474,174,4160
5560,0,0,11,3,3,7,0,0,0,20,0,0,0,3,0,0,0,0,0,6,0,0,0,5,7,0,3,0,0,12,0,0,0,3,5,0,0,0,0,6,0,0,0,5,3,3,3,0,0,14,0,0,0,0,0,0,3,0,0,4,0,0,0,3,6,9,4,3,3,35,19,13,37,61,65,61,77,25,13,374
5570,0,0,3,9,4,12,8,3,0,38,0,0,3,0,4,9,0,0,0,22,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,4,0,4,0,7,0,0,3,7,3,21,19,7,3,59,15,9,36,37,58,140,145,40,13,498
5571,0,7,19,7,15,22,11,9,0,93,0,3,9,6,15,24,7,0,0,62,0,0,4,9,8,21,7,3,0,59,0,0,9,8,8,19,0,0,0,43,0,0,3,5,18,4,0,0,0,27,0,0,0,3,4,7,0,0,0,15,8,4,8,4,10,25,24,14,21,122,70,50,139,134,174,377,363,219,94,1625
5572,0,0,0,0,7,5,0,0,0,13,0,0,3,0,3,0,0,0,0,6,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,8,7,3,11,19,23,28,18,4,4,119
5573,0,4,16,27,28,29,14,4,3,126,0,0,14,7,20,16,6,0,0,68,0,0,5,18,12,13,7,4,0,60,0,0,3,5,3,15,6,0,0,39,0,0,0,9,13,4,9,0,0,39,0,0,0,0,13,4,3,0,0,20,15,4,4,5,19,17,38,14,10,129,88,75,154,174,306,297,315,182,89,1686
5575,0,0,20,23,26,38,22,5,3,143,0,7,12,14,13,29,7,0,0,85,0,3,4,16,9,14,3,4,0,50,0,0,7,9,12,10,3,0,0,47,0,0,6,9,10,8,0,0,0,32,0,0,4,3,9,3,0,0,0,16,13,0,9,22,21,39,37,29,32,205,108,62,154,218,297,449,418,195,95,2000
5576,0,4,14,9,11,11,8,0,0,60,0,0,7,7,9,4,4,0,0,37,0,0,3,7,9,11,3,0,0,24,0,0,0,4,3,0,0,0,0,6,0,0,0,6,6,5,0,0,0,23,0,0,4,7,3,0,3,0,0,15,4,4,0,8,10,4,7,10,0,53,50,45,83,98,144,196,183,75,26,899
5577,0,3,5,4,5,14,0,4,0,41,0,0,0,3,7,3,0,0,0,12,0,0,0,3,7,0,0,0,0,12,0,0,0,0,0,3,0,0,0,8,0,0,0,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,4,0,10,6,5,4,3,27,33,21,42,43,89,110,75,45,13,455
5580,0,0,4,0,7,4,0,0,0,20,0,0,3,0,0,6,0,0,0,13,0,0,3,0,3,5,0,0,0,12,0,0,0,0,0,3,0,0,0,4,0,0,0,0,5,0,0,0,0,12,0,0,0,0,3,0,0,0,0,8,0,0,3,0,0,0,6,3,0,15,19,7,34,26,43,61,58,30,12,291
5581,0,0,7,3,3,8,4,0,0,27,0,0,0,0,0,3,3,0,0,9,0,0,0,0,5,3,5,4,0,21,0,0,0,0,0,0,3,0,0,5,0,0,0,3,4,9,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,15,0,28,11,14,31,26,57,109,151,82,25,507
5582,0,0,0,3,11,14,3,0,0,33,0,0,0,0,3,4,3,3,0,22,0,0,0,7,0,6,3,0,3,20,0,0,0,0,3,0,0,0,0,5,0,0,0,0,3,3,3,0,0,17,0,0,0,0,0,0,0,0,0,9,4,0,3,8,4,10,13,7,3,51,37,12,32,34,79,133,143,65,54,587
5583,0,0,8,6,7,8,7,0,0,34,0,0,0,0,4,3,4,3,0,15,0,0,4,6,5,0,0,0,0,19,0,0,3,0,3,3,3,0,0,14,0,0,0,3,3,3,0,0,0,11,0,0,0,3,0,0,3,0,0,9,3,3,4,4,8,14,14,7,9,60,26,17,42,62,87,149,187,94,31,691
5600,0,31,71,73,95,76,23,3,3,363,0,22,74,59,80,56,17,0,0,309,0,6,57,73,99,58,11,3,0,301,0,0,53,64,76,49,12,0,0,256,0,9,52,90,107,45,0,0,0,306,0,0,10,60,45,23,9,3,0,148,30,22,32,27,64,71,61,66,47,426,383,323,634,802,999,909,606,368,184,5206
5601,0,0,3,3,10,4,3,0,0,29,0,0,0,4,9,4,0,0,0,16,0,0,0,4,8,3,0,0,0,18,0,0,0,3,9,8,0,0,0,17,0,0,0,5,6,3,0,0,0,19,0,0,0,4,0,0,0,0,0,7,3,0,7,4,10,11,4,3,0,41,26,4,13,56,90,87,82,23,0,395
5602,0,3,9,6,18,16,5,0,3,59,0,0,3,11,9,10,0,0,0,39,0,0,3,4,14,8,0,0,0,34,0,3,0,7,7,5,3,0,0,26,0,0,8,8,15,11,3,0,0,39,0,0,0,6,9,4,0,0,0,13,10,6,14,8,25,20,33,8,21,148,58,57,110,139,200,208,232,63,46,1111
5603,0,0,3,4,3,4,7,0,0,28,0,0,6,5,3,5,0,0,0,23,0,0,0,0,3,0,0,0,0,3,0,0,3,3,0,3,0,0,0,13,0,0,5,0,7,3,0,0,0,19,0,0,0,0,3,3,0,0,0,13,0,0,6,5,9,5,4,0,0,23,22,14,47,45,72,72,53,9,8,351
5604,0,0,0,0,8,5,3,0,0,15,0,0,0,0,0,4,0,0,0,5,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,4,4,0,3,0,0,0,0,0,0,9,7,6,17,7,34,47,38,14,4,178
5605,0,0,18,16,21,24,21,7,0,114,0,7,17,7,18,18,0,3,0,67,0,0,10,8,10,8,7,0,0,49,0,0,3,11,10,10,0,0,0,35,0,0,4,8,4,7,3,0,0,26,0,0,3,0,4,7,4,3,0,21,7,4,13,5,18,29,29,16,37,164,73,59,119,149,211,280,288,181,89,1451
5606,5,86,199,190,202,165,60,25,8,930,0,18,152,130,140,101,29,6,4,578,0,7,119,120,98,103,20,10,0,478,0,3,53,65,95,58,11,4,0,297,0,3,52,84,94,82,15,6,3,338,0,4,22,42,52,38,11,5,3,171,93,83,149,128,162,179,152,131,64,1142,844,778,1778,1612,1839,1882,1446,837,390,11394
5607,0,13,58,74,90,75,30,8,0,350,0,3,40,44,58,41,21,3,0,201,0,0,20,42,45,36,13,3,0,155,0,0,8,28,25,30,4,3,0,101,0,0,13,42,43,18,12,0,0,128,0,0,3,18,17,10,3,0,0,56,52,20,108,109,102,70,59,28,6,557,271,154,508,682,790,790,540,174,39,3951
5608,3,47,131,103,165,98,28,12,0,587,0,35,93,76,108,67,8,0,0,384,0,19,130,96,113,74,4,0,0,443,0,14,85,87,90,55,5,0,0,331,0,7,82,101,96,42,4,0,0,339,3,5,12,37,24,15,3,3,0,102,106,98,190,124,195,165,151,125,46,1204,827,850,1768,1466,1925,1571,1277,793,230,10696
5609,0,13,37,25,15,11,3,3,0,104,0,15,30,11,19,8,0,0,0,87,0,4,35,27,26,10,0,0,0,103,0,4,23,40,27,8,0,0,0,98,0,3,39,38,27,11,0,0,0,115,0,0,9,15,9,5,0,0,0,34,11,7,21,14,10,3,4,9,0,88,119,130,349,274,230,149,118,83,12,1466
5630,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,3,3,0,3,9,0,0,0,15,10,3,16,17,24,17,11,0,3,108
5631,0,11,15,9,21,17,12,8,3,89,0,3,13,11,14,3,3,0,0,50,0,0,8,8,8,3,3,0,0,32,0,0,0,9,9,3,3,0,0,21,0,0,3,10,10,0,0,3,0,28,0,0,0,0,9,4,0,0,0,17,4,7,3,7,15,15,8,14,15,87,52,50,116,120,144,123,98,73,44,815
5632,0,0,4,3,14,3,0,0,0,20,0,0,0,0,4,3,0,0,0,13,0,0,0,0,0,0,0,0,0,7,0,0,3,3,0,0,0,0,0,11,0,0,4,3,4,0,0,0,0,17,0,0,0,5,0,0,0,0,0,12,0,0,0,3,3,3,3,0,3,18,18,11,30,26,57,25,14,5,7,180
5633,0,0,3,8,3,6,0,0,0,23,0,0,0,3,4,0,0,0,0,6,0,0,0,0,5,3,0,0,0,15,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,7,0,0,0,8,0,0,0,0,4,0,0,0,0,8,0,3,8,0,4,3,3,0,0,22,21,13,37,30,52,66,22,13,3,253
5640,0,4,23,15,27,14,3,0,3,85,0,3,4,9,8,8,3,0,0,36,0,0,10,12,12,5,0,0,0,38,0,0,5,3,7,5,0,0,0,22,0,0,3,3,5,4,3,0,0,21,0,0,0,0,4,6,0,0,0,14,6,3,8,4,13,14,3,16,17,77,51,44,111,96,126,157,115,82,52,831
5641,0,4,18,9,19,13,3,0,0,78,0,4,7,11,8,4,6,0,0,45,0,0,8,8,7,5,0,0,0,38,0,0,3,7,8,4,3,0,0,23,0,0,5,3,10,3,0,0,0,19,0,0,0,0,3,15,0,3,0,24,0,3,11,8,8,15,10,6,3,74,39,40,126,110,126,135,104,77,32,782
5642,0,0,4,6,10,0,4,0,0,21,0,0,0,3,5,3,0,0,0,11,0,0,0,0,3,3,0,0,0,7,0,0,0,0,3,3,0,0,0,3,0,0,0,3,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,10,3,3,0,0,0,25,16,11,25,31,37,44,12,7,3,186
5650,0,0,5,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,3,9,0,7,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,8,0,0,0,4,3,0,0,0,0,14,8,7,22,25,19,31,14,3,6,133
5651,0,0,0,0,3,0,0,0,0,5,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,3,4,17,17,13,3,4,0,63
5652,0,3,6,12,14,6,0,3,0,48,0,4,8,9,5,9,3,0,0,33,0,0,5,6,6,3,0,0,0,26,0,0,6,4,6,12,0,0,0,23,0,0,0,6,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0,7,5,9,10,5,3,4,48,31,40,79,86,85,105,66,40,32,553
5653,0,0,3,0,0,3,0,0,0,6,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,5,7,6,11,12,5,0,3,57
5654,0,0,3,6,9,6,3,0,0,29,0,0,0,0,3,0,0,0,0,12,0,0,0,0,6,0,0,0,0,7,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,3,0,19,9,0,20,35,35,36,44,14,3,194
5655,0,0,3,3,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,5,16,11,12,14,8,0,0,74
5660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,3,3,4,9,4,3,0,0,33
5661,0,4,6,3,3,0,0,0,0,17,0,0,0,3,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,8,20,20,15,23,17,3,0,114
5670,0,0,8,5,14,5,0,0,0,36,0,0,0,4,9,3,3,0,0,19,0,0,0,3,0,3,0,0,0,10,0,0,3,0,0,0,0,0,0,5,0,0,3,3,4,7,0,0,0,18,0,0,0,0,3,4,0,0,0,7,0,0,3,0,6,5,3,3,3,33,8,18,51,51,65,100,59,22,16,386
5671,0,0,3,3,3,0,0,0,0,7,0,0,0,0,3,0,0,0,0,7,0,0,3,0,3,0,0,0,0,12,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,3,3,8,19,12,33,30,18,7,0,134
5680,0,3,20,30,34,30,7,3,0,137,0,3,21,19,23,15,3,0,3,87,0,0,8,16,18,22,3,0,0,67,0,0,8,10,13,12,0,0,0,40,0,0,7,16,16,6,0,3,0,50,0,0,0,8,3,14,6,0,0,35,12,11,23,19,40,66,31,12,19,233,90,84,178,238,310,413,254,110,60,1728
5690,3,18,51,55,65,46,21,3,0,267,0,22,47,42,34,26,14,0,0,190,0,9,38,27,42,40,11,0,0,168,0,0,22,10,28,19,0,0,0,81,0,0,17,23,22,17,0,0,0,76,0,0,3,13,9,5,3,0,0,36,58,37,86,91,86,75,50,31,30,553,231,219,473,472,495,479,340,123,64,2899
5700,3,51,134,108,136,131,55,11,7,623,0,39,118,71,115,84,17,0,3,453,0,13,88,74,113,86,25,5,0,395,0,7,43,64,83,58,8,0,3,271,0,3,51,100,96,66,7,0,0,326,0,3,12,25,32,21,13,3,0,99,93,74,184,134,178,210,189,114,65,1242,619,690,1395,1181,1567,1500,1249,590,220,9001
5701,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,9
5710,0,13,47,38,34,47,8,0,0,186,0,6,34,16,24,37,4,0,0,125,0,4,19,20,29,26,6,0,0,99,0,0,14,12,6,11,0,0,0,51,0,0,28,24,33,15,4,0,0,103,0,0,3,3,4,3,3,0,0,22,15,105,222,170,91,44,13,7,0,666,130,216,502,414,352,349,154,60,19,2193
5713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,17
5715,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,6,0,3,6,3,6,6,0,0,0,25
5717,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,3,0,0,0,13
5719,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,6,9,6,5,5,3,0,42
5720,0,4,4,3,6,4,0,0,0,22,0,0,0,3,5,9,0,0,0,16,0,0,0,0,5,0,0,0,0,12,0,0,0,4,3,3,3,0,0,16,0,0,4,3,6,8,0,0,0,18,0,0,0,0,0,0,0,0,0,3,3,0,3,5,9,7,4,0,0,29,4,15,25,28,54,41,14,3,0,179
5722,0,0,3,4,0,9,3,0,0,14,0,0,0,3,5,0,0,0,0,12,0,0,0,3,3,3,0,0,0,6,0,0,3,3,3,5,0,0,0,15,0,0,0,4,9,3,0,0,0,16,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,9,10,3,0,35,14,5,29,29,58,51,53,30,6,273
5723,0,3,31,24,23,26,4,0,0,112,0,6,18,22,26,19,9,0,0,94,0,4,27,12,14,13,3,0,0,72,0,3,22,13,14,17,5,0,0,68,0,3,34,30,13,5,3,0,0,92,0,0,7,10,9,4,3,0,0,33,20,30,65,42,78,58,62,28,3,388,57,101,340,244,318,292,273,124,19,1771
5724,0,3,4,7,0,3,0,0,0,14,0,0,4,3,0,0,0,0,0,11,0,3,3,0,0,6,0,0,0,19,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,14,0,0,0,0,0,5,0,0,0,3,3,10,18,16,10,13,9,3,0,79,21,41,75,49,51,60,32,20,3,353
5725,3,19,52,26,38,20,0,0,0,158,3,24,60,32,36,17,4,0,0,183,3,17,79,50,45,23,3,0,0,211,3,25,85,69,49,40,0,0,0,273,0,29,215,165,126,72,3,0,0,612,0,0,47,73,71,22,0,0,0,215,26,33,96,68,55,31,4,0,0,312,154,264,882,659,530,325,38,5,3,2866
5730,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,8,5,3,9,10,7,30,14,5,0,84
5731,0,4,3,9,15,6,0,0,0,39,0,0,5,14,4,0,0,0,0,26,0,0,8,6,5,3,0,0,0,32,0,0,6,5,9,5,0,0,0,32,0,0,7,12,12,8,3,0,0,46,0,0,5,10,10,4,0,0,0,34,3,8,14,27,23,16,0,3,0,93,11,24,81,97,109,75,15,3,0,413
5732,0,0,5,0,4,0,0,0,0,15,0,0,0,3,3,5,0,0,0,9,0,0,3,0,3,3,0,0,0,5,0,0,0,3,0,3,0,0,0,11,0,0,5,3,3,0,0,0,0,15,0,0,0,3,0,0,0,0,0,3,0,3,7,4,11,7,0,0,0,38,6,7,40,47,41,33,15,0,3,185
5733,0,0,4,4,3,0,0,0,0,12,0,0,3,0,4,3,0,0,0,13,0,0,3,0,3,3,0,0,0,10,0,0,0,0,0,3,0,0,0,3,0,0,4,5,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,8,3,3,18,9,4,3,0,0,0,41,8,11,52,29,31,42,19,9,0,204
5734,0,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,3,5,10,4,0,0,40,15,13,25,16,32,24,8,4,0,134
5950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
