_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
5014,58,50,107,255,257,510,120,131,254,42,43,83,416,434,845,182,174,351,78,76,158,41,38,80,302,286,591,19,15,32,17,28,46,22,11,30,34,65,100,0,4,5,91,126,216,94,136,230,31,63,92,15,14,31,53,73,130,0,0,0,198,285,482,4,17,22,14,31,40,0,0,0,25,42,63,351,365,711,1429,1586,3016
5015,21,31,51,140,142,285,48,42,90,19,17,38,209,203,409,81,80,167,33,39,70,15,9,26,134,134,261,9,9,17,14,14,27,7,10,19,16,34,56,0,0,0,50,62,114,29,46,77,23,27,50,9,9,19,28,48,75,0,0,0,85,128,218,7,10,18,7,21,31,0,0,0,18,34,47,174,171,346,681,762,1445
5016,55,55,109,223,211,440,101,75,173,27,36,61,355,322,679,132,103,230,66,81,150,36,34,74,237,218,452,11,11,26,5,27,34,21,18,38,18,55,70,0,0,3,59,113,174,50,89,146,15,36,55,9,13,23,24,74,101,0,0,0,104,215,320,11,5,16,18,24,40,0,0,0,27,26,51,187,229,420,1018,1180,2204
5017,30,37,73,168,158,321,33,27,58,16,20,38,222,207,425,112,115,224,23,18,46,5,12,21,150,144,295,9,3,11,11,12,25,6,7,12,14,22,39,0,0,0,45,47,89,21,35,50,11,17,25,3,7,13,8,32,35,0,0,0,35,88,125,7,3,9,13,10,22,0,0,0,12,16,34,170,210,379,670,750,1417
5018,22,23,51,115,108,223,44,40,88,20,17,40,180,167,345,91,77,167,38,50,87,11,11,25,139,143,278,5,13,21,0,4,7,14,5,20,12,29,40,0,0,0,39,57,91,53,69,117,15,13,21,9,10,15,20,28,43,0,0,3,94,116,205,0,4,5,4,20,20,0,0,0,10,22,26,130,128,261,612,652,1258
5019,58,63,120,222,211,430,116,90,207,17,27,46,351,331,684,127,104,228,41,53,97,26,24,54,196,189,384,12,8,20,7,11,22,16,9,28,22,44,72,0,0,0,60,78,140,62,87,151,30,42,76,14,16,27,31,70,106,0,3,3,141,218,359,9,9,17,19,26,38,0,3,3,26,34,56,270,278,548,1102,1184,2289
5020,15,28,44,64,77,142,28,35,65,17,21,34,107,131,244,24,35,54,25,31,50,9,11,23,51,71,124,0,0,0,3,3,11,3,3,5,12,10,23,0,0,0,14,22,39,34,30,62,4,10,15,5,3,6,8,12,20,0,0,0,55,52,108,0,3,3,0,9,9,0,0,0,0,9,9,97,93,193,344,410,759
5021,20,13,32,92,86,180,69,67,130,26,23,45,180,178,357,68,65,136,50,40,87,29,26,57,146,129,275,11,10,16,3,7,12,12,8,19,9,22,32,0,0,0,35,42,76,61,60,125,12,23,33,9,3,13,11,17,32,0,0,0,97,113,207,4,0,7,4,17,17,0,0,0,10,16,29,129,151,280,614,641,1252
5022,107,83,185,420,370,792,174,141,318,60,62,124,654,574,1236,203,188,391,164,148,314,87,80,163,447,416,869,15,21,33,10,17,28,26,11,40,40,51,94,3,4,6,101,106,205,210,213,420,50,72,120,19,25,42,65,124,186,0,8,8,345,437,784,11,4,20,29,36,68,0,0,0,47,50,95,456,435,888,2150,2102,4253
5023,92,82,180,388,350,744,200,192,395,30,30,57,621,577,1194,256,218,478,151,157,306,27,27,45,432,400,833,20,34,57,46,35,78,40,14,50,60,86,146,8,0,5,165,166,335,176,222,402,70,88,157,18,28,48,62,85,144,0,4,4,327,427,749,15,10,31,38,47,81,0,4,4,57,65,118,477,552,1032,2173,2266,4441
5024,74,78,155,343,320,664,162,157,318,59,66,123,567,541,1112,193,187,377,126,128,254,53,55,108,374,365,735,23,16,40,12,21,29,26,16,48,29,56,87,0,0,0,99,105,206,175,221,394,38,55,95,21,23,44,52,86,142,0,0,0,296,385,679,14,14,29,22,35,50,0,0,0,35,44,85,310,331,634,1748,1850,3603
5025,46,31,77,219,176,395,115,128,245,27,21,48,363,329,692,84,86,172,96,127,221,25,31,52,208,235,441,12,8,18,18,14,26,16,10,25,22,33,53,3,0,3,62,62,127,104,136,248,29,37,60,12,19,28,32,35,61,0,0,0,172,227,397,5,14,20,12,18,28,0,0,0,19,30,44,161,194,350,1023,1107,2134
5031,45,52,98,194,176,375,76,110,184,41,38,75,305,323,630,88,119,213,68,66,130,42,28,72,199,217,412,25,19,44,34,28,67,16,10,25,34,46,79,0,0,0,109,114,217,295,305,597,151,162,312,21,27,53,72,107,174,0,3,3,538,606,1142,15,20,27,22,17,42,0,0,0,37,41,78,258,280,544,1495,1627,3118
5032,88,65,158,256,234,484,159,186,347,45,61,106,462,483,938,124,117,237,120,118,243,41,56,93,285,292,577,26,18,45,35,50,85,26,17,41,51,42,99,0,3,3,139,137,276,227,243,474,92,110,199,16,20,43,36,86,122,0,3,3,375,459,831,17,21,41,24,41,64,0,0,0,38,60,103,296,307,599,1682,1804,3488
5033,44,40,83,168,138,308,82,111,193,28,23,45,280,278,552,85,95,181,40,56,97,26,18,43,145,172,319,21,24,41,36,32,67,15,15,31,41,45,84,0,0,0,107,120,227,179,196,370,91,89,178,19,16,33,39,72,106,3,0,3,328,360,687,17,13,30,18,33,51,0,0,0,40,47,86,293,332,625,1238,1345,2586
5034,70,70,139,227,227,453,101,100,201,78,96,179,407,420,830,61,67,131,73,64,136,103,125,232,245,257,501,16,13,31,16,22,40,12,3,14,26,44,67,0,0,0,72,88,159,203,297,498,120,119,235,23,28,52,55,97,157,0,3,3,398,541,940,11,20,29,11,27,41,0,0,0,20,44,66,239,246,488,1456,1670,3125
5035,43,37,84,180,163,340,42,41,84,30,23,59,258,227,482,59,50,113,24,32,57,34,31,59,113,107,222,20,13,27,23,26,47,17,0,17,22,38,54,0,0,0,74,74,148,122,173,290,67,76,147,9,14,21,47,62,112,0,0,0,250,327,578,9,14,24,20,19,35,0,0,0,33,30,62,178,176,355,945,987,1932
5037,57,63,124,288,250,543,89,90,180,36,32,64,412,374,787,116,123,238,65,65,131,53,46,98,233,231,462,33,21,54,21,31,54,23,12,34,33,58,91,0,4,4,112,123,239,241,311,550,106,140,242,21,24,51,55,59,114,3,0,3,426,533,957,24,21,45,25,28,55,0,0,0,43,50,98,346,424,767,1631,1806,3437
5038,94,73,169,334,287,627,133,132,271,68,74,141,540,498,1038,160,165,321,103,91,191,73,61,135,333,316,650,27,39,62,34,54,90,21,14,35,69,71,139,0,0,0,160,179,339,299,313,607,166,200,364,29,31,56,74,128,203,3,4,4,568,675,1241,22,35,59,40,60,96,0,3,3,63,101,161,333,381,709,2086,2211,4304
5039,56,60,117,216,246,463,69,85,155,43,43,86,332,374,704,105,100,200,52,67,114,29,31,57,187,195,376,14,22,30,19,31,55,24,12,39,36,40,71,0,0,0,100,100,194,149,190,337,74,66,141,9,20,28,49,72,120,0,4,4,283,350,632,10,17,28,20,30,49,0,0,0,35,47,79,271,253,520,1247,1380,2631
5040,15,15,31,37,41,74,13,27,36,36,33,67,85,94,182,10,28,42,12,14,29,93,107,199,116,155,272,0,0,4,5,10,11,3,3,8,9,6,15,0,0,0,20,15,32,32,43,71,5,5,11,8,3,10,16,7,22,0,0,0,57,62,118,0,0,4,0,12,13,0,0,0,3,12,14,37,59,99,343,415,751
5041,96,66,163,422,410,830,164,181,346,87,116,202,664,703,1370,126,155,280,141,168,310,128,125,255,398,440,840,18,16,33,16,19,41,18,14,28,49,57,102,0,0,0,102,106,200,257,284,538,66,113,176,22,21,43,74,132,205,3,9,8,416,558,970,8,9,21,22,26,54,3,0,3,33,41,74,257,291,557,1968,2207,4178
5042,65,56,122,257,265,522,73,59,133,43,49,96,373,377,745,131,143,274,57,47,102,42,38,83,226,225,455,27,16,39,23,20,49,23,9,38,42,46,84,0,3,3,118,99,214,290,516,810,250,285,540,17,21,39,55,84,137,0,3,4,618,919,1533,28,26,52,19,39,55,0,3,3,42,65,109,255,285,540,1696,2024,3720
5043,85,91,181,432,378,814,117,114,228,71,94,167,625,586,1214,264,249,514,84,80,167,107,110,214,451,441,897,32,44,85,45,65,110,23,21,52,67,91,156,0,0,0,174,222,396,326,431,756,192,245,436,32,44,75,88,127,220,0,3,5,645,851,1497,31,27,64,41,46,85,0,4,4,70,80,155,493,565,1053,2547,2836,5382
5044,63,61,120,209,187,402,111,122,232,111,99,207,431,410,845,103,110,209,160,152,313,68,74,140,334,331,666,16,11,24,10,16,28,22,18,42,34,41,73,0,0,0,82,86,165,164,182,348,48,56,110,19,22,41,42,65,113,0,0,0,278,328,607,3,5,7,21,30,55,0,0,0,27,38,61,240,287,529,1452,1539,2989
5045,65,80,144,204,198,405,118,123,240,163,147,314,485,468,956,108,94,205,122,100,220,110,88,202,340,277,621,27,19,39,24,35,55,29,22,56,49,73,120,3,0,4,129,142,271,198,296,494,80,115,199,32,36,68,84,108,190,0,3,4,395,562,956,18,9,25,22,47,64,0,0,0,38,58,93,529,575,1107,1983,2160,4147
5046,53,44,95,177,197,369,77,65,135,25,29,49,274,290,561,122,118,237,54,52,112,26,26,56,204,194,400,22,15,37,14,29,37,26,10,34,28,40,66,0,0,0,86,97,178,147,206,354,76,99,183,13,18,36,55,75,127,0,0,0,292,408,698,12,15,23,8,21,24,0,0,0,21,33,48,224,257,481,1149,1320,2467
5047,46,46,99,183,172,352,45,58,107,42,35,79,272,267,541,159,131,294,40,32,72,30,40,70,227,206,437,19,17,39,20,34,49,9,10,19,30,47,79,3,0,3,87,105,192,143,166,314,122,105,223,9,12,21,30,71,99,0,3,3,306,352,662,12,20,37,20,20,35,0,0,3,36,39,78,248,253,500,1226,1270,2499
5048,100,72,168,368,361,727,108,92,205,64,97,156,542,546,1090,214,223,438,97,90,185,46,41,83,359,351,710,18,15,35,26,23,45,36,15,44,40,73,111,0,0,0,111,118,236,156,220,372,70,89,159,17,23,37,63,122,190,3,0,4,308,448,755,14,15,34,26,32,53,4,0,3,39,52,89,336,423,762,1806,2010,3813
5049,69,46,115,242,280,518,105,92,200,79,52,136,428,424,854,124,149,271,81,70,159,51,54,98,260,272,527,9,7,18,6,26,31,27,8,33,31,43,75,0,0,0,77,86,161,105,122,230,48,74,120,9,13,21,34,82,120,0,0,0,199,294,489,5,9,11,13,31,47,0,0,0,14,44,56,209,239,450,1255,1397,2649
5050,44,29,75,204,184,385,11,19,31,23,31,54,230,231,468,95,96,191,19,15,34,54,44,101,165,160,325,3,8,8,3,8,12,11,11,18,7,25,36,0,0,0,26,51,76,90,108,200,46,52,97,15,16,29,33,52,82,0,0,0,182,219,409,3,6,11,8,17,24,0,0,0,13,25,37,129,126,257,789,843,1636
