_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
5031,889,1766,7,31,85,359,15,68,544,1993,644,2449,45,202,83,301,171,542,303,1043,946,3490,3,22,23,95,14,44,133,299,167,456,20,59,56,136,188,402,262,588,436,1052,95,196,2361,6501
5032,1268,2507,9,71,122,536,16,87,860,3200,1009,3890,108,452,144,491,285,911,536,1859,1547,5750,3,13,24,81,7,29,135,325,165,439,24,89,69,146,200,419,299,654,467,1091,71,153,3358,9494
5033,734,1479,9,45,60,271,10,52,490,1793,564,2165,36,146,70,232,137,439,234,819,801,2978,0,4,13,60,6,17,118,291,138,366,18,60,41,97,161,345,227,506,365,875,66,151,1967,5480
5034,1025,2011,4,38,98,446,15,72,682,2560,804,3116,74,299,167,560,148,462,386,1317,1196,4441,0,5,14,48,0,12,99,234,119,294,13,47,39,80,117,241,175,375,288,671,52,108,2561,7234
5035,625,1228,3,23,34,172,12,38,416,1524,473,1758,25,129,68,227,88,271,178,625,651,2378,3,7,9,40,3,7,83,204,103,264,3,13,25,46,83,173,109,237,211,500,37,79,1522,4189
5037,1035,2041,16,81,80,390,9,42,698,2584,805,3095,65,259,120,408,174,541,351,1215,1157,4308,5,14,18,57,9,23,120,297,146,390,23,74,48,123,152,316,230,509,372,898,74,165,2645,7405
5038,1646,3263,18,86,119,517,16,68,1009,3671,1154,4346,82,336,141,483,236,747,450,1567,1612,5912,8,29,28,75,8,32,194,475,235,617,29,91,86,189,235,491,345,767,581,1383,107,225,3948,10788
5039,768,1517,10,71,48,227,17,70,619,2349,703,2723,50,200,85,286,161,497,289,982,990,3703,3,16,32,106,16,45,116,287,167,459,23,82,39,94,159,341,229,514,395,976,64,131,2213,6321
5040,314,613,3,15,24,108,4,21,127,499,161,648,21,86,35,118,59,171,113,378,268,1028,4,10,5,27,3,9,27,77,39,122,6,22,10,24,32,69,52,114,94,235,3,9,682,1886
5041,1186,2341,17,92,165,754,26,101,999,3858,1212,4805,90,375,243,867,281,871,617,2114,1830,6919,3,22,36,115,8,24,144,340,195,508,26,63,69,166,169,353,261,589,460,1099,47,98,3520,10455
5042,1101,2183,12,90,101,471,12,63,648,2420,781,3048,56,221,83,281,188,590,326,1091,1102,4147,6,32,23,80,8,26,136,359,175,496,20,66,51,113,161,346,231,530,411,1028,60,135,2680,7490
5043,1849,3685,16,96,123,571,28,122,1010,3725,1174,4517,103,423,155,551,248,775,504,1745,1683,6269,7,38,58,181,11,43,295,755,377,1028,30,95,127,286,412,865,569,1243,942,2265,163,342,4636,12557
5044,1202,2358,11,73,124,539,14,74,624,2363,781,3049,76,306,154,538,186,569,408,1408,1188,4458,3,8,22,85,7,32,131,299,165,422,16,58,47,106,152,320,219,481,381,901,58,119,2830,7839
5045,1935,3777,19,84,111,505,22,94,788,2908,940,3584,80,324,167,584,225,674,473,1583,1411,5168,0,4,29,87,10,20,192,446,229,556,29,82,80,177,193,400,307,658,531,1214,102,206,3982,10354
5046,964,1917,6,33,75,330,13,55,512,1866,599,2276,45,177,86,290,150,452,277,924,882,3200,3,9,23,77,13,28,123,273,166,389,16,53,51,114,175,367,245,538,408,932,66,138,2326,6184
5047,862,1724,9,71,65,310,8,43,489,1840,581,2258,47,187,66,239,140,444,253,871,831,3125,0,9,23,93,9,27,148,367,182,489,18,71,49,100,169,360,241,530,425,1025,54,111,2173,5988
5048,1596,3144,18,96,140,616,31,122,801,3066,992,3898,95,391,177,586,230,718,504,1696,1491,5594,4,12,46,143,9,31,192,457,247,642,21,61,76,163,237,496,333,718,582,1356,61,124,3729,10222
5049,1232,2427,9,47,106,460,19,83,637,2400,770,2984,55,217,136,431,239,724,432,1377,1196,4358,3,16,22,83,7,20,148,376,183,490,13,47,37,80,150,313,205,442,385,931,50,102,2868,7818
5050,691,1361,13,69,63,286,10,24,320,1225,405,1608,43,192,91,323,131,417,273,934,678,2543,3,12,17,55,6,20,50,130,76,213,9,32,35,70,69,146,113,249,187,469,16,41,1569,4413
5051,1552,3057,23,103,213,934,34,169,1099,4264,1368,5464,137,568,230,784,280,859,643,2208,2013,7672,8,15,37,99,6,29,147,366,193,509,32,97,86,187,151,306,261,585,456,1092,38,75,4060,11902
5052,763,1488,12,69,94,405,13,62,423,1608,542,2148,62,260,135,434,140,423,339,1114,882,3263,0,4,17,64,0,10,64,149,83,225,5,18,28,54,66,122,95,200,179,420,17,36,1845,5201
5061,1054,2063,12,61,121,555,11,36,612,2327,757,2978,73,289,176,594,157,472,402,1347,1153,4324,0,10,13,40,3,10,106,256,129,313,17,49,62,142,121,255,204,448,328,764,56,123,2597,7272
5062,1489,2909,20,108,231,1042,11,55,975,3808,1240,5014,143,592,289,1004,282,871,712,2461,1953,7471,3,23,38,134,9,25,138,352,195,529,25,80,103,217,169,355,293,645,490,1181,66,135,3993,11697
5063,1179,2294,13,58,141,602,7,39,784,2966,950,3662,68,280,154,536,160,502,383,1315,1329,4975,3,16,28,84,7,26,150,373,185,494,24,74,88,199,128,265,241,536,430,1027,53,116,2992,8414
5064,1069,2111,9,39,171,755,14,47,582,2255,772,3095,83,314,222,775,167,509,468,1601,1243,4697,0,0,19,62,3,15,93,222,113,301,13,49,69,143,82,172,165,364,284,659,37,73,2628,7540
5065,1016,1980,3,21,170,761,8,30,689,2682,876,3495,78,307,176,612,129,390,388,1310,1260,4808,0,0,28,91,3,10,112,273,146,369,12,55,77,169,89,179,176,404,324,772,34,71,2634,7631
5066,1215,2378,17,104,216,985,20,84,818,3201,1076,4371,116,459,289,999,237,737,643,2188,1718,6562,0,0,34,93,5,25,114,295,155,415,23,61,63,136,116,234,201,432,348,847,28,78,3318,9861
5067,1108,2163,4,19,76,347,8,29,539,1961,622,2356,28,111,114,373,117,375,257,857,884,3215,3,10,27,99,0,3,120,274,150,377,14,39,63,140,124,251,197,431,351,812,72,147,2411,6335
5068,1221,2405,13,68,147,624,12,54,711,2693,887,3438,86,364,209,712,177,531,473,1599,1354,5044,8,19,38,119,0,3,143,341,183,477,33,93,101,241,149,309,277,645,459,1121,66,141,3104,8708
5069,862,1696,5,37,99,429,13,44,533,2024,647,2533,44,177,132,448,139,419,316,1047,963,3577,0,0,11,43,0,0,99,224,111,266,17,41,43,97,109,234,167,371,277,638,42,87,2144,6003
5070,1486,2939,9,64,119,529,20,102,860,3213,1020,3904,89,379,139,499,259,802,487,1677,1503,5582,0,3,30,112,7,18,150,371,189,503,28,76,90,218,223,452,338,751,526,1257,103,221,3620,9992
5072,1281,2523,13,75,172,747,19,78,794,3024,993,3925,95,388,172,589,290,912,559,1895,1551,5817,3,13,44,155,8,23,140,359,195,552,27,78,93,223,183,379,308,676,505,1232,50,107,3395,9686
5073,1559,3068,16,98,200,894,23,99,995,3841,1242,4931,132,557,236,828,342,1090,716,2476,1956,7404,4,21,35,105,14,40,192,474,240,647,42,130,91,207,267,564,404,903,651,1549,74,165,4238,12190
5074,1256,2491,13,66,127,582,22,100,842,3197,1010,3948,91,400,142,494,308,966,546,1866,1556,5817,3,27,33,116,19,63,178,446,227,650,27,79,81,181,231,487,334,745,560,1395,70,146,3436,9849
5075,1201,2380,7,58,111,498,24,108,650,2513,789,3178,98,400,127,443,261,853,484,1699,1276,4870,3,9,22,73,7,20,143,381,182,485,22,75,59,130,170,367,250,568,431,1057,45,101,2953,8413
5076,996,1987,11,69,138,610,27,113,563,2165,739,2954,129,528,168,593,342,1101,639,2226,1375,5178,0,6,20,57,5,16,95,244,117,321,16,52,49,119,115,237,184,407,305,726,26,68,2709,7959
5081,1024,2016,10,49,105,482,13,61,527,2043,655,2634,62,262,160,557,162,481,383,1302,1035,3933,3,6,26,77,3,9,79,196,112,292,13,42,44,92,102,208,153,341,264,638,41,83,2368,6668
5082,1339,2649,12,59,187,831,15,52,1063,4000,1275,4946,108,433,188,664,290,932,592,2025,1863,6969,3,16,27,83,11,31,140,323,179,455,22,73,75,162,179,383,275,618,450,1069,73,157,3729,10850
5083,685,1353,10,40,75,339,13,50,572,2106,667,2537,48,183,80,265,146,462,270,908,935,3450,0,0,10,35,6,25,95,232,112,289,11,36,31,64,94,207,138,307,245,605,55,114,1917,5518
5084,655,1318,21,146,94,484,20,98,571,2183,707,2911,54,232,64,241,144,464,260,929,964,3847,9,48,48,196,18,65,166,476,236,789,24,79,62,161,207,453,294,695,533,1486,71,162,2226,6806
5085,1717,3406,27,169,200,923,37,166,1499,5607,1766,6864,81,333,169,586,256,799,506,1719,2270,8585,12,52,64,237,21,86,314,819,414,1191,43,148,100,218,268,558,413,922,821,2118,128,279,4934,14384
