_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
5114,2805,5574,93,551,435,2098,138,606,2224,8802,2882,12062,185,794,280,943,653,2075,1124,3808,4007,15871,45,209,182,712,87,301,1039,2869,1342,4097,83,276,175,388,534,1177,791,1846,2135,5937,125,265,9072,27647
5115,791,1583,22,122,76,387,37,153,771,3064,902,3724,40,165,60,207,152,509,250,875,1157,4600,10,51,52,213,31,107,417,1168,504,1539,17,56,40,96,149,327,210,474,718,2013,39,83,2700,8280
5116,989,1952,22,108,86,404,19,94,564,2158,686,2760,57,222,71,241,204,623,326,1083,1016,3850,6,33,45,171,27,88,267,724,347,1020,24,78,67,142,151,312,239,532,588,1551,20,37,2610,7387
5117,240,468,14,60,60,285,17,82,242,981,331,1413,31,136,34,112,95,311,163,561,496,1974,0,0,6,30,3,9,17,47,28,82,3,10,0,7,13,28,25,48,54,134,6,7,794,2582
5118,1992,3934,45,256,210,942,73,330,1029,4064,1366,5597,134,535,209,697,437,1380,778,2604,2143,8202,10,50,51,167,19,61,312,854,393,1135,46,128,105,240,282,604,428,969,820,2102,63,130,5010,14368
5120,172,350,4,21,17,89,7,32,136,557,172,705,11,55,20,56,77,239,105,356,272,1058,0,0,3,13,0,14,28,72,33,100,4,12,5,9,25,56,34,74,60,172,6,15,517,1601
5121,218,434,4,39,14,78,11,42,90,350,119,508,15,62,13,36,46,146,69,240,187,745,0,0,3,3,0,3,22,57,30,69,3,11,3,11,24,46,30,69,55,135,4,9,473,1327
5125,2000,3952,26,143,326,1459,78,345,1232,4792,1665,6739,206,829,287,995,472,1470,958,3297,2618,10040,10,49,69,226,26,96,319,794,422,1164,59,178,102,223,253,539,413,939,833,2100,48,105,5509,16189
5126,850,1682,13,66,80,362,27,116,504,1924,622,2460,54,225,61,214,176,559,293,993,909,3456,3,23,16,70,6,15,115,300,141,399,20,64,42,91,126,280,186,429,331,833,20,43,2108,6010
5127,883,1752,11,57,86,377,26,118,440,1702,564,2253,82,339,119,398,245,785,440,1521,1007,3775,3,8,31,110,7,25,136,347,180,495,27,81,53,116,145,310,220,505,401,1007,24,45,2310,6574
5131,132,259,3,10,12,72,5,24,54,211,77,315,8,37,14,59,38,118,67,213,138,533,0,8,0,3,0,0,7,23,10,29,0,4,4,3,3,9,10,19,18,53,3,5,294,852
5132,55,113,4,16,7,20,3,7,29,126,37,162,3,16,6,14,13,37,24,72,63,235,0,0,0,0,0,0,4,9,4,9,0,0,0,0,5,10,5,10,9,17,3,3,129,372
5133,52,103,0,9,3,11,3,6,25,100,33,131,3,20,6,18,16,47,21,86,57,209,0,0,0,0,0,0,0,5,0,5,0,0,0,0,7,10,3,12,7,14,0,0,108,325
5134,58,113,0,0,7,38,3,14,25,97,37,142,0,9,11,32,8,23,16,62,53,202,0,0,0,0,0,0,9,17,9,17,0,0,3,11,3,9,4,16,12,28,0,0,125,347
5136,51,98,4,24,6,31,0,13,35,148,54,208,6,24,10,38,5,14,20,73,72,281,0,0,0,4,0,4,4,15,7,26,0,0,3,5,0,8,6,12,15,34,3,7,146,426
5137,65,129,0,6,10,52,0,4,34,129,49,189,7,38,10,31,20,59,39,122,86,312,0,7,0,0,3,7,4,14,7,26,0,0,0,8,3,7,5,17,15,44,0,3,171,490
5138,40,72,0,10,0,3,0,0,23,95,24,110,3,5,7,28,5,15,14,55,44,165,0,0,0,4,0,0,0,0,0,3,0,0,0,3,4,4,3,4,4,13,0,0,88,248
5139,26,46,0,7,3,16,0,0,16,73,26,97,0,4,0,7,3,7,7,20,28,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,5,12,3,12,0,0,60,177
5140,44,79,0,3,11,43,0,0,41,141,54,193,3,19,10,29,6,17,22,67,72,255,0,0,4,9,0,3,3,10,10,20,0,0,4,11,3,5,7,18,14,40,0,0,126,373
5141,80,152,0,0,8,46,0,6,39,177,53,230,9,37,21,61,17,51,46,147,93,374,0,0,3,9,0,6,3,5,7,22,3,4,0,3,3,3,8,15,14,40,0,0,189,568
5142,63,130,0,3,3,28,0,5,41,165,52,205,5,23,6,14,15,58,24,89,79,293,0,0,3,5,0,0,4,14,3,15,0,0,0,3,3,7,7,15,8,29,0,0,150,457
5144,51,112,0,4,5,28,0,3,20,83,31,120,3,14,7,23,17,57,27,96,61,209,0,0,0,3,0,0,0,0,4,3,0,0,0,0,5,7,5,7,3,13,3,3,122,336
5150,10,18,0,0,0,7,0,0,3,10,3,11,0,0,0,4,0,3,3,3,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,3,0,0,18,41
5151,45,81,0,4,5,38,0,0,21,85,28,131,8,20,4,14,12,31,21,58,45,193,0,0,0,3,0,0,0,0,0,5,0,0,3,4,3,12,9,17,12,28,0,0,100,299
5152,733,1435,5,40,96,432,12,38,474,1866,588,2375,48,186,114,379,113,335,274,903,859,3280,0,3,12,34,3,20,53,131,75,192,13,30,31,66,65,144,101,231,179,425,12,26,1788,5166
5153,717,1409,16,88,98,426,16,74,420,1658,558,2252,49,210,126,449,185,570,371,1224,922,3474,3,5,14,39,7,11,53,131,71,187,10,30,27,62,67,136,100,222,175,413,15,31,1831,5327
5154,412,808,5,39,57,281,5,24,238,960,310,1306,24,86,57,194,84,253,165,535,475,1836,0,9,8,27,0,0,27,68,39,107,8,21,9,18,35,69,52,111,83,217,7,10,977,2881
5155,383,746,4,24,49,230,5,20,312,1186,367,1462,37,136,57,181,66,186,154,502,524,1967,0,4,8,17,3,6,69,159,83,190,13,27,16,43,59,129,91,203,174,391,4,14,1086,3122
5156,116,227,0,0,15,54,3,14,69,282,91,353,5,34,16,44,27,76,42,158,134,509,0,0,5,11,0,0,10,25,16,40,0,4,3,9,15,30,19,45,32,77,3,3,290,823
5157,367,734,11,58,44,198,15,52,160,631,225,933,25,108,49,168,104,313,175,586,402,1519,0,3,6,23,0,3,22,65,34,90,0,6,12,20,26,55,38,77,68,164,6,17,849,2432
5158,2683,5276,47,268,305,1370,94,405,1835,6914,2278,8956,240,976,382,1261,687,2156,1306,4385,3584,13343,4,20,66,220,28,94,352,903,449,1234,62,180,107,234,330,712,497,1125,942,2361,51,116,7270,21095
5159,3777,7467,51,283,468,2061,86,366,2134,8211,2738,10920,326,1327,533,1823,935,2971,1797,6119,4534,17044,15,66,85,286,31,97,422,1125,550,1567,69,221,145,321,426,890,642,1430,1194,3000,85,176,9585,27681
5160,3,9,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13
5161,1094,2191,17,90,105,468,27,119,666,2469,812,3153,66,279,88,284,246,760,393,1319,1208,4472,4,14,44,137,22,74,198,499,261,732,17,49,49,101,211,451,276,602,543,1329,35,78,2877,8074
5162,3576,7115,56,322,353,1642,115,527,2000,7567,2526,10061,224,923,300,1025,784,2474,1315,4427,3840,14487,14,78,154,517,69,239,787,2046,1023,2878,86,263,230,501,613,1296,933,2057,1957,4941,151,307,9520,26846
5163,1460,2902,25,140,124,557,50,229,705,2748,907,3677,70,277,119,398,355,1107,547,1790,1457,5467,17,83,74,247,35,123,382,1008,504,1458,35,106,76,162,299,633,409,900,907,2360,54,110,3881,10841
5164,436,864,7,31,39,174,6,45,228,892,280,1146,18,86,27,98,96,294,145,471,421,1618,9,28,24,85,7,40,190,509,229,665,13,38,34,73,111,228,161,339,386,1001,30,61,1272,3542
5165,553,1098,8,47,30,142,16,75,236,884,290,1147,25,113,27,78,89,279,141,472,434,1614,7,24,22,78,12,32,172,442,214,580,15,36,30,62,126,264,170,357,378,933,24,50,1396,3704
5166,215,423,4,22,13,57,8,32,72,264,94,373,4,15,15,50,36,116,56,184,153,553,3,12,15,34,5,10,62,154,78,213,0,0,9,18,48,105,60,128,141,341,5,15,516,1338
5167,636,1261,13,54,45,218,17,56,331,1242,402,1569,29,125,63,205,131,395,225,723,625,2292,3,9,24,79,10,31,89,235,126,355,10,34,38,81,89,174,139,287,263,639,29,61,1555,4249
5168,555,1093,5,23,51,225,16,56,340,1302,400,1605,22,102,43,130,122,376,187,615,584,2218,3,12,21,86,15,56,132,361,172,512,19,58,26,60,114,236,158,355,332,868,26,56,1498,4233
5169,1769,3504,31,164,171,789,48,226,1180,4541,1433,5720,93,375,143,459,336,1052,572,1882,2004,7605,8,38,89,277,27,88,430,1185,555,1594,34,112,85,185,248,539,369,837,921,2425,67,138,4761,13680
5170,132,257,0,3,9,48,3,23,71,272,90,351,8,22,20,58,19,72,47,150,131,498,0,0,3,6,3,8,9,33,20,52,3,4,9,22,25,48,34,69,50,123,5,7,314,886
5171,773,1535,14,60,77,326,20,79,356,1399,464,1858,49,211,81,272,125,392,255,871,716,2735,4,14,4,23,7,28,67,159,80,220,13,43,17,38,72,150,101,229,180,447,11,23,1678,4739
5172,481,951,8,57,60,279,15,69,239,940,326,1341,28,128,56,175,103,331,187,634,512,1977,0,0,11,28,0,3,45,120,52,151,11,24,22,46,38,73,68,152,120,297,11,19,1128,3239
5173,1167,2289,20,112,147,681,40,173,853,3345,1062,4309,64,266,78,266,188,581,332,1119,1392,5429,8,44,66,236,27,77,377,988,480,1342,31,91,66,149,192,388,287,630,764,1967,30,70,3358,9755
5174,303,600,9,30,25,132,17,61,183,697,227,921,20,82,32,121,66,203,116,398,343,1322,0,6,6,23,3,15,55,145,67,189,9,18,16,31,42,83,62,135,135,332,6,14,791,2265
5201,250,492,7,25,27,115,3,14,117,461,152,616,19,75,20,65,41,115,79,259,237,879,0,4,11,25,3,10,26,76,43,117,4,17,5,11,28,55,41,82,82,200,9,10,567,1580
5202,106,213,3,12,12,41,3,22,60,232,74,306,9,23,3,11,18,51,31,90,103,393,0,0,0,3,0,0,9,26,11,30,0,0,6,15,6,14,8,22,26,58,3,8,232,669
5203,169,339,0,4,12,51,4,17,57,233,70,305,4,20,10,31,26,80,40,132,112,439,0,4,4,8,0,7,15,44,23,63,0,0,3,4,11,27,15,27,38,93,3,4,321,885
5204,524,1039,3,10,17,67,7,20,106,401,124,499,4,23,13,33,44,128,55,186,186,681,3,11,6,31,5,21,37,100,54,164,5,8,12,22,34,59,46,91,100,257,0,3,811,1974
5210,220,428,4,10,25,114,17,63,111,434,157,626,10,47,21,59,37,114,64,222,223,843,0,0,6,32,0,3,27,69,36,101,0,4,8,15,16,31,19,46,59,151,0,3,497,1420
5211,2632,5198,25,128,115,528,40,177,587,2284,771,3117,42,182,82,265,236,713,364,1159,1137,4270,4,28,47,155,13,56,231,627,300,878,18,43,57,122,174,355,242,525,542,1396,36,69,4344,10938
5212,381,752,0,8,11,44,3,16,77,294,94,365,4,27,19,62,34,91,60,181,147,547,0,3,5,6,0,0,33,92,40,101,0,0,7,11,21,49,31,66,69,166,3,6,601,1462
5213,159,319,0,0,17,82,0,8,67,259,88,347,9,27,3,19,21,65,33,109,122,450,0,0,4,8,3,13,12,39,17,58,3,8,3,7,9,24,19,37,42,94,0,3,325,871
5214,1454,2864,10,45,51,258,20,70,307,1196,383,1571,20,76,31,99,122,385,176,559,562,2134,3,13,21,74,13,39,125,309,164,433,11,30,19,42,115,224,140,300,303,735,30,58,2342,5784
5220,15,33,0,0,0,3,0,9,10,42,15,56,0,0,0,5,0,7,0,7,15,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,7,4,7,0,4,41,105
5221,51,92,0,4,0,6,0,5,15,52,12,63,0,0,0,3,3,8,7,12,21,74,0,0,0,3,0,0,10,17,5,18,0,0,0,0,3,5,3,5,14,29,0,0,77,191
5222,97,195,0,0,0,4,0,0,31,109,33,116,5,11,0,5,7,15,10,39,47,153,0,0,0,4,0,0,9,24,12,28,0,0,3,5,12,20,13,23,20,54,0,0,167,404
5223,473,919,5,35,31,134,4,31,197,784,245,984,4,29,32,91,49,145,83,264,329,1245,5,18,10,34,0,5,41,104,63,166,6,8,5,14,19,45,33,66,92,229,6,12,894,2404
5231,168,324,5,25,23,87,4,18,68,270,98,403,14,55,18,49,41,132,70,231,169,638,0,6,4,11,0,0,8,27,12,44,0,3,6,7,11,16,17,28,32,74,0,0,366,1032
5232,58,118,0,0,5,21,0,0,22,84,22,101,8,30,9,40,15,41,30,116,56,219,3,11,0,0,0,0,3,6,3,18,3,4,0,0,7,8,6,13,12,31,0,0,125,370
5233,185,365,3,19,20,90,10,42,83,304,114,450,18,61,14,58,47,143,80,263,190,716,0,0,8,20,0,0,11,36,20,54,0,4,3,11,14,30,17,43,37,96,5,12,418,1187
5234,155,305,3,25,20,80,6,21,92,347,113,472,16,56,20,57,26,76,55,188,171,660,0,0,9,29,0,4,15,35,18,69,0,10,6,15,8,18,13,41,39,106,3,3,364,1075
5235,362,712,4,20,34,140,5,36,135,535,181,730,11,41,18,54,46,143,73,241,253,969,0,0,9,38,0,5,37,95,48,135,0,7,6,6,25,59,34,78,77,207,3,10,700,1901
5236,32,66,4,10,3,15,0,0,13,49,22,80,3,12,3,9,7,27,16,54,33,131,0,0,0,0,0,0,4,9,4,9,0,7,0,0,3,5,3,7,6,21,0,3,75,217
5237,44,85,0,4,0,5,0,4,21,70,23,83,3,9,0,7,5,16,5,31,31,112,0,3,0,0,0,3,7,27,14,37,0,0,0,0,9,16,7,19,16,49,0,3,94,250
5238,638,1263,5,26,34,155,15,64,162,635,215,878,19,64,13,56,52,169,85,284,297,1159,4,16,9,39,3,13,62,172,87,244,4,8,18,40,54,114,80,159,164,401,9,18,1113,2842
5240,62,124,0,3,11,54,0,9,24,95,38,165,3,17,3,11,19,53,24,86,64,243,0,0,0,0,0,0,3,8,4,14,0,0,5,5,9,11,12,17,18,37,0,0,143,401
5241,297,596,7,42,33,176,7,33,151,625,203,881,14,70,26,95,51,160,93,325,299,1205,0,5,5,29,4,16,35,85,47,138,3,11,11,18,37,76,51,111,98,245,9,24,710,2062
5242,192,384,3,24,22,93,4,13,103,380,131,508,20,75,16,52,44,142,77,269,202,780,0,0,3,11,0,3,14,48,25,68,3,7,16,25,17,34,34,72,53,136,4,12,461,1314
5243,116,220,3,11,11,35,3,5,36,141,49,198,6,21,22,64,25,84,50,164,95,364,0,0,6,13,0,3,15,34,15,47,3,6,6,9,8,19,19,33,38,79,3,6,247,664
5244,446,877,11,46,61,296,8,33,265,1035,346,1413,27,119,58,198,109,343,197,658,540,2069,0,0,16,50,5,19,39,93,61,161,3,17,20,47,41,86,68,147,127,309,15,29,1132,3275
5245,376,746,10,56,40,183,5,18,166,667,225,922,21,68,42,146,48,154,106,373,332,1296,0,5,4,13,0,0,33,83,38,94,6,24,17,34,39,76,62,132,95,233,0,3,812,2273
5250,346,672,5,39,49,215,7,33,284,1140,349,1432,34,148,55,186,79,247,174,584,520,2014,0,0,11,28,4,13,50,140,70,184,5,25,17,44,29,68,59,135,128,315,6,13,995,3017
5251,1514,2981,30,192,151,713,40,152,988,3852,1208,4911,82,349,163,554,278,875,524,1774,1732,6684,5,29,62,225,16,65,271,728,360,1052,35,106,104,235,174,357,312,695,673,1752,46,93,3963,11510
5252,648,1272,16,76,88,397,13,75,526,2009,643,2553,46,206,70,227,132,417,253,849,896,3406,0,3,17,65,3,19,111,317,141,401,22,58,35,74,65,141,122,271,259,673,15,32,1820,5384
5253,2105,4183,19,124,165,770,74,333,874,3446,1133,4677,76,293,148,506,336,1039,553,1839,1692,6516,14,85,57,220,33,115,418,1171,531,1595,26,81,77,179,291,629,396,890,926,2480,69,159,4795,13334
5254,296,595,5,49,45,216,6,23,129,503,189,783,11,59,22,76,48,151,84,283,273,1069,0,3,6,22,0,11,25,67,31,105,3,11,9,18,37,83,50,110,86,214,8,21,664,1899
5255,1180,2312,22,116,107,512,25,109,557,2204,713,2939,61,243,82,264,186,550,325,1061,1035,3998,12,39,31,118,15,55,132,327,185,540,14,43,46,88,116,244,174,372,362,906,22,42,2603,7257
5256,197,393,0,15,8,31,4,10,49,196,62,244,3,13,8,14,30,101,40,135,98,377,0,5,6,16,3,9,22,58,30,88,3,9,4,6,24,49,28,59,56,147,3,4,360,924
5259,142,285,0,0,7,40,3,19,54,219,68,284,7,20,8,16,18,56,30,95,96,381,3,12,0,3,0,0,17,50,22,65,0,10,4,17,3,15,16,44,34,109,5,12,285,782
5260,243,483,3,34,19,95,0,3,67,265,95,399,8,23,6,16,36,115,51,154,146,554,0,3,9,30,5,9,43,111,59,158,0,3,9,21,25,54,36,80,93,241,8,23,493,1302
5261,47,91,0,4,11,36,0,0,18,79,28,121,3,11,6,12,6,14,13,34,37,163,0,3,0,4,0,0,10,23,8,26,0,0,0,0,3,3,3,3,14,32,0,0,98,288
5262,55,99,0,0,4,11,0,3,31,130,36,142,0,0,3,19,8,20,15,39,49,185,0,0,0,0,0,0,6,19,6,19,0,0,0,3,7,9,3,9,14,33,0,0,110,313
5263,15,37,0,0,0,7,0,0,6,25,5,29,0,3,0,10,5,16,11,28,16,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,97
5264,183,346,0,0,8,32,3,12,58,241,68,281,4,9,4,12,24,69,29,89,93,374,0,3,3,13,5,13,20,45,27,76,3,9,3,3,19,38,20,52,45,129,8,18,330,858
5265,47,90,3,11,7,41,0,4,26,104,39,158,0,3,3,10,7,22,7,35,45,190,0,0,0,0,0,7,6,23,12,26,0,0,0,0,7,10,7,10,16,41,3,3,112,322
5266,83,165,0,5,8,27,0,13,44,188,56,242,0,3,3,10,4,16,11,28,64,268,0,0,0,0,0,0,4,11,4,11,0,0,0,0,3,7,3,7,7,21,0,3,161,461
5267,256,496,4,12,28,129,5,33,126,539,166,715,8,15,15,51,27,74,48,142,217,860,0,0,0,4,4,7,16,50,22,65,0,3,3,13,14,22,18,42,46,100,3,8,515,1461
5268,406,790,14,53,36,187,12,40,208,822,263,1102,16,77,30,82,53,164,97,325,363,1426,0,3,4,20,3,13,38,104,44,137,4,19,11,15,27,60,41,93,90,229,9,25,867,2472
5269,25,53,0,0,4,23,0,10,9,52,16,78,0,3,0,4,4,12,9,20,22,102,0,0,0,0,0,0,4,14,4,14,0,0,0,0,6,7,6,7,13,19,3,4,66,183
5270,81,161,3,17,11,47,0,3,42,160,54,232,3,11,9,29,13,41,23,83,83,318,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,10,7,14,7,14,0,3,169,497
5271,911,1793,13,44,87,386,19,72,489,1967,596,2473,24,104,54,166,115,351,194,616,798,3093,3,20,17,49,10,26,98,272,124,363,3,16,26,54,68,144,100,209,226,564,21,40,1952,5490
5272,129,244,0,6,8,29,0,0,46,200,55,233,3,18,11,29,13,26,21,71,80,302,0,0,3,4,0,4,5,24,14,33,0,0,0,4,3,3,6,6,14,42,0,4,223,592
5273,16,27,0,0,0,0,0,0,13,52,12,55,0,0,0,0,0,0,0,0,14,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,89
5275,367,723,7,29,25,97,3,9,129,505,163,644,14,45,12,31,43,120,62,201,229,841,0,0,4,18,0,3,26,73,29,94,0,0,7,18,20,35,26,55,57,153,10,13,661,1738
5276,174,350,0,12,11,37,3,21,53,198,68,269,0,4,8,33,17,41,29,77,91,346,0,0,0,0,0,0,8,28,8,28,0,0,0,0,14,19,10,26,26,51,3,4,299,755
5277,356,692,3,11,24,126,7,34,181,757,223,927,11,58,20,69,49,148,85,271,306,1201,0,7,3,15,4,4,50,136,58,164,0,8,10,28,39,82,54,111,115,277,8,21,780,2185
5278,70,144,0,0,0,17,0,0,28,118,30,129,3,15,3,10,11,34,20,66,50,195,0,0,3,12,0,0,16,35,20,46,0,6,0,0,8,18,7,22,29,67,0,3,148,408
5279,80,153,5,9,5,36,0,0,25,98,32,143,0,7,0,9,12,28,11,42,50,182,0,0,4,7,0,4,12,24,13,42,0,3,0,3,8,16,14,21,24,65,0,3,152,401
5280,942,1844,20,115,77,345,19,89,370,1515,486,2064,19,83,58,182,142,445,220,712,708,2775,3,7,24,97,9,34,95,254,133,393,4,18,21,48,105,215,131,280,266,673,17,43,1944,5335
5290,2696,5313,41,218,260,1226,76,352,1451,5721,1824,7518,106,434,172,530,404,1266,682,2233,2505,9746,14,66,97,323,43,147,622,1663,770,2198,38,115,126,278,352,741,515,1130,1290,3329,77,158,6571,18547
5291,1042,2060,19,85,123,568,37,159,616,2472,793,3291,63,247,87,285,208,659,358,1185,1147,4477,4,19,15,67,9,27,76,202,109,311,4,19,11,32,53,108,76,159,183,470,20,36,2389,7046
5301,96,182,0,13,7,27,0,0,32,148,40,186,0,3,5,23,3,17,12,39,53,221,0,0,0,5,0,0,11,28,13,28,0,0,0,3,3,13,4,18,19,45,0,0,167,455
5302,117,224,0,0,8,45,0,6,52,205,67,260,3,12,3,9,14,38,20,56,82,312,0,0,3,7,0,0,6,16,9,21,0,3,3,3,11,24,11,30,20,53,0,5,219,607
5303,13,30,0,0,0,3,3,6,14,68,17,78,0,6,0,7,8,19,10,32,26,109,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,8,4,11,4,11,0,3,46,151
5304,92,178,0,3,4,19,0,4,46,184,55,217,0,5,4,21,18,51,25,78,78,287,0,4,0,7,0,0,9,20,11,27,0,4,3,6,6,18,12,31,25,62,3,3,191,527
5306,5,16,0,0,0,0,0,0,3,18,3,18,0,3,0,0,4,12,3,13,6,30,0,0,0,3,0,0,0,9,3,10,0,0,0,0,0,3,0,3,3,15,0,3,21,62
5307,83,165,0,0,5,20,0,9,33,129,37,150,0,4,3,20,11,24,14,51,51,198,0,0,4,12,0,3,9,20,10,35,3,4,6,7,0,5,8,20,15,50,7,13,159,428
5308,19,43,0,0,0,15,0,6,8,35,13,58,0,3,0,4,4,6,3,19,18,73,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,3,3,3,7,0,0,38,116
5309,18,34,0,0,0,5,0,0,11,32,10,41,0,3,0,3,4,8,4,23,20,61,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,3,5,4,8,0,3,36,105
5310,7,14,0,0,0,0,0,0,6,16,6,16,0,0,0,0,0,3,3,7,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,45
5311,48,100,3,21,3,22,0,3,20,91,30,144,0,3,7,20,17,52,23,76,53,211,0,0,0,0,0,4,5,3,4,8,0,0,3,5,3,4,5,7,8,16,5,7,120,336
5320,106,207,0,0,4,12,0,0,15,66,20,76,0,9,9,22,10,38,20,69,40,137,0,0,0,0,0,8,20,47,20,53,0,0,0,0,4,17,4,17,29,71,0,0,173,417
5321,58,117,3,13,3,16,0,3,3,23,9,50,0,0,0,0,9,22,9,22,20,73,0,0,4,14,0,0,0,5,3,17,0,0,3,10,3,9,10,12,15,35,5,3,93,227
5322,149,297,0,6,13,52,0,0,46,187,58,247,8,30,5,24,26,86,44,139,102,387,0,0,3,8,0,0,8,29,15,44,3,10,3,3,12,32,20,45,35,85,0,3,284,767
5330,460,901,9,50,36,155,6,28,183,731,233,962,8,25,24,86,60,200,95,307,330,1276,3,7,6,24,0,14,74,171,84,222,3,5,15,41,31,59,50,104,134,327,13,24,930,2526
5331,46,97,0,4,0,9,0,11,19,83,23,108,0,4,0,9,3,8,6,22,34,122,0,0,3,12,0,3,0,0,5,15,0,5,0,4,4,8,6,9,12,23,0,0,87,245
5332,59,116,0,0,3,20,0,3,20,74,26,98,0,6,0,3,10,24,10,30,32,128,0,0,0,13,0,3,13,33,16,48,0,0,0,0,6,11,6,11,20,62,0,3,107,303
5333,733,1455,13,74,60,281,13,48,324,1289,406,1698,26,101,58,173,90,276,172,558,587,2256,4,8,21,63,3,22,102,295,131,382,13,37,23,49,71,154,110,245,236,627,20,40,1577,4375
5340,187,374,0,0,14,63,0,4,85,326,99,392,7,25,12,30,20,62,40,118,134,510,0,0,0,8,0,0,16,59,20,60,0,5,4,9,18,33,20,43,42,105,8,13,370,995
5341,921,1814,12,69,98,433,24,110,367,1455,499,2059,29,136,53,167,161,475,240,782,744,2839,4,16,25,92,19,66,140,389,191,562,11,39,24,56,113,240,153,335,344,896,26,53,2034,5608
5342,161,309,3,21,16,73,4,12,50,199,72,306,6,33,11,30,38,102,52,165,127,472,3,14,5,18,0,11,19,47,23,83,0,5,3,3,17,25,14,35,40,119,3,6,332,911
5343,545,1076,3,20,46,218,14,51,246,953,305,1239,16,70,39,109,70,201,117,385,426,1630,3,15,19,77,11,38,119,335,151,466,9,23,21,47,72,156,105,228,254,689,27,56,1257,3449
5344,123,252,0,0,9,54,3,22,62,233,76,306,6,30,7,31,23,72,43,132,114,444,0,0,3,10,0,0,10,38,14,50,0,0,4,12,19,40,21,45,35,95,5,5,275,786
5345,433,860,13,67,30,129,9,51,163,663,219,912,15,53,22,74,70,219,106,349,320,1257,3,7,3,15,4,14,78,223,93,262,3,11,14,24,67,146,88,183,179,446,4,13,937,2567
5346,55,101,0,7,5,17,0,6,16,74,27,104,3,12,4,6,9,37,16,56,44,164,0,0,0,4,0,0,9,22,11,22,0,5,0,0,7,10,11,14,15,40,3,3,110,310
5350,52,100,0,7,8,35,7,19,32,120,44,179,4,31,8,22,12,28,26,80,66,261,0,0,3,9,0,0,7,18,6,26,0,0,0,0,4,10,4,10,11,40,0,0,127,399
5351,696,1386,9,56,80,353,15,71,413,1626,516,2111,51,212,72,245,139,442,264,902,775,3014,3,11,23,77,3,21,71,179,97,287,4,25,14,28,45,93,63,148,168,436,12,24,1652,4857
5352,675,1317,6,36,65,299,14,59,287,1132,375,1524,34,137,50,169,110,332,195,642,566,2165,0,5,13,33,0,4,79,218,97,262,3,18,15,42,61,117,82,172,179,435,12,23,1432,3943
5353,475,939,7,21,31,134,6,28,225,906,264,1085,23,90,42,130,88,275,150,497,416,1581,0,3,14,38,7,28,53,143,74,216,4,15,19,40,57,125,86,179,153,393,8,27,1052,2938
