_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
5152,..,442,442,797,21,813,333,0,331,440,0,440,160,0,160,38,0,38,1775,458,2234
5153,..,392,392,766,32,792,385,5,388,424,0,428,179,0,179,55,0,55,1803,434,2240
5154,..,157,157,430,13,446,166,0,172,248,3,252,89,0,89,34,0,34,966,178,1143
5155,..,336,336,453,26,480,227,3,225,288,0,288,81,0,81,24,0,24,1074,369,1438
5156,..,55,55,126,6,136,60,0,59,61,0,61,25,0,25,9,0,9,279,64,348
5157,..,158,158,375,14,384,179,0,185,181,0,181,71,0,71,27,0,27,827,174,1000
5158,..,1564,1564,2964,135,3107,1667,24,1688,1797,10,1805,532,3,533,194,0,195,7165,1731,8895
5159,..,2237,2237,4156,161,4316,2025,27,2059,2274,3,2273,755,0,760,253,0,253,9464,2434,11897
5160,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8
5161,..,1125,1125,1336,83,1422,679,19,690,568,8,574,198,3,205,64,0,64,2849,1231,4087
5162,..,3716,3716,4342,303,4647,2159,34,2196,1959,14,1973,653,0,656,266,0,265,9380,4068,13449
5163,..,1366,1366,1788,151,1941,865,19,882,757,5,759,286,0,286,119,0,119,3808,1540,5349
5164,..,764,764,614,65,679,307,19,326,186,3,189,105,0,105,42,0,46,1252,851,2104
5165,..,692,692,729,88,818,279,5,289,243,0,245,83,0,83,36,0,36,1375,792,2168
5166,..,259,259,275,32,308,122,0,123,70,0,75,34,0,34,9,0,9,508,293,804
5167,..,597,597,737,61,796,374,5,382,274,0,274,117,0,117,33,0,33,1532,666,2204
5168,..,601,601,705,50,757,339,6,344,276,0,276,101,0,101,56,0,56,1479,656,2134
5169,..,1415,1415,2056,136,2199,1058,20,1076,1046,3,1052,398,0,398,132,0,132,4695,1578,6272
5170,..,126,126,154,13,163,52,0,52,83,0,83,18,0,18,7,0,7,313,139,451
5171,..,492,492,839,35,870,286,0,284,371,0,378,137,0,137,37,0,37,1668,529,2192
5172,..,280,280,509,22,527,218,3,221,253,0,253,89,0,89,43,0,43,1111,302,1411
5173,..,1204,1204,1432,107,1539,743,7,747,711,3,716,310,0,310,117,0,117,3313,1325,4641
5174,..,275,275,349,24,376,183,0,183,152,0,152,72,0,72,30,0,30,783,304,1084
5201,..,137,137,277,14,291,102,0,103,117,0,117,49,0,49,15,0,15,558,152,711
5202,..,84,84,104,7,107,42,0,42,64,0,64,11,0,11,11,0,11,228,93,317
5203,..,148,148,179,8,191,47,0,50,54,0,54,20,0,20,18,0,18,318,164,481
5204,..,415,415,563,22,591,107,0,103,84,0,84,34,0,34,16,0,16,799,439,1239
5210,..,85,85,229,10,238,81,0,81,116,0,123,35,0,35,13,0,13,487,96,585
5211,..,2074,2074,2838,116,2947,640,7,649,527,0,535,216,0,216,85,4,89,4299,2202,6498
5212,..,275,275,407,8,416,77,0,77,73,0,73,21,0,21,9,0,9,595,286,884
5213,..,125,125,173,9,186,61,0,56,54,0,54,29,0,29,3,0,3,322,139,456
5214,..,1214,1214,1591,75,1666,309,3,312,271,0,274,102,0,102,53,0,53,2326,1292,3617
5220,..,17,17,17,3,21,7,0,7,4,0,4,3,0,3,0,0,0,39,18,59
5221,..,39,39,51,0,51,13,0,13,4,0,4,10,0,10,0,0,0,79,39,112
5222,..,89,89,109,4,110,30,0,30,17,0,17,3,0,3,0,0,0,164,93,253
5223,..,457,457,504,34,541,162,0,167,115,0,116,78,0,78,27,0,28,887,494,1387
5231,..,67,67,165,3,175,77,0,77,79,0,79,24,0,24,15,0,15,361,71,430
5232,..,15,15,56,3,57,21,0,21,25,0,25,14,0,14,8,0,8,123,21,143
5233,..,93,93,197,7,209,90,0,90,92,0,92,27,0,27,13,0,13,417,102,517
5234,..,97,97,160,5,171,67,0,69,87,0,87,28,0,28,17,0,17,361,108,471
5235,..,265,265,383,22,411,117,0,115,123,0,123,48,0,48,18,0,18,692,288,979
5236,..,36,36,37,4,39,15,0,15,23,0,23,5,0,5,0,0,0,79,39,113
5237,..,37,37,42,3,48,14,3,15,16,0,16,9,0,9,0,0,0,91,45,133
5238,..,575,575,714,37,755,137,3,144,159,0,159,68,0,72,23,0,23,1101,617,1725
5240,..,31,31,69,8,76,26,0,26,28,0,28,10,0,10,7,0,7,139,37,181
5241,..,224,224,340,11,352,127,0,127,126,0,126,73,0,73,35,0,35,695,230,927
5242,..,120,120,213,10,219,91,0,91,94,0,96,37,0,37,18,0,18,455,127,580
5243,..,57,57,127,5,134,50,0,49,38,0,38,20,0,20,5,0,5,246,64,308
5244,..,324,324,507,26,531,228,0,230,245,0,245,93,0,93,40,0,38,1121,350,1469
5245,..,247,247,405,8,419,133,3,135,165,0,170,78,0,78,14,0,14,802,261,1060
5250,..,213,213,347,15,360,228,3,230,260,0,260,100,0,100,34,0,34,976,225,1202
5251,..,1341,1341,1734,113,1843,811,28,839,865,5,870,373,0,373,130,0,130,3908,1484,5397
5252,..,479,479,736,43,776,440,3,439,413,0,413,163,0,163,58,0,58,1804,519,2329
5253,..,2137,2137,2387,181,2569,973,31,1001,805,13,818,367,5,370,191,10,205,4720,2385,7099
5254,..,176,176,316,19,339,130,0,126,126,0,126,58,0,58,27,0,27,653,202,855
5255,..,820,820,1310,59,1373,455,13,468,521,0,521,202,0,205,78,0,78,2572,886,3460
5256,..,201,201,210,22,229,77,5,77,38,0,38,25,0,25,9,0,9,351,226,577
5259,..,101,101,152,9,162,55,0,55,41,0,39,22,0,22,16,0,16,280,108,389
5260,..,244,244,282,18,298,80,3,83,77,0,77,35,0,35,11,0,11,487,263,752
5261,..,33,33,51,6,57,15,0,15,17,0,17,8,0,8,6,0,6,97,35,137
5262,..,43,43,54,0,62,17,3,19,24,0,24,8,0,8,4,0,4,111,47,158
5263,..,10,10,15,0,15,12,0,12,6,0,6,0,0,0,0,0,0,33,10,48
5264,..,158,158,197,11,211,64,0,68,32,0,32,23,0,23,10,0,10,333,171,498
5265,..,51,51,52,0,58,19,0,19,19,0,19,11,0,11,4,0,4,111,52,167
5266,..,53,53,90,3,92,19,0,19,18,0,18,21,0,21,6,0,6,160,54,213
5267,..,189,189,270,13,284,73,0,73,82,0,82,67,0,67,18,0,18,508,199,712
5268,..,376,376,436,37,475,167,10,174,152,8,162,74,9,83,31,9,39,863,447,1306
5269,..,28,28,33,3,37,11,0,11,15,0,15,7,0,7,7,0,7,59,34,94
5270,..,46,46,84,0,89,34,0,34,26,0,26,18,0,18,9,0,9,172,51,224
5271,..,750,750,999,65,1067,333,20,354,370,8,375,171,7,178,68,11,74,1940,857,2795
5272,..,85,85,135,3,137,31,0,31,38,0,38,14,0,14,3,0,3,221,88,311
5273,..,10,10,13,0,13,11,0,11,4,0,4,3,0,3,0,0,0,30,10,41
5275,..,319,319,395,13,403,101,0,103,109,0,109,42,0,42,8,0,8,660,329,987
5276,..,167,167,191,12,200,47,0,46,34,0,34,16,0,16,11,0,11,297,177,478
5277,..,330,330,404,20,430,136,3,145,124,3,131,78,0,78,21,0,21,771,361,1135
5278,..,48,48,76,0,74,25,0,29,28,0,28,15,0,15,4,0,4,143,54,197
5279,..,48,48,84,8,93,31,0,31,15,0,15,13,0,13,7,0,7,150,57,200
5280,..,923,923,1062,40,1100,326,5,330,312,3,317,155,0,155,71,0,71,1930,967,2897
5290,..,3308,3308,3284,222,3503,1292,29,1319,1263,8,1265,455,4,462,226,0,226,6516,3565,10082
5291,..,581,581,1088,45,1133,407,3,414,550,3,550,227,0,227,86,0,86,2359,626,2988
5301,..,46,46,96,3,98,14,0,18,23,0,23,14,0,14,9,0,9,166,54,212
5302,..,91,91,126,10,136,32,0,32,50,0,50,15,0,15,3,0,3,220,96,315
5303,..,12,12,14,3,18,14,0,14,11,0,11,8,0,8,0,0,0,49,20,65
5304,..,103,103,97,5,106,44,0,45,28,0,34,20,0,20,0,0,0,193,116,304
5306,..,14,14,9,0,13,5,0,5,3,0,3,3,0,3,0,0,0,19,9,35
5307,..,65,65,94,3,93,26,0,26,23,0,23,17,0,17,4,0,4,158,68,226
5308,..,14,14,25,0,21,7,0,7,7,0,7,4,0,4,4,0,4,42,18,55
5309,..,20,20,17,0,17,7,0,7,3,0,3,5,0,5,0,0,0,37,20,54
5310,..,7,7,9,0,9,3,0,3,3,0,3,0,0,0,0,0,0,13,7,26
5311,..,31,31,55,0,58,25,0,25,20,0,20,5,0,5,10,0,10,115,33,148
5320,..,108,108,112,3,117,37,0,37,20,0,20,4,0,4,0,0,0,177,115,285
5321,..,60,60,61,7,66,10,0,10,7,0,12,3,0,3,3,0,3,94,63,154
5322,..,93,93,159,7,168,50,5,53,44,0,44,19,0,19,6,0,6,277,108,384
5330,..,390,390,515,18,537,151,3,149,158,0,157,69,0,65,28,0,28,921,415,1329
5331,..,28,28,53,0,55,14,0,14,19,0,19,7,0,7,4,0,4,90,30,121
5332,..,43,43,64,8,66,15,0,14,14,0,14,7,0,7,3,0,3,109,49,159
5333,..,683,683,825,39,865,296,11,308,282,3,286,104,0,106,49,0,44,1565,737,2297
5340,..,145,145,211,10,220,69,0,67,49,0,49,21,0,21,17,0,17,365,156,520
5341,..,867,867,1042,73,1117,393,6,395,334,3,341,155,3,155,71,4,77,2001,951,2953
5342,..,95,95,172,10,183,56,0,54,56,0,56,32,0,32,5,0,5,323,100,430
5343,..,671,671,650,46,700,259,9,265,204,5,204,95,0,96,34,0,33,1243,731,1970
5344,..,85,85,132,7,139,53,0,53,50,0,50,26,0,26,8,0,8,269,91,359
5345,..,474,474,512,38,549,165,0,165,138,3,141,73,0,73,35,0,35,923,509,1434
5346,..,26,26,59,0,61,19,0,19,16,0,16,9,0,9,3,0,3,114,30,140
5350,..,26,26,47,0,49,19,0,19,38,0,38,10,0,10,9,0,9,126,29,154
