_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
5540,..,2059,2059,2013,104,2120,807,8,812,676,3,675,311,0,311,135,0,135,3937,2174,6113
5550,..,116,116,105,3,114,46,3,53,45,0,42,24,0,24,12,0,12,231,123,359
5552,..,23,23,46,6,56,21,0,21,15,0,15,15,0,15,0,0,0,105,30,131
5554,..,589,589,721,32,746,255,5,256,231,0,236,125,0,125,42,0,42,1373,625,2002
5555,..,41,41,94,4,96,22,0,22,19,0,19,15,0,15,0,0,0,146,44,194
5556,..,542,542,720,51,769,194,3,199,152,0,152,49,0,49,20,0,20,1137,598,1733
5558,..,621,621,839,33,877,206,8,211,173,0,173,71,0,71,37,0,37,1317,664,1982
5560,..,50,50,65,3,73,20,0,24,19,0,19,12,0,12,3,0,3,121,57,177
5570,..,96,96,104,8,113,18,0,18,7,0,7,9,0,9,0,0,0,140,108,244
5571,..,273,273,366,14,379,65,0,71,40,0,40,37,0,37,8,0,8,520,291,815
5572,..,20,20,23,0,23,3,0,3,4,0,4,5,0,5,0,0,0,38,18,62
5573,..,255,255,322,15,332,74,0,77,77,0,77,45,0,45,12,0,12,533,267,803
5575,..,317,317,391,10,401,98,0,98,68,0,68,43,0,43,14,0,15,617,331,945
5576,..,157,157,167,15,184,55,0,58,39,0,42,22,0,22,8,0,8,294,181,475
5577,..,77,77,85,0,86,19,0,19,18,0,18,10,0,10,7,0,7,144,75,221
5580,..,54,54,51,0,51,19,0,19,10,0,10,8,0,8,5,0,5,92,54,150
5581,..,89,89,123,3,124,17,0,17,13,0,13,8,0,8,0,0,0,151,92,252
5582,..,83,83,126,0,127,22,0,22,24,0,24,4,0,4,3,0,3,180,83,261
5583,..,149,149,139,3,141,20,0,20,28,0,28,11,0,11,10,0,10,202,152,354
5600,..,803,803,832,42,878,352,9,355,298,0,300,116,0,112,39,0,39,1629,859,2483
5601,..,77,77,71,4,68,15,0,15,15,0,15,13,0,13,3,0,3,119,78,196
5602,..,145,145,196,7,209,52,0,52,56,0,56,33,0,33,7,0,7,346,154,498
5603,..,42,42,62,0,65,19,0,19,25,0,25,7,0,7,4,0,4,119,41,155
5604,..,34,34,42,0,41,12,0,12,0,0,0,3,0,3,0,0,0,57,38,96
5605,..,272,272,300,16,315,63,0,65,53,0,53,24,0,24,13,0,13,450,285,740
5606,..,1677,1677,1814,154,1970,692,20,712,650,3,657,274,0,274,94,0,94,3528,1864,5395
5607,..,394,394,650,29,681,227,4,231,247,0,247,109,0,109,44,0,44,1282,431,1711
5608,..,2028,2028,1697,142,1842,681,13,693,581,0,579,243,0,243,108,0,108,3311,2190,5497
5609,..,134,134,221,11,227,112,0,115,127,0,127,53,0,53,10,0,10,529,146,671
5630,..,15,15,9,0,9,10,0,10,6,0,6,9,0,9,3,0,3,31,15,46
5631,..,97,97,154,8,157,27,0,27,54,0,54,30,0,30,13,0,13,279,106,382
5632,..,12,12,32,0,32,10,0,10,11,0,11,13,0,13,4,0,4,71,12,82
5633,..,33,33,46,0,46,19,0,19,9,0,9,11,0,11,0,0,0,85,36,121
5640,..,153,153,157,8,162,43,0,43,38,0,38,20,0,20,9,0,9,261,163,418
5641,..,111,111,142,3,150,31,0,31,43,0,43,34,0,34,9,0,9,260,120,379
5642,..,29,29,32,0,28,11,0,11,9,0,9,15,0,15,4,0,4,61,26,91
5650,..,21,21,25,0,25,3,0,3,8,0,8,9,0,9,0,0,0,44,21,65
5651,..,11,11,7,0,5,4,0,4,6,0,6,0,0,0,0,0,0,20,13,31
5652,..,76,76,98,3,102,30,0,30,34,0,34,21,0,21,3,0,3,187,83,269
5653,..,12,12,13,0,13,0,0,0,0,0,0,6,0,6,3,0,3,22,12,30
5654,..,38,38,34,0,39,9,0,9,5,0,5,3,0,3,4,0,4,63,36,95
5655,..,12,12,16,0,16,0,0,0,6,0,6,3,0,3,0,0,0,23,12,32
5660,..,3,3,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,9,3,15
5661,..,11,11,19,0,25,7,0,7,4,0,4,6,0,6,0,0,0,37,11,51
5670,..,62,62,74,0,74,15,0,15,22,0,22,8,0,8,4,0,4,130,62,193
5671,..,27,27,25,0,23,6,0,6,3,0,3,3,0,3,0,0,0,44,27,64
5680,..,242,242,310,13,320,80,0,79,94,0,94,40,0,40,22,0,22,542,255,792
5690,..,368,368,423,20,448,171,0,177,156,0,156,79,0,79,62,0,62,895,392,1288
5700,..,1425,1425,1343,113,1458,593,6,599,444,11,457,196,0,196,122,0,122,2702,1553,4252
5701,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
