Zip Code,AREA_SQKM
5166,1.8617
5167,4.2534
5168,9.0287
5169,15.2726
5170,6.5506
5171,115.916
5172,170.8569
5173,29.1294
5174,52.345
5201,139.5273
5202,159.1826
5203,211.4116
5204,296.6796
5210,90.6108
5211,459.0188
5212,21.2672
5213,35.4559
5214,272.0239
5220,2.8044
5221,38.5042
5222,385.6595
5223,3973.7629
5231,99.4012
5232,42.9974
5233,77.5345
5234,43.6525
5235,383.4232
5236,129.8575
5237,198.108
5238,1487.1244
5240,22.0768
5241,26.1921
5242,31.6068
5243,26.981
5244,223.481
5245,31.6551
5250,15.1988
5251,102.369
5252,115.3918
5253,874.8933
5254,666.2306
5255,818.4928
5256,180.1769
5259,1808.2586
5260,285.3978
5261,1136.2253
5262,486.0558
5263,110.6966
5264,1613.5263
5265,1080.5249
5266,2013.9485
5267,3257.9967
5268,1753.5089
5269,286.9141
5270,531.5749
5271,2810.9238
5272,1923.2811
5273,316.5938
5275,3123.7221
5276,543.9247
5277,1201.6921
5278,255.9375
5279,523.2743
5280,1958.323
5290,26.7965
5291,1741.3724
5301,1980.3562
5302,4004.2821
5303,739.8952
5304,1682.473
5306,314.7244
5307,1073.8818
5308,1286.2451
5309,1288.1845
5310,443.0505
5311,3234.6573
5320,1820.4802
5321,176.2185
5322,91.681
5330,1842.3889
5331,83.815
5332,292.1294
5333,720.6351
5340,679.1132
5341,2497.386
5342,213.2351
5343,202.1922
5344,31.468
5345,205.3057
5346,15.3753
5350,32.1523
5351,284.0785
5352,108.5768
5353,1027.7626
5354,891.7726
5355,158.1546
5356,666.0608
5357,1117.9594
5360,34.4409
5371,112.6509
5372,88.8785
5373,453.1664
5374,1373.3476
5381,652.6147
5400,171.4653
5401,269.0932
5410,88.1949
5411,102.5527
5412,218.3209
5413,502.8396
5414,93.3548
5415,130.8943
5416,167.9489
5417,17230.4585
5418,546.1272
5419,1432.8203
5420,279.6993
5421,318.5731
5422,3115.844
5431,4000.9125
5432,8075.8495
5433,1523.8032
5434,9367.7992
5440,48669.2492
5451,141.8682
5452,70.8572
5453,544.4628
5454,545.5774
5455,92.2952
5460,313.4523
5461,871.5763
5462,159.1215
5464,812.8317
5470,180.8056
5471,127.8191
5472,172.3594
5473,204.7636
5480,256.6451
5481,352.449
5482,440.7632
5483,328.6549
5485,601.7359
5490,262.8676
5491,777.598
5493,18.8997
5495,548.9596
5501,655.7071
5502,356.5446
5510,128.0996
5520,516.7301
5521,157.8364
5522,378.4738
5523,966.8183
5540,746.8247
5550,594.0299
5552,585.505
5554,431.7849
5555,605.9659
5556,146.5314
5558,429.9849
5560,363.8128
5570,199.1415
5571,523.3677
5572,145.011
5573,1116.7128
5575,1367.3235
5576,474.9031
5577,958.4969
5580,303.4677
5581,78.0889
5582,60.7914
5583,73.8878
5600,4440.9454
5601,1101.2389
5602,3268.8786
5603,1596.9115
5604,268.3535
5605,593.6214
5606,88.5758
5607,6379.9225
