_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
5114,..,59,817,1046,1189,1003,599,253,54,5029,..,221,576,288,247,122,43,12,3,1509,..,7,56,91,112,55,10,4,7,350,3913,..,..,..,..,..,..,..,..,3913,..,893,..,..,..,..,..,..,..,893,..,773,361,102,38,11,0,0,0,1292,..,126,82,32,20,37,22,13,11,328,..,73,73,41,19,17,5,0,0,227,..,121,103,50,74,47,23,8,0,431,..,49,209,216,237,204,106,52,21,1093,102,105,108,58,41,27,14,7,3,462,4008,2430,2384,1927,1989,1524,820,341,93,15522,..,105,1086,1080,1218,934,528,166,19,5143,..,325,599,283,237,97,31,8,0,1586,..,150,501,459,437,158,45,28,14,1783,3761,..,..,..,..,..,..,..,..,3761,..,908,..,..,..,..,..,..,..,908,..,532,162,43,24,14,3,0,0,772,..,111,55,13,34,66,51,31,17,378,..,73,32,11,16,7,0,3,0,137
5115,..,28,371,292,219,200,125,62,5,1294,..,113,257,96,60,23,5,0,0,564,..,0,21,26,29,18,6,4,0,102,1347,..,..,..,..,..,..,..,..,1347,..,193,..,..,..,..,..,..,..,193,..,187,85,36,24,3,0,0,0,335,..,44,31,17,7,8,7,3,0,116,..,25,32,7,9,3,0,0,0,82,..,53,59,11,25,13,6,3,0,171,..,44,96,74,77,64,24,3,3,393,38,29,36,15,8,10,4,0,0,134,1378,724,982,573,458,335,178,77,10,4726,..,56,442,268,233,192,115,38,3,1341,..,184,230,78,60,31,0,3,0,593,..,67,223,144,104,35,23,8,4,607,1282,..,..,..,..,..,..,..,..,1282,..,193,..,..,..,..,..,..,..,193,..,126,48,13,10,4,0,0,0,202,..,38,19,9,8,13,11,0,3,108,..,20,10,4,5,4,0,0,0,46
5116,..,10,184,262,287,320,246,191,48,1547,..,70,146,72,44,26,14,8,0,374,..,0,9,23,37,7,3,3,8,83,909,..,..,..,..,..,..,..,..,909,..,227,..,..,..,..,..,..,..,227,..,205,76,33,12,6,0,0,0,341,..,21,11,3,0,4,3,3,3,50,..,16,18,12,5,7,3,0,0,56,..,12,21,15,13,13,6,5,0,83,..,19,63,61,70,93,61,49,20,428,18,19,18,15,9,5,6,0,0,90,927,598,536,489,476,488,346,258,72,4183,..,28,255,255,308,302,270,148,17,1579,..,92,144,72,49,31,16,3,0,395,..,23,117,138,138,52,12,11,5,503,888,..,..,..,..,..,..,..,..,888,..,217,..,..,..,..,..,..,..,217,..,142,37,4,5,9,0,0,0,205,..,18,6,5,5,14,10,13,5,72,..,13,7,0,6,0,0,0,0,30
5117,..,0,67,146,186,113,61,40,9,618,..,3,21,27,22,15,4,0,0,92,..,0,0,4,5,0,0,0,0,18,348,..,..,..,..,..,..,..,..,348,..,97,..,..,..,..,..,..,..,97,..,94,26,9,3,0,0,0,0,132,..,4,0,0,0,0,0,0,0,9,..,3,4,0,0,0,0,0,0,10,..,0,4,4,3,0,3,0,0,10,..,0,7,3,13,11,4,8,4,54,0,6,0,6,3,3,0,0,0,17,348,202,130,194,239,147,81,48,9,1398,..,5,79,182,190,85,72,22,3,630,..,5,24,23,26,5,7,0,0,97,..,0,9,9,7,3,0,0,0,37,326,..,..,..,..,..,..,..,..,326,..,93,..,..,..,..,..,..,..,93,..,64,13,0,3,0,0,0,0,76,..,8,3,0,0,4,5,3,0,19,..,0,4,0,0,0,0,0,0,9
5118,..,17,321,549,806,726,559,277,78,3317,..,75,178,133,133,76,37,7,0,640,..,4,12,26,54,44,10,12,4,166,1557,..,..,..,..,..,..,..,..,1557,..,480,..,..,..,..,..,..,..,480,..,455,179,51,41,18,0,0,0,743,..,33,15,16,15,21,10,7,4,116,..,19,9,7,12,11,0,0,0,70,..,32,37,24,28,30,8,7,0,162,..,18,87,110,143,184,120,90,43,799,32,37,45,22,17,16,12,6,4,182,1587,1172,882,940,1240,1116,764,400,136,8240,..,23,417,652,845,717,484,220,40,3405,..,113,195,146,116,69,31,3,0,668,..,31,104,171,202,88,23,24,10,654,1555,..,..,..,..,..,..,..,..,1555,..,482,..,..,..,..,..,..,..,482,..,278,89,23,20,11,3,0,0,421,..,32,6,6,22,29,27,24,11,153,..,28,8,7,10,3,3,0,0,58
5120,..,0,46,82,71,91,57,33,8,385,..,4,13,14,10,6,0,0,0,46,..,0,0,6,5,3,3,7,0,20,187,..,..,..,..,..,..,..,..,187,..,41,..,..,..,..,..,..,..,41,..,40,36,17,7,3,0,0,0,92,..,7,8,0,0,3,3,0,0,17,..,3,0,0,3,0,0,0,0,7,..,0,3,5,7,8,0,0,0,20,..,0,5,17,25,30,24,4,3,104,3,8,3,7,4,3,4,0,0,27,190,102,107,144,129,152,88,44,13,961,..,5,71,72,85,86,48,19,3,387,..,4,16,13,11,3,0,0,0,45,..,0,4,20,6,6,3,3,3,42,194,..,..,..,..,..,..,..,..,194,..,37,..,..,..,..,..,..,..,37,..,35,14,6,7,0,0,0,0,67,..,7,8,0,0,5,0,4,3,23,..,3,0,0,0,0,0,0,0,3
5121,..,3,30,46,48,72,76,49,7,324,..,18,26,7,17,7,3,0,3,81,..,0,0,3,0,3,0,0,0,13,126,..,..,..,..,..,..,..,..,126,..,33,..,..,..,..,..,..,..,33,..,28,23,15,9,3,0,0,0,66,..,5,5,0,3,3,0,0,0,17,..,3,3,0,0,4,0,0,0,16,..,6,6,4,0,3,0,0,0,20,..,4,4,4,14,20,7,12,5,69,0,3,4,3,6,4,0,0,0,22,130,98,94,88,99,113,89,57,9,783,..,3,46,42,57,72,67,39,4,320,..,21,25,5,15,4,0,3,0,72,..,0,10,10,8,3,0,10,0,48,123,..,..,..,..,..,..,..,..,123,..,32,..,..,..,..,..,..,..,32,..,29,11,0,7,4,0,0,0,47,..,4,4,0,0,3,3,3,0,21,..,3,0,0,0,0,0,0,0,4
5125,..,16,325,796,1052,860,567,261,45,3905,..,42,174,117,123,74,13,4,0,550,..,0,11,35,64,42,6,0,0,158,1811,..,..,..,..,..,..,..,..,1811,..,669,..,..,..,..,..,..,..,669,..,481,193,46,14,8,3,0,0,739,..,43,37,7,6,3,3,3,0,110,..,12,15,9,6,5,0,0,0,50,..,12,24,16,18,18,10,4,0,102,..,15,77,83,140,106,52,56,6,531,26,27,38,19,18,6,7,9,0,154,1841,1315,896,1120,1432,1117,665,337,58,8787,..,14,469,910,1072,799,521,181,23,3995,..,73,170,126,109,60,20,4,0,567,..,14,91,190,254,90,22,13,7,676,1718,..,..,..,..,..,..,..,..,1718,..,646,..,..,..,..,..,..,..,646,..,331,134,25,15,7,0,0,0,505,..,39,13,3,20,14,16,24,3,132,..,21,14,6,0,0,0,0,0,49
5126,..,3,153,282,270,300,289,103,16,1420,..,28,117,57,46,27,12,0,0,294,..,0,5,17,24,20,3,3,0,76,668,..,..,..,..,..,..,..,..,668,..,177,..,..,..,..,..,..,..,177,..,175,77,35,9,4,0,0,0,308,..,16,7,6,4,0,3,0,0,36,..,11,3,5,3,0,0,0,0,27,..,5,22,7,5,3,4,0,0,58,..,5,46,51,64,39,39,22,13,272,10,12,23,11,9,5,8,3,0,78,672,447,443,483,440,405,354,135,26,3414,..,9,210,297,280,298,258,67,13,1429,..,34,111,68,53,24,6,5,0,297,..,3,33,63,81,51,20,9,3,254,649,..,..,..,..,..,..,..,..,649,..,172,..,..,..,..,..,..,..,172,..,117,44,13,6,3,0,0,0,182,..,15,6,0,4,9,6,9,3,54,..,5,9,3,0,0,0,0,0,18
5127,..,4,141,262,369,422,274,86,23,1583,..,20,72,61,48,37,17,3,0,256,..,0,7,21,17,22,3,0,0,70,641,..,..,..,..,..,..,..,..,641,..,226,..,..,..,..,..,..,..,226,..,208,114,29,12,4,0,0,0,366,..,15,12,0,5,4,0,5,0,44,..,0,8,3,3,4,0,0,0,20,..,8,13,8,9,7,9,0,0,46,..,15,31,37,46,66,33,19,6,252,11,7,5,9,5,0,9,0,0,47,645,505,406,425,521,556,341,118,37,3559,..,11,175,282,428,397,231,68,8,1598,..,34,72,66,55,31,8,4,0,264,..,3,35,83,125,60,13,6,3,330,590,..,..,..,..,..,..,..,..,590,..,274,..,..,..,..,..,..,..,274,..,152,78,14,4,3,0,0,0,252,..,26,7,3,3,9,12,4,11,74,..,4,10,0,7,6,0,0,0,19
