_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
5000,..,18,288,256,155,188,179,63,26,1172,..,149,296,97,63,57,27,8,0,680,..,0,0,13,24,9,7,4,0,61,306,..,..,..,..,..,..,..,..,306,..,89,..,..,..,..,..,..,..,89,..,29,29,11,8,0,0,0,0,77,..,104,29,4,6,11,3,0,0,163,..,63,39,8,0,3,0,0,0,118,..,822,425,74,41,18,6,5,0,1398,..,204,323,239,227,179,136,37,16,1368,16,59,69,29,24,11,10,4,0,222,326,1528,1508,736,556,479,373,116,39,5663,..,26,358,237,162,186,166,50,15,1199,..,174,286,76,45,40,25,0,0,658,..,6,21,60,56,42,15,10,11,218,321,..,..,..,..,..,..,..,..,321,..,81,..,..,..,..,..,..,..,81,..,34,29,9,7,5,0,0,0,84,..,99,43,11,10,7,4,3,7,181,..,81,38,0,0,0,0,0,0,126
5005,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
5006,..,0,101,124,148,177,197,92,34,871,..,15,119,50,34,47,24,9,0,305,..,0,3,3,10,13,0,0,0,27,212,..,..,..,..,..,..,..,..,212,..,106,..,..,..,..,..,..,..,106,..,34,31,10,8,0,0,0,0,82,..,20,12,0,0,4,4,0,0,41,..,15,11,0,5,0,0,0,0,23,..,146,143,25,3,7,4,7,0,344,..,26,97,71,89,72,78,37,20,488,0,12,6,9,3,12,6,0,0,55,212,375,525,296,295,321,312,143,56,2551,..,9,128,120,171,186,173,77,20,881,..,28,130,39,37,29,19,3,0,277,..,0,4,17,36,19,19,7,5,115,209,..,..,..,..,..,..,..,..,209,..,99,..,..,..,..,..,..,..,99,..,22,22,5,12,0,0,0,0,67,..,17,12,3,3,3,4,3,0,55,..,12,9,3,0,0,0,0,0,18
5007,..,5,152,193,150,137,89,50,26,813,..,37,182,76,48,21,10,9,0,390,..,0,3,22,15,21,5,6,0,79,360,..,..,..,..,..,..,..,..,360,..,107,..,..,..,..,..,..,..,107,..,70,59,17,18,9,0,0,0,172,..,33,30,14,11,8,11,0,0,99,..,34,26,6,4,0,0,0,0,74,..,154,185,34,24,20,7,0,0,426,..,22,89,95,93,99,54,31,17,502,10,23,29,12,12,8,3,0,0,96,371,479,760,468,384,329,182,104,50,3120,..,9,198,195,148,132,85,45,9,826,..,68,188,71,47,22,4,0,0,399,..,0,23,40,73,42,13,19,10,211,377,..,..,..,..,..,..,..,..,377,..,105,..,..,..,..,..,..,..,105,..,51,36,12,6,4,0,0,0,116,..,37,21,5,9,25,9,9,0,112,..,26,15,3,0,0,0,0,0,50
5008,..,10,294,465,411,357,243,179,64,2030,..,41,165,105,81,52,29,0,0,473,..,0,3,17,49,38,3,14,4,128,1038,..,..,..,..,..,..,..,..,1038,..,325,..,..,..,..,..,..,..,325,..,185,179,69,67,32,7,0,0,538,..,68,45,14,24,28,12,8,4,200,..,64,58,16,12,8,3,0,0,157,..,177,228,66,52,39,15,9,3,587,..,20,80,96,161,177,118,68,32,751,16,32,35,19,20,18,3,3,4,149,1048,922,1099,862,882,749,431,272,116,6385,..,31,412,469,420,328,246,123,29,2055,..,53,183,99,81,53,10,0,0,487,..,8,54,105,145,98,33,52,24,520,970,..,..,..,..,..,..,..,..,970,..,324,..,..,..,..,..,..,..,324,..,151,118,25,36,19,4,0,0,347,..,56,33,13,14,24,28,23,9,205,..,36,21,3,0,0,0,0,0,62
5009,..,6,108,180,212,157,96,87,18,862,..,6,62,34,38,20,9,0,0,165,..,0,0,7,16,14,3,3,3,48,393,..,..,..,..,..,..,..,..,393,..,132,..,..,..,..,..,..,..,132,..,94,65,21,11,8,3,0,0,194,..,14,20,5,5,5,4,0,3,57,..,17,11,3,6,3,0,0,0,43,..,49,55,28,24,9,8,0,0,175,..,4,27,38,62,68,35,18,13,265,4,11,7,6,17,7,3,0,0,50,402,341,344,319,375,291,162,110,50,2386,..,3,150,181,199,160,103,51,13,861,..,17,50,45,28,15,5,0,0,160,..,4,14,41,58,31,6,12,3,173,384,..,..,..,..,..,..,..,..,384,..,132,..,..,..,..,..,..,..,132,..,63,24,15,14,3,0,0,0,111,..,16,4,7,9,12,7,3,9,64,..,12,10,0,0,0,0,0,0,27
5010,..,3,133,224,212,159,100,42,18,897,..,10,43,32,20,19,4,0,0,137,..,0,4,6,13,3,6,4,3,41,510,..,..,..,..,..,..,..,..,510,..,160,..,..,..,..,..,..,..,160,..,87,74,33,20,8,0,0,0,225,..,22,22,8,8,8,8,8,5,89,..,17,32,5,4,0,0,0,0,57,..,38,26,21,24,13,3,3,0,129,..,0,17,30,46,60,43,27,9,240,7,9,9,9,0,7,0,3,0,46,518,350,372,377,344,284,161,87,32,2519,..,11,196,260,167,151,78,47,4,905,..,17,55,41,17,12,3,0,0,138,..,6,43,54,76,46,27,21,4,286,497,..,..,..,..,..,..,..,..,497,..,167,..,..,..,..,..,..,..,167,..,74,51,19,14,9,0,0,0,165,..,24,21,6,14,20,16,13,7,123,..,24,19,0,3,0,0,0,0,51
5011,..,8,305,477,432,364,196,110,29,1925,..,43,183,102,77,46,13,3,3,469,..,0,0,16,33,27,12,6,10,95,969,..,..,..,..,..,..,..,..,969,..,307,..,..,..,..,..,..,..,307,..,175,140,47,21,17,0,0,0,406,..,51,32,7,10,6,9,0,0,131,..,32,31,12,6,3,0,3,0,85,..,88,89,34,25,24,16,0,3,283,..,34,96,80,126,119,90,35,29,614,15,15,35,19,11,7,3,3,0,113,987,763,915,788,748,620,346,161,69,5400,..,26,421,470,447,328,178,77,12,1949,..,70,208,82,80,32,8,0,0,482,..,11,53,80,128,65,31,21,28,414,936,..,..,..,..,..,..,..,..,936,..,299,..,..,..,..,..,..,..,299,..,140,77,17,24,16,4,0,0,268,..,55,28,6,8,35,17,21,12,178,..,29,22,7,0,3,4,0,0,69
5012,..,17,292,409,370,286,184,117,33,1710,..,27,100,59,46,36,9,4,0,280,..,4,11,21,27,25,12,3,4,109,1063,..,..,..,..,..,..,..,..,1063,..,363,..,..,..,..,..,..,..,363,..,192,172,57,29,18,3,0,0,470,..,69,67,24,18,22,17,6,4,224,..,42,56,20,16,14,4,0,0,154,..,74,86,38,34,22,13,0,0,270,..,23,67,75,101,111,82,44,29,523,15,24,18,12,16,7,9,0,3,107,1080,842,865,717,660,534,332,175,65,5265,..,50,406,460,328,259,135,80,13,1726,..,38,110,52,43,26,10,0,0,280,..,22,93,123,142,76,19,33,20,529,1027,..,..,..,..,..,..,..,..,1027,..,359,..,..,..,..,..,..,..,359,..,112,79,21,9,10,3,0,0,234,..,61,41,24,17,41,24,19,17,244,..,56,34,13,3,6,0,0,0,111
5013,..,7,189,263,302,293,188,92,32,1359,..,30,118,79,61,40,18,3,0,340,..,0,6,19,42,30,13,3,7,115,771,..,..,..,..,..,..,..,..,771,..,274,..,..,..,..,..,..,..,274,..,206,176,78,51,12,6,0,0,523,..,55,22,16,24,21,17,3,4,161,..,16,16,12,10,5,0,0,0,65,..,23,43,38,47,36,17,4,0,205,..,29,67,94,170,161,101,49,25,690,17,21,37,14,18,14,6,3,0,135,788,661,662,615,710,614,355,160,76,4639,..,19,264,298,303,240,162,66,20,1375,..,52,113,72,71,43,11,0,3,361,..,21,74,110,149,104,46,26,24,545,745,..,..,..,..,..,..,..,..,745,..,272,..,..,..,..,..,..,..,272,..,123,77,23,25,11,0,0,0,260,..,49,20,14,15,39,23,19,13,185,..,11,15,5,0,4,0,0,0,42
5014,..,8,241,360,361,388,247,177,65,1844,..,34,168,94,94,55,15,5,0,473,..,0,12,17,48,32,16,6,10,133,832,..,..,..,..,..,..,..,..,832,..,260,..,..,..,..,..,..,..,260,..,235,167,62,44,23,4,0,0,535,..,39,29,12,17,21,15,0,0,137,..,16,22,4,7,4,3,0,0,50,..,39,46,24,36,27,18,4,0,196,..,11,89,111,150,171,115,55,46,743,10,15,32,20,12,8,3,3,3,106,836,658,804,710,775,722,441,251,118,5315,..,22,311,369,402,374,228,151,19,1879,..,66,165,104,79,49,8,4,0,479,..,10,72,128,139,83,43,39,29,534,854,..,..,..,..,..,..,..,..,854,..,254,..,..,..,..,..,..,..,254,..,155,97,13,30,15,3,0,0,317,..,27,13,4,11,24,22,14,19,133,..,15,11,10,0,0,0,0,0,41
5015,..,3,83,161,159,158,129,47,20,764,..,16,94,65,61,42,14,4,0,291,..,0,0,12,29,12,4,3,0,58,382,..,..,..,..,..,..,..,..,382,..,96,..,..,..,..,..,..,..,96,..,91,72,23,18,9,0,0,0,204,..,14,15,9,6,7,3,3,0,56,..,0,8,9,0,8,0,0,0,27,..,21,42,15,19,24,7,0,0,127,..,21,68,72,98,110,72,27,16,482,4,14,22,9,23,6,9,0,0,89,388,286,406,376,405,380,234,83,37,2591,..,10,126,159,183,156,101,45,6,781,..,38,100,57,63,42,11,3,0,307,..,12,49,70,87,39,17,17,4,293,375,..,..,..,..,..,..,..,..,375,..,108,..,..,..,..,..,..,..,108,..,60,39,4,5,4,0,0,0,112,..,17,14,4,11,10,14,6,0,73,..,5,3,3,3,0,0,0,0,15
5016,..,3,141,267,321,299,210,110,37,1389,..,25,142,78,89,50,18,5,3,412,..,0,4,11,29,22,6,0,3,86,704,..,..,..,..,..,..,..,..,704,..,199,..,..,..,..,..,..,..,199,..,139,81,43,17,9,0,0,0,297,..,17,15,4,8,11,6,3,3,75,..,6,13,7,3,3,3,0,0,39,..,25,39,9,12,15,9,3,0,118,..,11,46,66,91,108,69,40,28,457,19,12,20,12,16,9,3,5,4,89,726,438,500,501,598,522,327,171,78,3862,..,14,191,297,341,291,188,91,23,1431,..,41,162,84,96,56,20,4,0,462,..,10,59,76,88,58,20,19,8,340,607,..,..,..,..,..,..,..,..,607,..,196,..,..,..,..,..,..,..,196,..,130,71,17,16,9,0,0,0,236,..,21,9,8,7,8,9,10,12,89,..,11,3,0,5,4,0,0,0,23
5017,..,4,65,102,139,127,139,75,12,669,..,13,67,44,46,31,15,3,0,227,..,0,4,14,19,13,0,3,0,55,398,..,..,..,..,..,..,..,..,398,..,108,..,..,..,..,..,..,..,108,..,126,57,39,20,7,3,0,0,244,..,13,12,9,5,10,4,7,0,59,..,8,5,3,8,5,0,0,0,35,..,12,15,5,17,14,13,0,0,87,..,7,26,39,58,94,48,23,8,306,7,9,11,14,5,4,5,0,0,59,405,294,271,274,319,305,225,120,24,2245,..,4,91,116,141,129,134,56,4,679,..,21,68,53,50,29,12,3,0,234,..,10,56,92,80,37,18,19,14,322,415,..,..,..,..,..,..,..,..,415,..,118,..,..,..,..,..,..,..,118,..,77,30,12,8,11,0,0,0,141,..,8,10,0,5,10,13,6,3,53,..,10,6,4,0,0,0,0,0,19
5018,..,0,64,135,222,349,264,83,20,1143,..,13,60,48,42,49,25,3,0,235,..,0,4,10,17,8,3,0,0,42,352,..,..,..,..,..,..,..,..,352,..,142,..,..,..,..,..,..,..,142,..,139,73,31,12,5,0,0,0,259,..,16,7,4,3,3,0,0,0,34,..,4,0,3,4,0,0,0,0,16,..,8,16,3,6,10,8,0,3,49,..,6,16,28,50,60,57,31,18,269,6,11,3,5,12,9,3,3,3,53,362,327,251,256,364,498,360,121,45,2586,..,3,96,166,254,378,197,65,6,1171,..,18,68,39,47,49,17,3,0,247,..,3,22,47,55,32,11,4,5,171,317,..,..,..,..,..,..,..,..,317,..,144,..,..,..,..,..,..,..,144,..,102,49,13,0,0,3,0,0,170,..,10,3,3,5,14,9,8,3,56,..,4,4,0,0,0,0,0,0,13
5019,..,3,114,256,256,320,260,104,32,1338,..,17,96,95,94,64,28,7,0,404,..,3,5,17,32,27,14,0,3,97,662,..,..,..,..,..,..,..,..,662,..,187,..,..,..,..,..,..,..,187,..,147,102,41,24,9,0,0,0,320,..,28,13,6,12,9,4,0,0,82,..,8,4,9,10,3,3,0,0,39,..,26,54,18,20,20,11,3,0,152,..,18,65,87,107,139,83,43,33,581,11,13,23,21,17,8,14,3,3,108,677,440,484,549,574,595,406,164,79,3969,..,3,167,267,290,302,226,81,12,1356,..,36,102,112,123,71,25,5,0,471,..,7,51,93,105,61,32,24,11,381,598,..,..,..,..,..,..,..,..,598,..,196,..,..,..,..,..,..,..,196,..,102,45,15,10,13,3,0,0,187,..,25,10,4,7,19,16,17,6,103,..,13,15,3,3,0,0,0,0,37
5020,..,0,40,105,128,146,157,70,19,671,..,0,24,19,13,13,10,0,0,82,..,0,3,3,10,0,0,0,0,25,234,..,..,..,..,..,..,..,..,234,..,70,..,..,..,..,..,..,..,70,..,53,42,11,7,3,0,0,0,121,..,12,0,0,0,3,3,0,0,19,..,3,0,0,3,0,3,0,0,11,..,4,4,0,0,3,0,0,0,24,..,8,8,18,20,34,22,12,12,119,0,3,4,0,0,3,0,3,0,20,234,150,132,168,182,212,202,89,30,1393,..,0,60,119,134,177,132,51,11,689,..,6,28,17,21,21,4,0,0,93,..,3,10,14,26,17,9,6,0,82,230,..,..,..,..,..,..,..,..,230,..,69,..,..,..,..,..,..,..,69,..,38,32,9,6,0,3,0,0,84,..,4,3,0,0,8,5,3,9,25,..,3,0,0,0,0,0,0,0,4
5021,..,0,55,152,191,274,382,191,75,1325,..,5,33,23,36,24,12,11,0,154,..,0,3,7,7,6,8,3,0,36,325,..,..,..,..,..,..,..,..,325,..,151,..,..,..,..,..,..,..,151,..,106,68,30,21,9,0,0,0,233,..,26,3,3,3,7,5,3,0,50,..,10,8,3,0,0,0,0,0,22,..,8,12,0,8,6,13,0,3,50,..,7,19,30,33,42,56,35,29,238,3,15,11,6,8,4,3,0,3,50,333,322,216,248,303,378,474,246,110,2635,..,0,90,169,210,351,328,151,38,1349,..,14,43,23,28,24,12,12,0,155,..,3,13,24,52,16,13,12,7,151,299,..,..,..,..,..,..,..,..,299,..,132,..,..,..,..,..,..,..,132,..,50,54,16,8,6,0,0,0,137,..,7,6,4,3,9,3,6,9,44,..,5,4,0,0,0,0,0,0,16
5022,..,6,192,546,651,633,499,282,75,2875,..,29,150,132,118,87,51,5,0,584,..,0,3,19,39,35,9,0,3,113,1239,..,..,..,..,..,..,..,..,1239,..,446,..,..,..,..,..,..,..,446,..,261,162,44,39,7,0,0,0,509,..,30,9,15,8,10,10,4,4,95,..,23,11,4,4,0,0,0,0,49,..,62,74,30,34,21,3,3,3,226,..,29,99,127,188,186,146,64,41,868,20,11,34,17,17,8,12,11,3,129,1262,898,734,929,1093,982,739,372,130,7132,..,12,270,600,732,628,469,196,43,2955,..,46,179,119,131,93,24,3,3,597,..,9,40,88,124,80,33,24,14,413,1094,..,..,..,..,..,..,..,..,1094,..,429,..,..,..,..,..,..,..,429,..,179,94,24,21,6,0,0,0,327,..,33,10,3,8,22,21,19,12,129,..,15,11,0,0,0,0,0,0,34
5023,..,19,378,503,526,444,371,340,112,2681,..,25,204,94,80,53,23,12,0,492,..,0,3,29,56,32,13,13,10,160,1243,..,..,..,..,..,..,..,..,1243,..,402,..,..,..,..,..,..,..,402,..,295,224,84,79,38,7,0,0,723,..,83,51,17,28,22,4,15,3,215,..,24,26,12,3,9,6,0,0,83,..,59,134,38,41,33,18,3,0,321,..,26,133,135,194,165,134,87,52,929,24,30,35,33,12,14,5,8,0,172,1274,971,1185,939,1027,814,576,480,179,7433,..,28,523,535,507,460,357,275,48,2733,..,52,203,110,84,45,13,7,0,518,..,16,103,183,253,120,60,58,44,847,1160,..,..,..,..,..,..,..,..,1160,..,411,..,..,..,..,..,..,..,411,..,211,148,48,37,29,5,0,0,475,..,49,44,16,19,32,32,30,20,245,..,24,22,3,0,0,0,0,0,54
5024,..,7,218,476,614,526,548,401,101,2890,..,21,93,76,71,49,12,6,0,333,..,0,0,21,46,16,10,10,6,111,997,..,..,..,..,..,..,..,..,997,..,381,..,..,..,..,..,..,..,381,..,226,172,52,60,24,0,0,0,537,..,44,22,5,15,7,4,3,0,105,..,19,13,7,9,3,0,0,0,48,..,56,53,21,23,16,11,0,0,184,..,22,71,86,116,100,78,75,53,599,16,22,19,13,18,11,10,6,0,119,1014,796,667,754,965,763,670,504,166,6306,..,14,316,543,639,528,551,293,53,2938,..,30,108,84,82,43,19,3,0,357,..,3,35,74,96,59,28,45,23,360,988,..,..,..,..,..,..,..,..,988,..,409,..,..,..,..,..,..,..,409,..,195,110,39,32,18,0,0,0,392,..,30,16,0,9,11,16,21,6,109,..,24,13,3,3,0,0,0,0,41
5025,..,3,156,307,337,281,294,245,62,1676,..,16,86,44,54,28,15,3,0,251,..,0,5,3,14,14,4,9,6,57,667,..,..,..,..,..,..,..,..,667,..,193,..,..,..,..,..,..,..,193,..,145,123,41,44,27,0,0,0,384,..,31,22,8,5,5,3,0,3,79,..,22,12,7,4,0,0,0,0,41,..,27,48,10,17,7,3,5,0,116,..,4,29,59,56,40,43,38,30,311,15,11,12,8,7,7,10,0,0,73,685,454,497,488,541,414,371,297,104,3852,..,3,223,302,365,303,304,167,28,1705,..,20,94,51,62,24,10,0,0,261,..,0,24,64,70,48,23,32,23,276,595,..,..,..,..,..,..,..,..,595,..,256,..,..,..,..,..,..,..,256,..,115,82,21,17,14,6,0,0,263,..,20,9,3,8,14,9,11,5,82,..,21,7,4,3,0,0,0,0,38
5031,..,3,198,303,285,212,153,137,35,1328,..,28,176,106,81,44,22,0,0,445,..,0,3,17,22,27,3,9,6,91,614,..,..,..,..,..,..,..,..,614,..,193,..,..,..,..,..,..,..,193,..,110,89,38,53,17,0,0,0,306,..,43,50,8,11,14,3,0,0,135,..,54,41,13,7,3,4,0,0,112,..,236,243,56,44,27,10,3,0,613,..,16,80,78,129,122,81,52,8,568,7,21,39,18,17,11,8,4,0,125,626,700,909,633,642,473,290,199,53,4532,..,10,265,324,290,199,132,104,21,1350,..,42,194,113,63,52,11,0,0,479,..,10,20,90,87,48,32,38,24,344,623,..,..,..,..,..,..,..,..,623,..,215,..,..,..,..,..,..,..,215,..,71,77,14,31,21,3,0,0,221,..,53,30,5,14,22,16,16,8,164,..,40,42,3,3,3,0,0,0,86
5032,..,8,366,503,493,401,298,238,83,2388,..,27,118,74,65,41,19,0,4,344,..,6,12,11,24,24,7,8,5,97,986,..,..,..,..,..,..,..,..,986,..,305,..,..,..,..,..,..,..,305,..,180,147,50,47,20,3,0,0,454,..,67,31,13,0,8,4,0,3,130,..,37,40,8,3,3,0,0,0,94,..,101,117,30,17,17,8,6,0,296,..,35,99,94,135,117,88,64,39,675,13,17,21,18,6,8,3,3,4,97,996,782,956,808,796,637,437,320,138,5867,..,39,479,507,495,381,290,177,40,2411,..,48,126,76,58,32,6,3,0,350,..,9,33,65,103,71,26,30,17,365,903,..,..,..,..,..,..,..,..,903,..,323,..,..,..,..,..,..,..,323,..,139,111,16,18,15,0,0,0,304,..,39,22,9,7,23,25,11,6,140,..,35,21,6,7,3,0,0,0,62
5033,..,4,232,298,221,160,133,97,41,1186,..,44,142,57,38,22,15,0,0,319,..,0,3,14,22,13,12,5,8,73,570,..,..,..,..,..,..,..,..,570,..,146,..,..,..,..,..,..,..,146,..,99,83,40,47,16,0,0,0,286,..,44,38,3,9,16,7,0,0,124,..,34,39,6,3,5,0,0,0,86,..,132,120,31,31,20,7,5,0,351,..,21,80,88,118,88,81,42,30,544,11,18,16,11,8,9,0,0,0,81,577,542,751,547,501,351,263,153,82,3764,..,16,308,282,203,150,131,85,13,1186,..,49,141,48,42,24,10,0,0,320,..,3,26,70,75,50,17,24,20,285,529,..,..,..,..,..,..,..,..,529,..,172,..,..,..,..,..,..,..,172,..,66,38,13,19,16,0,0,0,145,..,44,23,4,12,22,18,8,6,136,..,36,28,3,0,0,0,0,0,65
5034,..,4,174,404,376,350,255,94,49,1703,..,25,148,90,58,51,34,13,0,416,..,0,0,14,23,10,3,9,7,60,766,..,..,..,..,..,..,..,..,766,..,249,..,..,..,..,..,..,..,249,..,114,81,15,24,12,0,0,0,244,..,28,17,8,3,9,3,3,3,75,..,15,22,4,3,0,0,0,0,50,..,98,136,26,14,16,16,8,0,311,..,16,72,56,70,84,63,34,24,416,8,18,15,9,3,8,5,3,0,75,776,559,667,620,584,539,380,156,76,4365,..,15,253,417,387,349,217,74,25,1740,..,36,163,85,86,53,20,0,0,442,..,0,18,51,59,68,12,10,12,229,765,..,..,..,..,..,..,..,..,765,..,277,..,..,..,..,..,..,..,277,..,98,50,4,10,5,0,0,0,172,..,20,19,3,10,12,6,16,8,92,..,21,19,3,0,3,0,0,0,46
5035,..,3,140,252,189,159,117,79,16,957,..,23,117,49,40,33,10,5,0,270,..,0,0,8,24,16,3,3,4,47,467,..,..,..,..,..,..,..,..,467,..,126,..,..,..,..,..,..,..,126,..,63,59,21,10,8,0,0,0,158,..,19,12,0,3,0,0,0,0,48,..,6,16,4,3,3,0,0,0,36,..,70,77,13,12,12,6,0,0,193,..,24,67,69,61,60,56,18,17,377,3,11,14,8,3,4,0,3,0,49,470,349,506,423,340,291,202,110,44,2737,..,9,196,243,179,167,107,58,12,980,..,48,106,40,44,26,9,0,0,277,..,4,15,44,42,23,9,13,7,164,425,..,..,..,..,..,..,..,..,425,..,109,..,..,..,..,..,..,..,109,..,37,31,7,7,4,4,0,0,85,..,21,10,0,3,6,13,3,9,70,..,31,13,0,0,0,0,0,0,43
5037,..,6,318,420,316,249,213,175,76,1780,..,35,133,76,59,17,12,6,0,342,..,0,0,18,29,21,11,0,8,84,788,..,..,..,..,..,..,..,..,788,..,230,..,..,..,..,..,..,..,230,..,127,89,27,41,15,0,0,0,297,..,57,42,9,8,7,8,3,0,136,..,51,39,15,3,5,3,0,0,111,..,164,150,27,24,12,4,5,0,386,..,25,79,85,96,112,83,53,35,570,12,25,21,16,7,7,7,4,0,92,794,714,872,683,587,453,340,252,123,4819,..,21,397,416,316,248,212,141,45,1793,..,53,130,70,46,25,10,3,0,349,..,3,37,62,84,54,20,17,16,285,742,..,..,..,..,..,..,..,..,742,..,262,..,..,..,..,..,..,..,262,..,100,48,12,20,5,0,0,0,183,..,49,22,3,4,24,9,9,10,134,..,33,33,7,3,0,0,0,0,77
