_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
5575,..,0,8,0,3,0,0,0,0,12,..,5,7,9,11,28,39,27,28,148,6,10,0,5,7,9,14,5,0,57,151,75,70,108,124,191,176,82,37,1005,..,3,65,108,139,256,235,96,17,919,..,5,31,27,32,31,18,3,0,144,..,0,11,13,18,11,4,3,3,55,313,..,..,..,..,..,..,..,..,313,..,75,..,..,..,..,..,..,..,75,..,32,12,4,6,9,0,0,0,61,..,4,0,5,3,7,0,0,3,28,..,4,0,0,0,3,0,0,0,9,..,3,11,0,3,0,4,0,0,23,..,12,18,14,45,69,82,53,28,320,12,6,3,11,20,18,21,15,3,107,323,158,141,191,270,392,363,169,59,2058
5576,..,3,0,0,4,5,4,0,0,19,..,4,3,3,14,12,21,15,11,86,0,3,3,0,4,3,0,4,0,15,68,41,41,47,72,99,84,40,20,508,..,0,34,47,72,110,106,37,13,426,..,5,10,17,16,12,13,0,0,77,..,0,4,9,7,6,0,3,0,39,161,..,..,..,..,..,..,..,..,161,..,34,..,..,..,..,..,..,..,34,..,24,11,4,0,0,0,0,0,35,..,4,0,0,0,0,0,3,0,13,..,0,0,0,0,0,0,0,0,5,..,8,0,4,3,7,4,0,0,35,..,3,13,10,21,31,41,23,15,162,4,5,3,0,3,8,0,4,0,29,164,90,79,87,138,184,172,77,23,1015
5577,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,3,7,3,0,22,0,3,0,0,0,3,0,0,0,9,32,21,17,18,31,45,31,20,8,225,..,3,11,21,41,57,33,26,9,204,..,3,4,6,6,16,9,3,0,53,..,0,4,0,5,3,0,0,0,13,61,..,..,..,..,..,..,..,..,61,..,19,..,..,..,..,..,..,..,19,..,14,7,3,3,0,0,0,0,27,..,0,0,0,0,0,0,0,0,3,..,4,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,4,3,14,20,16,5,3,75,4,3,5,0,0,3,0,0,0,19,67,44,37,37,71,101,63,44,13,482
5580,..,0,0,0,0,0,0,0,0,0,..,0,0,0,5,5,5,3,7,27,0,0,0,0,0,3,0,0,0,4,34,4,16,9,21,26,23,11,7,163,..,0,14,15,22,39,36,17,3,147,..,0,15,3,5,0,0,0,0,25,..,0,0,0,3,0,0,0,0,3,60,..,..,..,..,..,..,..,..,60,..,6,..,..,..,..,..,..,..,6,..,9,3,0,0,0,0,0,0,21,..,0,0,0,0,0,0,0,3,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,8,5,9,18,4,10,7,55,0,0,0,0,3,5,3,0,0,11,62,25,34,26,41,59,45,27,12,332
5581,..,0,0,0,0,7,0,0,0,4,..,0,0,0,0,8,14,3,6,34,0,0,0,3,0,4,5,3,0,16,13,8,15,12,28,52,60,27,9,230,..,0,7,14,28,60,83,42,7,244,..,0,4,10,8,8,8,0,0,42,..,0,0,0,3,3,0,0,0,9,34,..,..,..,..,..,..,..,..,34,..,10,..,..,..,..,..,..,..,10,..,9,3,0,0,0,0,0,0,12,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,8,0,0,0,12,..,0,4,0,8,13,38,15,11,89,0,0,6,6,3,6,7,4,0,31,34,20,32,26,54,103,136,65,24,489
5582,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,5,5,10,7,40,0,0,0,3,0,5,0,0,0,3,31,19,18,18,34,50,57,23,9,261,..,0,8,7,44,77,92,30,4,276,..,0,4,8,7,4,8,0,0,33,..,0,3,5,7,3,0,0,3,19,68,..,..,..,..,..,..,..,..,68,..,24,..,..,..,..,..,..,..,24,..,10,3,0,0,3,0,0,0,15,..,0,0,0,0,3,0,0,0,7,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,5,8,9,21,12,18,8,86,0,3,3,3,0,3,0,0,0,8,68,41,32,30,67,112,119,54,18,537
5583,..,0,0,0,0,3,0,0,0,3,..,0,3,0,3,13,16,16,9,57,3,0,3,0,0,0,7,0,0,16,49,22,21,30,32,61,81,43,13,337,..,0,13,30,36,68,96,50,11,307,..,4,7,19,8,11,14,7,0,64,..,0,5,0,8,0,0,4,0,16,89,..,..,..,..,..,..,..,..,89,..,13,..,..,..,..,..,..,..,13,..,12,6,3,8,0,0,0,0,25,..,3,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,3,0,0,0,3,..,3,6,10,15,34,44,25,13,149,8,4,3,0,6,3,8,3,0,34,91,38,34,55,80,120,168,89,26,707
5600,..,19,8,5,3,4,4,0,0,53,..,20,37,20,39,54,57,62,36,326,11,14,6,13,12,11,8,8,3,90,485,309,289,374,434,387,256,158,59,2745,..,12,200,415,527,517,347,161,44,2220,..,74,133,132,130,56,18,0,3,550,..,14,29,61,53,27,8,9,5,204,936,..,..,..,..,..,..,..,..,936,..,260,..,..,..,..,..,..,..,260,..,170,68,27,19,5,0,0,0,294,..,21,5,0,3,10,5,6,4,57,..,3,7,0,6,3,0,0,0,17,..,27,23,14,8,17,5,3,0,107,..,43,94,76,138,159,118,114,59,803,24,35,27,22,37,22,16,8,4,184,959,656,583,743,918,816,532,303,119,5637
5601,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,9,10,4,0,22,0,0,0,0,0,0,6,3,0,14,34,11,0,24,41,36,39,6,0,191,..,0,0,22,50,49,49,7,0,182,..,0,0,13,13,5,0,0,0,26,..,0,0,5,3,0,0,0,0,12,60,..,..,..,..,..,..,..,..,60,..,11,..,..,..,..,..,..,..,11,..,11,3,3,0,0,0,0,0,20,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,3,..,0,0,3,0,0,0,0,0,5,..,0,4,3,21,14,21,11,0,78,0,4,0,3,0,0,5,4,0,22,64,25,11,51,86,78,76,21,0,424
5602,..,0,0,0,0,0,3,0,0,8,..,5,3,0,4,11,17,11,11,61,3,6,0,0,4,3,7,0,0,23,89,40,49,62,81,86,90,22,14,543,..,3,31,77,105,121,124,36,0,510,..,10,34,26,24,12,10,0,0,119,..,0,3,7,13,0,0,0,3,22,207,..,..,..,..,..,..,..,..,207,..,31,..,..,..,..,..,..,..,31,..,28,4,0,4,0,0,0,0,43,..,0,0,0,0,0,0,0,0,4,..,3,0,3,0,0,0,0,0,8,..,3,5,0,3,3,3,0,0,17,..,3,11,6,19,29,38,15,13,144,6,5,3,9,5,3,17,3,0,51,210,95,100,126,177,181,196,53,22,1154
5603,..,0,0,0,0,0,0,0,0,0,..,0,3,0,3,3,6,0,0,14,0,0,0,0,0,0,3,0,0,4,40,13,18,18,29,34,25,6,3,182,..,3,20,26,36,43,33,9,0,172,..,4,0,3,3,11,3,0,0,27,..,0,0,6,7,0,3,0,0,16,85,..,..,..,..,..,..,..,..,85,..,16,..,..,..,..,..,..,..,16,..,6,7,0,0,0,0,0,0,11,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,7,..,3,0,0,0,0,0,0,0,3,..,0,7,3,12,11,8,3,5,42,0,3,0,0,0,0,7,0,0,15,85,32,34,38,58,67,51,9,4,385
5604,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,0,3,3,3,12,0,0,0,0,4,0,0,0,0,4,10,3,9,3,16,17,23,6,3,84,..,0,3,0,23,28,27,14,0,94,..,0,3,0,0,0,0,0,0,5,..,0,3,0,0,0,3,0,0,4,16,..,..,..,..,..,..,..,..,16,..,0,..,..,..,..,..,..,..,0,..,3,3,0,0,0,0,0,0,12,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,3,0,12,6,3,8,4,32,0,0,0,0,4,3,0,0,0,7,15,8,14,3,34,38,35,14,4,179
5605,..,4,0,0,0,5,0,0,0,12,..,8,3,0,8,25,39,48,29,156,3,3,7,0,3,3,10,0,0,28,126,59,59,65,86,133,136,87,39,791,..,3,58,76,120,161,165,90,18,685,..,11,19,10,22,13,4,3,0,91,..,3,7,13,13,3,0,4,3,50,227,..,..,..,..,..,..,..,..,227,..,47,..,..,..,..,..,..,..,47,..,18,7,0,10,3,0,0,0,35,..,7,0,0,0,4,3,0,0,15,..,4,0,0,3,0,0,0,0,6,..,12,0,0,6,11,0,0,3,39,..,8,14,21,23,47,61,57,38,270,7,8,3,3,3,3,18,0,0,47,226,120,110,128,187,245,256,165,54,1503
5606,..,64,44,13,20,10,6,8,4,177,..,34,59,59,111,183,159,171,104,884,40,53,43,30,24,50,38,18,6,293,1200,735,819,778,852,843,639,384,162,6413,..,24,539,732,831,920,786,397,93,4324,..,196,443,248,187,116,32,13,5,1234,..,34,108,163,172,73,28,28,19,622,2409,..,..,..,..,..,..,..,..,2409,..,468,..,..,..,..,..,..,..,468,..,347,103,54,38,18,3,0,0,558,..,75,23,12,27,31,19,14,7,201,..,36,21,7,15,6,3,0,0,92,..,126,111,29,40,36,17,14,4,375,..,78,172,155,280,349,267,235,142,1678,106,98,83,61,50,90,68,26,12,595,2515,1479,1612,1469,1630,1645,1228,712,270,12570
5607,..,7,3,0,5,9,3,0,0,21,..,0,4,4,26,38,26,15,6,122,8,9,12,4,10,9,0,0,0,55,422,175,224,270,347,315,196,66,12,2024,..,8,183,356,421,453,298,97,13,1825,..,24,96,94,112,64,36,3,3,441,..,7,18,34,38,13,9,7,0,124,883,..,..,..,..,..,..,..,..,883,..,177,..,..,..,..,..,..,..,177,..,110,37,15,8,3,0,0,0,168,..,8,6,0,7,0,4,0,3,28,..,6,5,5,3,4,0,0,0,23,..,13,12,3,7,15,7,0,0,63,..,6,28,43,72,109,84,44,12,397,20,16,24,10,16,26,16,0,0,129,904,382,406,556,689,686,446,155,37,4259
5608,..,41,28,11,23,17,12,4,0,129,..,53,78,59,139,170,227,207,70,1010,46,38,28,19,22,21,17,16,5,222,1186,745,845,672,817,736,631,406,112,6148,..,24,400,545,697,777,660,347,52,3500,..,201,383,232,201,88,26,11,4,1142,..,74,236,203,226,78,47,35,14,911,2369,..,..,..,..,..,..,..,..,2369,..,457,..,..,..,..,..,..,..,457,..,377,168,67,60,14,3,0,0,693,..,64,32,16,23,28,20,6,5,195,..,38,27,10,11,4,0,0,0,95,..,79,71,39,55,42,27,8,0,322,..,112,208,204,421,365,336,288,96,2030,97,94,79,51,48,47,30,23,11,473,2465,1525,1603,1365,1746,1437,1141,719,179,12187
5609,..,3,0,0,0,0,0,0,0,7,..,0,11,3,6,7,17,13,3,57,13,13,8,3,7,3,3,6,0,47,235,119,176,127,110,66,60,43,7,943,..,7,139,169,133,104,70,50,4,682,..,44,78,34,34,6,0,0,0,211,..,6,28,18,9,3,3,4,0,73,437,..,..,..,..,..,..,..,..,437,..,81,..,..,..,..,..,..,..,81,..,51,22,8,8,0,0,0,0,82,..,3,5,0,5,3,5,3,0,25,..,0,7,0,0,0,0,0,0,9,..,11,3,3,4,0,0,0,0,17,..,14,34,13,13,13,20,26,6,133,21,15,17,10,7,8,3,7,0,90,457,230,330,254,217,142,105,82,12,1828
5630,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,11,8,8,9,7,0,0,0,61,..,0,4,15,23,8,3,0,0,54,..,0,7,3,3,0,0,0,0,12,..,0,0,0,0,0,0,0,0,0,25,..,..,..,..,..,..,..,..,25,..,9,..,..,..,..,..,..,..,9,..,3,0,0,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,0,0,5,3,0,0,14,0,0,0,0,0,0,0,0,0,0,30,15,10,17,23,15,11,0,0,131
5631,..,0,3,0,0,0,0,0,0,4,..,3,7,4,0,6,6,12,14,51,3,4,3,0,5,0,3,0,0,18,104,50,62,65,66,45,44,41,15,492,..,0,33,74,91,81,65,41,11,386,..,14,42,13,14,5,0,3,0,92,..,0,4,15,4,0,0,4,0,29,213,..,..,..,..,..,..,..,..,213,..,35,..,..,..,..,..,..,..,35,..,25,9,0,3,0,0,0,0,35,..,4,0,0,0,0,0,0,0,7,..,0,3,0,0,0,0,0,0,3,..,3,3,0,4,0,0,0,0,9,..,5,12,13,10,16,10,11,14,95,6,8,7,0,10,0,3,0,0,34,222,103,107,117,134,106,82,61,27,953
5632,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,34,15,13,12,22,8,0,4,0,109,..,0,19,23,43,20,9,3,0,116,..,0,4,4,0,0,0,0,0,11,..,0,0,0,0,0,0,0,0,3,70,..,..,..,..,..,..,..,..,70,..,10,..,..,..,..,..,..,..,10,..,11,0,0,0,0,0,0,0,11,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,0,0,4,0,15,0,0,0,0,0,0,0,0,0,0,70,26,30,24,53,21,8,5,0,229
5633,..,0,0,0,0,0,0,0,0,0,..,0,0,3,0,7,0,3,3,16,0,0,4,0,0,0,0,0,0,11,27,16,17,12,26,25,9,8,3,140,..,0,22,15,40,40,13,9,0,138,..,3,3,4,4,10,0,0,0,22,..,0,0,0,0,0,0,0,0,5,57,..,..,..,..,..,..,..,..,57,..,7,..,..,..,..,..,..,..,7,..,6,0,0,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,7,0,4,7,8,6,4,3,36,7,3,8,3,0,0,0,0,0,15,65,26,33,28,52,61,22,11,3,293
5640,..,0,0,0,3,0,0,0,0,13,..,0,5,0,7,17,14,13,15,68,3,3,0,0,3,0,0,3,0,7,74,36,47,47,62,63,51,31,12,438,..,7,48,63,78,98,62,45,8,406,..,11,23,3,5,7,7,3,0,55,..,0,3,6,9,3,0,0,0,17,168,..,..,..,..,..,..,..,..,168,..,30,..,..,..,..,..,..,..,30,..,9,8,3,0,0,0,0,0,22,..,3,0,0,3,0,0,0,0,11,..,0,0,0,0,0,0,0,0,0,..,3,0,0,3,3,0,3,0,17,..,5,18,10,20,34,26,14,14,151,3,4,0,0,3,0,0,3,0,15,171,77,102,85,125,143,99,68,29,892
5641,..,0,0,0,0,0,0,0,0,3,..,0,3,0,0,5,7,14,7,44,0,0,3,0,0,4,0,0,0,7,111,28,60,49,52,49,41,34,11,441,..,6,79,78,82,85,62,32,8,433,..,17,13,4,7,3,0,0,0,49,..,3,0,9,8,0,0,0,0,25,224,..,..,..,..,..,..,..,..,224,..,18,..,..,..,..,..,..,..,18,..,15,0,0,0,0,0,0,0,18,..,0,0,0,3,3,0,0,0,3,..,0,0,0,3,0,0,0,0,6,..,0,0,0,0,0,0,0,0,5,..,7,16,9,12,16,21,28,10,110,0,0,5,0,3,4,0,0,0,15,224,67,117,100,114,113,83,62,13,912
5642,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,24,5,8,15,15,12,11,7,0,103,..,0,11,22,27,15,11,5,0,90,..,0,5,3,4,7,0,0,0,15,..,0,0,0,0,0,0,0,0,6,55,..,..,..,..,..,..,..,..,55,..,9,..,..,..,..,..,..,..,9,..,3,0,0,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,3,0,0,0,3,..,0,3,0,3,12,5,0,0,24,0,0,0,0,0,0,0,0,0,3,55,18,22,26,37,37,12,7,3,226
5650,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,7,24,6,12,12,5,11,4,3,6,72,..,0,11,16,7,24,3,0,0,67,..,3,3,0,0,0,0,0,0,12,..,0,0,0,0,0,0,0,0,3,37,..,..,..,..,..,..,..,..,37,..,4,..,..,..,..,..,..,..,4,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,0,0,3,5,0,6,22,0,0,0,0,0,3,0,0,0,7,41,12,19,23,14,31,14,3,6,158
5651,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,3,0,8,5,3,0,0,0,32,..,0,0,13,12,3,3,0,0,31,..,0,0,3,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,16,..,..,..,..,..,..,..,..,16,..,3,..,..,..,..,..,..,..,3,..,3,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,5,3,0,0,0,11,0,0,0,0,0,3,0,0,0,3,16,4,4,17,17,13,3,0,0,76
5652,..,4,0,0,0,0,0,0,0,4,..,0,0,3,3,4,4,11,12,39,0,3,0,0,0,0,0,0,0,9,88,35,39,38,31,42,29,21,14,337,..,0,42,55,45,63,35,18,3,253,..,17,19,10,18,4,3,3,0,70,..,0,4,8,8,4,0,0,0,20,157,..,..,..,..,..,..,..,..,157,..,13,..,..,..,..,..,..,..,13,..,18,4,0,0,0,0,0,0,24,..,3,0,0,0,3,0,0,0,9,..,0,0,0,0,0,0,0,0,0,..,11,0,0,0,0,0,0,0,8,..,4,6,7,9,11,14,14,12,80,7,3,0,3,5,0,3,0,0,23,162,66,73,81,74,88,52,29,19,650
5653,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,3,6,4,0,0,32,..,0,3,6,5,13,4,0,0,36,..,0,0,0,3,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,18,..,..,..,..,..,..,..,..,18,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,4,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,18,5,3,6,13,12,5,0,3,73
5654,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,3,0,3,0,11,0,0,0,0,0,0,0,0,0,3,23,0,9,15,12,12,14,3,0,100,..,0,6,17,22,14,18,4,0,91,..,0,3,6,4,4,0,0,0,13,..,0,0,4,3,0,0,0,0,3,48,..,..,..,..,..,..,..,..,48,..,6,..,..,..,..,..,..,..,6,..,5,3,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,3,0,3,0,0,0,3,..,0,4,0,3,7,11,6,3,34,0,0,0,0,0,6,0,0,0,6,48,10,20,34,30,28,34,9,3,217
5655,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,5,3,5,5,0,0,43,..,0,10,10,3,11,3,0,0,37,..,3,5,0,3,0,0,0,0,17,..,0,0,0,0,0,0,0,0,0,28,..,..,..,..,..,..,..,..,28,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,4,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,3,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,28,7,13,11,4,16,8,0,0,93
5660,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,3,3,0,0,0,25,..,3,0,4,5,4,0,0,0,20,..,0,3,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,14,..,..,..,..,..,..,..,..,14,..,0,..,..,..,..,..,..,..,0,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,14,7,3,4,9,4,3,0,0,46
5661,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,12,3,6,10,3,8,8,0,0,53,..,4,9,14,3,17,9,0,0,51,..,0,4,5,4,3,0,0,0,19,..,0,0,3,0,0,0,0,0,3,33,..,..,..,..,..,..,..,..,33,..,0,..,..,..,..,..,..,..,0,..,0,3,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,5,4,3,0,0,3,3,0,14,0,0,3,0,0,3,0,0,0,4,33,9,19,21,6,23,12,3,0,130
5670,..,0,0,0,0,0,0,0,0,0,..,3,0,0,0,6,5,3,0,24,0,3,4,0,0,0,0,0,0,6,46,9,23,23,31,37,26,9,0,202,..,0,26,24,32,48,40,8,0,182,..,3,16,7,10,13,0,0,0,45,..,0,0,4,3,0,0,0,0,14,91,..,..,..,..,..,..,..,..,91,..,0,..,..,..,..,..,..,..,0,..,7,5,0,0,0,0,0,0,12,..,3,0,0,3,0,0,0,0,9,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,4,0,6,10,21,9,5,3,62,0,3,8,5,3,9,6,0,0,23,91,21,50,50,64,91,53,17,7,437
5671,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,13,4,9,7,13,14,6,0,0,60,..,0,4,11,18,8,6,3,0,48,..,0,4,0,12,4,0,0,0,26,..,0,0,0,0,0,0,0,0,3,22,..,..,..,..,..,..,..,..,22,..,0,..,..,..,..,..,..,..,0,..,3,0,4,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,3,4,4,6,3,0,27,0,3,0,0,0,3,0,0,0,7,22,8,14,12,38,26,16,7,0,148
5680,..,3,0,0,0,3,0,0,0,16,..,4,4,0,10,21,13,14,10,75,0,0,0,0,10,14,10,7,0,34,192,63,75,111,134,153,90,43,24,881,..,5,68,139,154,203,129,54,22,775,..,23,46,26,41,20,7,0,0,166,..,9,4,13,13,9,0,3,5,55,370,..,..,..,..,..,..,..,..,370,..,48,..,..,..,..,..,..,..,48,..,40,8,3,5,7,0,0,0,64,..,5,3,0,3,0,9,0,5,18,..,7,3,0,0,0,0,0,0,8,..,8,3,0,0,8,3,0,0,23,..,10,15,22,43,63,45,30,15,241,0,0,5,6,16,26,10,10,0,75,370,141,154,213,271,336,202,93,48,1840
5690,..,4,7,0,0,6,3,0,0,25,..,18,17,19,27,31,27,16,12,160,8,15,8,3,0,6,9,5,0,63,350,182,216,211,221,198,137,50,24,1592,..,5,107,160,212,209,179,55,18,942,..,55,126,108,83,71,13,6,0,458,..,5,47,37,49,15,6,0,3,168,687,..,..,..,..,..,..,..,..,687,..,113,..,..,..,..,..,..,..,113,..,107,35,10,8,6,0,0,0,160,..,44,17,7,14,13,6,4,0,105,..,8,12,6,3,0,0,0,0,32,..,16,10,3,8,7,3,0,0,45,..,24,38,51,63,82,66,25,20,372,18,30,19,10,4,6,17,9,0,119,711,400,400,402,439,408,299,100,43,3197
