_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
5522,..,3,3,0,0,3,4,0,0,10,..,0,0,5,6,16,29,51,23,122,3,0,0,0,0,3,3,3,0,17,78,38,32,52,70,116,129,84,29,628,..,0,33,50,70,142,181,74,7,570,..,5,12,16,17,24,12,3,0,87,..,0,6,3,10,5,3,0,3,35,151,..,..,..,..,..,..,..,..,151,..,25,..,..,..,..,..,..,..,25,..,21,5,4,3,0,0,0,0,39,..,0,0,0,4,4,0,0,0,9,..,0,0,0,0,0,0,0,0,8,..,3,5,0,0,7,6,0,0,26,..,9,10,14,27,40,57,62,31,245,4,3,3,3,4,12,12,3,0,42,156,67,74,87,137,237,270,154,47,1229
5523,..,3,0,0,0,0,3,0,0,7,..,0,5,4,16,16,27,30,19,115,3,0,5,3,3,4,5,0,0,21,183,81,78,87,135,133,111,58,24,896,..,4,84,103,155,180,164,53,13,756,..,18,26,20,30,15,3,3,0,121,..,3,7,13,20,7,4,0,3,59,334,..,..,..,..,..,..,..,..,334,..,66,..,..,..,..,..,..,..,66,..,60,14,4,6,0,0,0,0,88,..,3,4,0,0,7,3,0,0,20,..,3,0,0,0,0,0,0,0,8,..,3,3,0,4,3,3,3,0,21,..,6,14,13,38,43,45,46,23,225,11,8,3,9,3,3,5,3,0,48,343,170,160,167,254,264,228,114,35,1742
5540,..,28,34,12,17,7,6,6,4,108,..,43,64,52,119,206,252,238,134,1102,36,53,37,24,29,24,37,23,11,268,1240,833,776,811,992,937,841,526,185,7150,..,36,464,716,1043,1086,947,477,68,4844,..,182,335,229,187,121,52,13,4,1120,..,36,138,237,208,94,61,37,18,833,2495,..,..,..,..,..,..,..,..,2495,..,644,..,..,..,..,..,..,..,644,..,539,194,87,63,29,3,0,0,921,..,48,27,11,25,28,40,19,3,212,..,50,17,13,17,6,0,0,0,95,..,56,55,32,28,24,19,13,3,226,..,79,171,166,315,406,400,351,177,2060,69,107,69,58,57,45,54,36,14,506,2565,1769,1459,1553,1956,1844,1574,939,289,13961
5550,..,0,0,0,0,0,0,0,0,3,..,0,3,0,0,10,10,12,4,40,3,3,3,0,3,3,0,0,0,15,87,40,57,47,59,63,36,14,4,397,..,3,39,51,60,71,42,10,0,276,..,15,22,20,18,14,9,3,0,100,..,0,12,9,14,0,0,3,0,43,174,..,..,..,..,..,..,..,..,174,..,34,..,..,..,..,..,..,..,34,..,21,11,5,3,0,0,0,0,43,..,3,0,0,0,12,0,3,0,25,..,0,3,0,4,0,0,0,0,13,..,0,6,11,4,0,0,0,0,30,..,5,9,5,14,33,29,12,5,113,5,8,5,3,6,3,0,0,0,33,178,96,114,106,126,134,83,35,9,880
5552,..,0,0,0,0,0,0,0,0,4,..,0,0,0,6,0,5,0,0,11,0,3,0,0,0,0,0,0,0,7,34,9,24,17,33,19,20,0,0,164,..,0,18,35,37,27,31,5,0,157,..,0,15,4,3,4,3,0,0,23,..,0,3,3,3,0,0,0,3,13,72,..,..,..,..,..,..,..,..,72,..,7,..,..,..,..,..,..,..,7,..,10,5,7,0,3,0,0,0,21,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,7,..,0,0,0,3,3,3,0,0,8,..,0,3,0,6,0,5,0,0,27,0,0,0,0,4,0,0,0,0,8,72,23,46,48,63,43,44,8,5,346
5554,..,6,4,3,3,12,3,0,0,41,..,11,20,12,32,51,68,81,45,324,6,8,3,3,14,0,6,3,3,55,408,274,257,265,352,320,257,176,65,2372,..,8,174,308,390,384,326,174,39,1812,..,86,126,56,64,43,16,6,0,401,..,8,44,65,70,30,13,10,0,236,888,..,..,..,..,..,..,..,..,888,..,213,..,..,..,..,..,..,..,213,..,166,47,18,18,5,0,0,0,254,..,21,15,0,12,6,10,7,10,83,..,11,6,5,3,0,0,0,0,23,..,15,22,8,6,17,3,3,0,76,..,21,35,38,77,115,122,127,60,591,15,24,9,12,15,4,11,8,3,98,902,563,493,500,659,602,505,325,111,4669
5555,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,6,28,17,19,24,26,44,37,14,0,204,..,4,19,26,43,60,60,14,0,236,..,0,12,5,3,10,4,0,0,34,..,0,3,3,0,3,0,0,0,13,61,..,..,..,..,..,..,..,..,61,..,15,..,..,..,..,..,..,..,15,..,12,11,5,0,0,0,0,0,24,..,0,0,0,0,0,0,4,0,3,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,10,..,0,0,3,10,10,7,10,3,45,3,0,3,0,3,4,3,0,0,17,64,40,36,43,66,85,85,29,5,448
5556,..,11,8,0,10,8,11,0,0,48,..,9,8,9,32,54,75,60,22,266,6,0,6,3,9,14,8,7,0,54,245,156,168,165,240,335,317,167,38,1839,..,3,110,154,230,390,422,177,15,1501,..,37,77,55,61,59,21,12,4,329,..,11,37,46,47,13,9,13,5,175,541,..,..,..,..,..,..,..,..,541,..,103,..,..,..,..,..,..,..,103,..,81,30,24,20,13,0,0,0,168,..,18,12,3,13,8,13,5,0,72,..,9,3,3,0,0,0,0,0,14,..,21,24,4,16,24,14,4,0,107,..,17,32,20,88,117,131,101,35,542,8,13,6,5,12,25,21,8,0,102,548,307,330,321,483,648,633,323,60,3665
5558,..,3,0,0,9,10,9,3,0,39,..,6,14,11,20,61,76,83,41,308,8,8,4,4,7,9,14,3,0,65,294,170,170,182,288,355,401,218,57,2129,..,8,102,177,324,419,547,254,43,1881,..,38,95,65,67,58,46,10,0,381,..,6,31,38,32,18,7,12,6,152,617,..,..,..,..,..,..,..,..,617,..,128,..,..,..,..,..,..,..,128,..,108,38,18,24,9,0,0,0,188,..,16,3,0,7,18,8,8,5,66,..,13,6,4,3,7,0,0,0,24,..,6,9,3,20,16,16,6,0,90,..,12,39,30,71,128,160,121,59,626,19,14,9,4,18,23,36,4,0,132,635,365,333,342,562,693,820,418,118,4275
5560,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,3,9,0,0,16,0,0,0,0,0,0,3,0,0,6,43,12,20,31,25,23,31,10,4,191,..,3,17,35,33,27,36,14,3,167,..,8,4,0,3,0,4,0,0,23,..,0,3,5,6,3,0,0,3,23,86,..,..,..,..,..,..,..,..,86,..,8,..,..,..,..,..,..,..,8,..,11,8,0,6,3,0,0,0,31,..,3,0,0,0,0,0,0,0,4,..,3,0,0,0,0,0,0,0,3,..,0,7,0,0,5,0,0,0,14,..,0,3,0,5,7,22,8,3,50,0,0,0,3,0,0,3,0,0,8,86,36,41,51,58,48,69,20,10,417
5570,..,0,0,0,0,3,6,0,0,6,..,0,0,0,0,3,13,5,7,24,0,0,0,0,0,3,3,0,0,8,22,9,15,11,30,37,64,12,3,204,..,0,9,13,25,60,73,21,0,204,..,0,5,5,10,3,11,0,0,33,..,0,3,4,3,0,0,4,4,17,37,..,..,..,..,..,..,..,..,37,..,6,..,..,..,..,..,..,..,6,..,9,7,0,0,4,0,0,0,22,..,0,0,0,0,6,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,3,0,4,5,0,0,18,..,0,4,3,9,24,34,12,11,97,0,3,5,3,0,7,6,0,0,29,39,24,36,28,56,110,125,35,16,466
5571,..,3,0,0,3,5,0,0,0,17,..,0,3,4,8,16,31,44,18,133,0,4,4,0,0,7,7,4,0,35,93,44,65,58,77,164,153,103,30,797,..,0,49,73,93,221,205,114,20,775,..,13,36,13,18,18,18,9,0,125,..,0,4,13,9,9,3,3,5,51,212,..,..,..,..,..,..,..,..,212,..,36,..,..,..,..,..,..,..,36,..,28,9,3,11,4,3,0,0,63,..,7,0,3,0,3,0,0,0,19,..,0,0,0,0,0,0,0,0,5,..,0,8,3,8,9,8,0,0,35,..,0,18,16,24,58,65,61,30,274,6,16,3,7,4,14,18,7,0,67,214,116,130,132,165,333,321,192,59,1661
5572,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,16,5,7,5,11,11,3,0,4,66,..,0,6,10,14,15,8,0,0,56,..,0,0,3,3,3,0,0,0,13,..,0,0,0,3,0,0,0,0,6,25,..,..,..,..,..,..,..,..,25,..,3,..,..,..,..,..,..,..,3,..,0,0,0,0,4,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,5,4,4,0,3,3,14,0,0,0,0,0,0,0,0,0,5,25,7,11,21,25,29,11,4,4,135
5573,..,0,0,0,3,3,3,0,0,9,..,0,4,5,12,19,34,23,18,121,9,6,3,3,4,8,4,0,0,38,175,63,67,96,146,128,139,73,24,905,..,0,61,110,166,163,168,93,20,779,..,18,36,24,25,21,9,3,0,134,..,3,12,10,22,8,9,3,4,66,339,..,..,..,..,..,..,..,..,339,..,50,..,..,..,..,..,..,..,50,..,46,11,4,7,4,0,0,0,73,..,6,6,0,7,9,6,0,0,32,..,7,0,0,0,0,0,0,0,5,..,5,3,0,3,8,3,3,0,25,..,6,15,16,42,47,61,42,22,249,12,10,4,3,5,18,4,6,3,72,349,152,146,164,282,269,263,151,51,1819
