Suburb,Post Code,LGA
Frewville,5063,City of Burnside
Fullarton,5063,City of Unley
Highgate,5063,City of Unley
Parkside,5063,City of Unley
Glen Osmond,5064,City of Burnside
Glenunga,5064,City of Burnside
Mount Osmond,5064,City of Burnside
St Georges,5064,City of Burnside
Urrbrae,5064,City of Mitcham
Myrtle Bank,5064,City of Unley
Dulwich,5065,City of Burnside
Glenside,5065,City of Burnside
Linden Park,5065,City of Burnside
Toorak Gardens,5065,City of Burnside
Tusmore,5065,City of Burnside
Beaumont,5066,City of Burnside
Burnside,5066,City of Burnside
Erindale,5066,City of Burnside
Hazelwood Park,5066,City of Burnside
Stonyfell,5066,City of Burnside
Waterfall Gully,5066,City of Burnside
Wattle Park,5066,City of Burnside
Beulah Park,5067,City of Burnside
Rose Park,5067,City of Burnside
Kent Town,5067,City of Norwood Payneham St Peters
Norwood,5067,City of Norwood Payneham St Peters
Kensington Gardens,5068,City of Burnside
Kensington Park,5068,City of Burnside
Leabrook,5068,City of Burnside
Heathpool,5068,City of Norwood Payneham St Peters
Kensington,5068,City of Norwood Payneham St Peters
Marryatville,5068,City of Norwood Payneham St Peters
St Morris,5068,City of Norwood Payneham St Peters
Trinity Gardens,5068,City of Norwood Payneham St Peters
College Park,5069,City of Norwood Payneham St Peters
Evandale,5069,City of Norwood Payneham St Peters
Hackney,5069,City of Norwood Payneham St Peters
Maylands,5069,City of Norwood Payneham St Peters
St Peters,5069,City of Norwood Payneham St Peters
Stepney,5069,City of Norwood Payneham St Peters
Felixstow,5070,City of Norwood Payneham St Peters
Firle,5070,City of Norwood Payneham St Peters
Glynde,5070,City of Norwood Payneham St Peters
Joslin,5070,City of Norwood Payneham St Peters
Marden,5070,City of Norwood Payneham St Peters
Payneham,5070,City of Norwood Payneham St Peters
Payneham South,5070,City of Norwood Payneham St Peters
Royston Park,5070,City of Norwood Payneham St Peters
Auldana,5072,City of Burnside
Magill,5072,City of Burnside
Rosslyn Park,5072,City of Burnside
Skye,5072,City of Burnside
Magill,5072,City of Campbelltown
Hectorville,5073,City of Campbelltown
Rostrevor,5073,City of Campbelltown
Tranmere,5073,City of Campbelltown
Campbelltown,5074,City of Campbelltown
Newton,5074,City of Campbelltown
Paradise,5075,City of Campbelltown
Dernancourt,5075,City of Port Adelaide Enfield
Dernancourt,5075,City of Tea Tree Gully
Athelstone,5076,City of Campbelltown
Collinswood,5081,City of Prospect
Medindie Gardens,5081,City of Prospect
Gilberton,5081,Corporation of the Town of Walkerville
Medindie,5081,Corporation of the Town of Walkerville
Vale Park,5081,Corporation of the Town of Walkerville
Walkerville,5081,Corporation of the Town of Walkerville
Ovingham,5082,City of Charles Sturt
Fitzroy,5082,City of Prospect
Prospect,5082,City of Prospect
Ovingham,5082,City of Prospect
Thorngate,5082,City of Prospect
Broadview,5083,City of Port Adelaide Enfield
Sefton Park,5083,City of Port Adelaide Enfield
Broadview,5083,City of Prospect
Nailsworth,5083,City of Prospect
Sefton Park,5083,City of Prospect
Blair Athol,5084,City of Port Adelaide Enfield
Kilburn,5084,City of Port Adelaide Enfield
Clearview,5085,City of Port Adelaide Enfield
Enfield,5085,City of Port Adelaide Enfield
Lightsview,5085,City of Port Adelaide Enfield
Northfield,5085,City of Port Adelaide Enfield
Northgate,5085,City of Port Adelaide Enfield
Gilles Plains,5086,City of Port Adelaide Enfield
Greenacres,5086,City of Port Adelaide Enfield
Hampstead Gardens,5086,City of Port Adelaide Enfield
Hillcrest,5086,City of Port Adelaide Enfield
Manningham,5086,City of Port Adelaide Enfield
Oakden,5086,City of Port Adelaide Enfield
Gilles Plains,5086,City of Tea Tree Gully
Klemzig,5087,City of Port Adelaide Enfield
Windsor Gardens,5087,City of Port Adelaide Enfield
Holden Hill,5088,City of Port Adelaide Enfield
Holden Hill,5088,City of Tea Tree Gully
Highbury,5089,City of Tea Tree Gully
Hope Valley,5090,City of Tea Tree Gully
Banksia Park,5091,City of Tea Tree Gully
Tea Tree Gully,5091,City of Tea Tree Gully
Vista,5091,City of Tea Tree Gully
Modbury,5092,City of Tea Tree Gully
Modbury Heights,5092,City of Tea Tree Gully
Modbury North,5092,City of Tea Tree Gully
Valley View,5093,City of Port Adelaide Enfield
Para Vista,5093,City of Salisbury
Valley View,5093,City of Salisbury
Valley View,5093,City of Tea Tree Gully
Dry Creek,5094,City of Port Adelaide Enfield
Gepps Cross,5094,City of Port Adelaide Enfield
Cavan,5094,City of Salisbury
Dry Creek,5094,City of Salisbury
Mawson Lakes,5095,City of Salisbury
Pooraka,5095,City of Salisbury
Gulfview Heights,5096,City of Salisbury
Para Hills,5096,City of Salisbury
Para Hills West,5096,City of Salisbury
Gulfview Heights,5096,City of Tea Tree Gully
Para Hills,5096,City of Tea Tree Gully
Redwood Park,5097,City of Tea Tree Gully
Ridgehaven,5097,City of Tea Tree Gully
St Agnes,5097,City of Tea Tree Gully
Walkley Heights,5098,City of Port Adelaide Enfield
Ingle Farm,5098,City of Salisbury
Walkley Heights,5098,City of Salisbury
Parafield,5106,City of Salisbury
Salisbury South,5106,City of Salisbury
Green Fields,5107,City of Salisbury
Parafield Gardens,5107,City of Salisbury
Paralowie,5108,City of Salisbury
Salisbury,5108,City of Salisbury
Salisbury Downs,5108,City of Salisbury
Salisbury North,5108,City of Salisbury
Brahma Lodge,5109,City of Salisbury
Salisbury East,5109,City of Salisbury
Salisbury Heights,5109,City of Salisbury
Salisbury Park,5109,City of Salisbury
Salisbury Plain,5109,City of Salisbury
Salisbury Heights,5109,City of Tea Tree Gully
Waterloo Corner,5110,City of Playford
Bolivar,5110,City of Salisbury
Burton,5110,City of Salisbury
Direk,5110,City of Salisbury
Globe Derby Park,5110,City of Salisbury
St Kilda,5110,City of Salisbury
Waterloo Corner,5110,City of Salisbury
Edinburgh,5111,City of Salisbury
Elizabeth,5112,City of Playford
Elizabeth East,5112,City of Playford
Elizabeth Grove,5112,City of Playford
Elizabeth South,5112,City of Playford
Elizabeth Vale,5112,City of Playford
Hillbank,5112,City of Playford
Elizabeth Vale,5112,City of Salisbury
Davoren Park,5113,City of Playford
Edinburgh North,5113,City of Playford
Elizabeth Downs,5113,City of Playford
Elizabeth North,5113,City of Playford
Elizabeth Park,5113,City of Playford
Andrews Farm,5114,City of Playford
Blakeview,5114,City of Playford
Craigmore,5114,City of Playford
Gould Creek,5114,City of Playford
Humbug Scrub,5114,City of Playford
One Tree Hill,5114,City of Playford
Sampson Flat,5114,City of Playford
Smithfield,5114,City of Playford
Smithfield Plains,5114,City of Playford
Uleybury,5114,City of Playford
Yattalunga,5114,City of Playford
Gould Creek,5114,City of Tea Tree Gully
Kudla,5115,Town of Gawler
Munno Para,5115,City of Playford
Munno Para West,5115,City of Playford
Munno Para Downs,5115,City of Playford
Evanston,5116,Town of Gawler
Evanston Gardens,5116,Town of Gawler
Evanston Park,5116,Town of Gawler
Evanston South,5116,Town of Gawler
Hillier,5116,Town of Gawler
Evanston Park,5116,City of Playford
Hillier,5116,City of Playford
Angle Vale,5117,City of Playford
Bibaringa,5118,Town of Gawler
Gawler,5118,Town of Gawler
Gawler East,5118,Town of Gawler
Gawler South,5118,Town of Gawler
Gawler West,5118,Town of Gawler
Willaston,5118,Town of Gawler
Bibaringa,5118,City of Playford
Buckland Park,5120,City of Playford
Virginia,5120,City of Playford
MacDonald Park,5121,City of Playford
Penfield,5121,City of Playford
Penfield Gardens,5121,City of Playford
Golden Grove,5125,City of Tea Tree Gully
Greenwith,5125,City of Tea Tree Gully
Fairview Park,5126,City of Tea Tree Gully
Surrey Downs,5126,City of Tea Tree Gully
Yatala Vale,5126,City of Tea Tree Gully
Wynn Vale,5127,City of Tea Tree Gully
Houghton,5131,City of Tea Tree Gully
Upper Hermitage,5131,City of Tea Tree Gully
Leawood Gardens,5150,City of Burnside
Leawood Gardens,5150,City of Mitcham
Crafers West,5152,City of Mitcham
Stirling,5152,City of Mitcham
Ironbank,5153,City of Onkaparinga
Upper Sturt,5156,City of Mitcham
Cherry Gardens,5157,City of Onkaparinga
Clarendon,5157,City of Onkaparinga
Coromandel East,5157,City of Onkaparinga
Dorset Vale,5157,City of Onkaparinga
Kangarilla,5157,City of Onkaparinga
Hallett Cove,5158,City of Marion
O'Halloran Hill,5158,City of Marion
Sheidow Park,5158,City of Marion
Trott Park,5158,City of Marion
O'Halloran Hill,5158,City of Onkaparinga
Aberfoyle Park,5159,City of Onkaparinga
Chandlers Hill,5159,City of Onkaparinga
Flagstaff Hill,5159,City of Onkaparinga
Happy Valley,5159,City of Onkaparinga
Lonsdale,5160,City of Onkaparinga
Old Reynella,5161,City of Onkaparinga
Reynella,5161,City of Onkaparinga
Reynella East,5161,City of Onkaparinga
