Name,Zip,Price
Allenby Gardens,5009," $559,024 "
Croydon Park,5008," $555,225 "
Melrose Park,5039," $555,000 "
Athelstone,5076," $552,800 "
Campbelltown,5074," $548,575 "
Upper Sturt,5156," $548,500 "
Panorama,5041," $543,625 "
Cheltenham,5014," $539,280 "
Coromandel Valley,5051," $536,667 "
Mawson Lakes,5095," $533,147 "
Highbury,5089," $532,968 "
Ridleyton,5008," $532,167 "
North Haven,5018," $531,221 "
Hallett Cove,5158," $529,184 "
Glenalta,5052," $527,500 "
Clovelly Park,5042," $526,469 "
Mile End,5031," $520,000 "
Glynde,5070," $518,200 "
McLaren Flat,5171," $518,100 "
Newton,5074," $517,203 "
Woodville Park,5011," $516,500 "
Nailsworth,5083," $514,974 "
Marleston,5033," $510,500 "
Plympton,5038," $510,227 "
Clarence Gardens,5039," $509,680 "
Dover Gardens,5048," $509,445 "
Woodville South,5011," $505,599 "
North Plympton,5037," $503,968 "
Netley,5037," $501,884 "
Semaphore Park,5019," $501,587 "
Edwardstown,5039," $500,601 "
Camden Park,5038," $499,333 "
Mansfield Park,5012," $498,443 "
Bibaringa,5118," $495,000 "
Greenwith,5125," $494,535 "
Maslin Beach,5170," $494,108 "
Woodville West,5011," $492,729 "
Sellicks Beach,5174," $489,504 "
South Plympton,5038," $488,424 "
Maylands,5069," $485,000 "
Blair Athol,5084," $482,110 "
Seaton,5023," $481,719 "
Queenstown,5014," $479,650 "
Richmond,5033," $479,500 "
Wynn Vale,5127," $477,640 "
Leabrook,5068," $475,523 "
Ethelton,5015," $475,000 "
West Hindmarsh,5007," $475,000 "
Findon,5023," $474,875 "
Mitchell Park,5043," $474,299 "
Broadview,5083," $474,000 "
Brompton,5007," $473,335 "
Pennington,5013," $472,500 "
Oakden,5086," $472,375 "
Renown Park,5008," $472,375 "
Greenacres,5086," $471,567 "
Morphettville,5043," $470,698 "
Bedford Park,5042," $470,000 "
Park Holme,5043," $469,523 "
Port Willunga,5173," $469,023 "
Oaklands Park,5046," $467,618 "
Aldinga,5173," $466,032 "
Sturt,5047," $465,564 "
Vista,5091," $465,561 "
Aberfoyle Park,5159," $465,406 "
Darlington,5047," $463,500 "
Cowandilla,5033," $463,000 "
Waterfall Gully,5066," $462,500 "
Port Noarlunga,5167," $460,240 "
St Kilda,5110," $460,000 "
Seacombe Gardens,5047," $459,491 "
St Marys,5042," $459,253 "
Port Adelaide,5015," $459,233 "
Dernancourt,5075," $457,936 "
Woodcroft,5162," $454,909 "
Tea Tree Gully,5091," $454,585 "
Angle Vale,5117," $453,741 "
Paradise,5075," $453,569 "
Enfield,5085," $453,084 "
McLaren Vale,5171," $452,411 "
Hendon,5014," $450,643 "
Salisbury Heights,5109," $448,256 "
Fairview Park,5126," $447,977 "
Athol Park,5012," $447,454 "
Largs North,5016," $447,375 "
Evanston Park,5116," $447,022 "
Beverley,5009," $446,625 "
West Richmond,5033," $443,000 "
Kilkenny,5009," $441,375 "
Royal Park,5014," $441,149 "
Hope Valley,5090," $440,532 "
Windsor Gardens,5087," $440,208 "
Ferryden Park,5010," $439,071 "
Moana,5169," $437,759 "
Sheidow Park,5158," $433,536 "
Clearview,5085," $433,466 "
