"","zipcode","suburb","lat","long"
"104","5039","MELROSE PARK",-34.9852694987862,138.578695812376
"105","5040","NOVAR GARDENS",-34.965976977843,138.531654310403
"106","5041","COLONEL LIGHT GARDENS",-34.9836158172301,138.594668124534
"107","5041","CUMBERLAND PARK",-34.972039677639,138.586694723386
"108","5041","DAW PARK",-34.9884827563824,138.58796166128
"109","5041","PANORAMA",-35.0007362871208,138.597371761874
"110","5041","WESTBOURNE PARK",-34.9716468658657,138.595248313112
"111","5042","BEDFORD PARK",-35.02343039433,138.569833851867
"112","5042","CLOVELLY PARK",-34.9984791798999,138.570835969771
"113","5042","PASADENA",-35.0027428383085,138.588619418062
"114","5042","ST MARYS",-35.0042312916675,138.579834433031
"115","5042","TONSLEY",-35.0097163756957,138.570992704311
"116","5043","ASCOT PARK",-34.9881328996656,138.561005202475
"117","5043","MARION",-35.0063685601824,138.553497593874
"118","5045","GLENELG SOUTH",-34.9882848439092,138.514715297757
"119","5046","OAKLANDS PARK",-35.0066928006708,138.544562688489
"120","5046","WARRADALE",-35.0074001107905,138.535627914106
"121","5047","DARLINGTON",-35.0330195953588,138.556283629968
"122","5047","SEACOMBE GARDENS",-35.0233632178586,138.545804122367
"123","5047","SEACOMBE HEIGHTS",-35.0337550182033,138.546188498887
"124","5047","STURT",-35.0227566088329,138.554623582892
"125","5048","BRIGHTON",-35.0184464278717,138.522282249156
"126","5048","DOVER GARDENS",-35.023998685754,138.536951012142
"127","5048","HOVE",-35.0112001176266,138.522635805289
"128","5048","NORTH BRIGHTON",-35.0050634647633,138.5208525382
"129","5043","MITCHELL PARK",-35.0050666090654,138.562321264061
"130","5043","MORPHETTVILLE",-34.9846295499054,138.543044800699
"131","5043","PARK HOLME",-34.9889134124987,138.552175696627
"132","5044","GLENGOWRIE",-34.9873676182303,138.533544037585
"133","5044","SOMERTON PARK",-34.9964766739361,138.519851775059
"134","5045","GLENELG",-34.9804813916251,138.514414205752
"135","5045","GLENELG EAST",-34.9816448524011,138.525787151231
"136","5045","GLENELG NORTH",-34.9687551792574,138.517873987328
"137","5049","KINGSTON PARK",-35.0387597429582,138.517707963505
"138","5049","MARINO",-35.0499118973501,138.515200214821
"139","5049","SEACLIFF",-35.0322843026146,138.520616126969
"140","5049","SEACLIFF PARK",-35.0426572130577,138.529457493548
"141","5049","SEAVIEW DOWNS",-35.0421492629577,138.538347998105
"142","5050","BELLEVUE HEIGHTS",-35.030229599461,138.583133177039
"143","5050","EDEN HILLS",-35.0210956073129,138.595656141334
"144","5051","BLACKWOOD",-35.0223859781562,138.612818262663
"145","5051","COROMANDEL VALLEY",-35.045051757671,138.623610544098
"146","5051","CRAIGBURN FARM",-35.040454438302,138.604869368948
"147","5051","HAWTHORNDENE",-35.0248703440867,138.637390181063
"148","5052","BELAIR",-35.0064559413317,138.643637842084
"149","5052","GLENALTA",-35.0119303422012,138.628220730479
"150","5061","HYDE PARK",-34.9565548244951,138.602941496472
"151","5061","MALVERN",-34.9591511198322,138.612536745071
"152","5061","UNLEY",-34.9483123562748,138.606478965433
"153","5061","UNLEY PARK",-34.9625731212305,138.601397067085
"154","5062","BROWN HILL CREEK",-34.9842562030686,138.650298689787
"155","5062","CLAPHAM",-34.9901578320903,138.605008052223
"156","5062","HAWTHORN",-34.9709849874407,138.604125751643
"157","5062","KINGSWOOD",-34.9708199101561,138.613813455907
"158","5072","SKYE",-34.9244394246382,138.692891606693
"159","5072","TERINGIE",-34.9142512179351,138.702818926009
"160","5072","WOODFORDE",-34.9047862288636,138.708402011402
"161","5073","HECTORVILLE",-34.89305806414,138.665681166658
"162","5073","ROSTREVOR",-34.8938577192192,138.691826604882
"163","5073","TRANMERE",-34.9054954426404,138.662119320136
"164","5074","CAMPBELLTOWN",-34.8813684241851,138.660856746226
"165","5064","GLEN OSMOND",-34.959533756155,138.648918802335
"166","5064","GLENUNGA",-34.9506227919064,138.639161453891
"167","5064","MOUNT OSMOND",-34.9641186607172,138.659200128999
"168","5064","MYRTLE BANK",-34.9605724152585,138.633786085819
"169","5064","ST GEORGES",-34.9520001895767,138.647870229344
"170","5064","URRBRAE",-34.9681500502113,138.638616033563
"171","5065","DULWICH",-34.9368222093321,138.628742792261
"172","5065","GLENSIDE",-34.9427450910196,138.633752534732
"173","5065","LINDEN PARK",-34.9435930567555,138.647274837556
"174","5065","TOORAK GARDENS",-34.9333323382047,138.637494242074
"175","5065","TUSMORE",-34.9358560521557,138.647375608571
"176","5066","BEAUMONT",-34.9499807896576,138.659368754504
"177","5066","BURNSIDE",-34.9400790661723,138.666611596251
"178","5066","ERINDALE",-34.928896565654,138.66388621081
"179","5066","HAZELWOOD PARK",-34.9392685223356,138.656142986424
"180","5066","STONYFELL",-34.9341871458173,138.67677923381
"181","5066","WATERFALL GULLY",-34.9617469585775,138.674458110361
"182","5066","WATTLE PARK",-34.9272591917103,138.678489086176
"183","5067","BEULAH PARK",-34.917679425852,138.64522011299
"184","5067","KENT TOWN",-34.9215616296536,138.620100454089
"185","5069","COLLEGE PARK",-34.9115645707072,138.619718851236
