_CODE_2016,AREA_SQKM,Tot_P_P,Population_Density
5260,285.3978,1755,6.149311592
5261,1136.2253,368,0.323879428
5262,486.0558,412,0.847639304
5263,110.6966,137,1.237617054
5264,1613.5263,1250,0.774700728
5265,1080.5249,431,0.398880211
5266,2013.9485,624,0.309839105
5267,3257.9967,1959,0.601289743
5268,1753.5089,3544,2.021090398
5269,286.9141,258,0.899223844
5270,531.5749,608,1.143771085
5271,2810.9238,7428,2.642547621
5272,1923.2811,794,0.412836168
5273,316.5938,111,0.350606992
5275,3123.7221,2412,0.772155756
5276,543.9247,1181,2.171256426
5277,1201.6921,2914,2.424914003
5278,255.9375,521,2.035653236
5279,523.2743,527,1.007119975
5280,1958.323,7370,3.763424113
5290,26.7965,25512,952.0646353
5291,1741.3724,9171,5.266535751
5301,1980.3562,574,0.289846847
5302,4004.2821,852,0.212772222
5303,739.8952,211,0.285175522
5304,1682.473,770,0.457659647
5306,314.7244,76,0.241481118
5307,1073.8818,573,0.533578276
5308,1286.2451,145,0.112731236
5309,1288.1845,157,0.121876952
5310,443.0505,62,0.139938901
5311,3234.6573,418,0.129225436
5320,1820.4802,652,0.358147262
5321,176.2185,548,3.109775648
5322,91.681,1000,10.90738539
5330,1842.3889,3368,1.828061383
5331,83.815,317,3.782139235
5332,292.1294,403,1.379525649
5333,720.6351,5809,8.06094513
5340,679.1132,1432,2.108632257
5341,2497.386,7665,3.069209165
5342,213.2351,1124,5.271177212
5343,202.1922,4846,23.96729449
5344,31.468,984,31.26986145
5345,205.3057,3582,17.4471532
5346,15.3753,380,24.71496491
5350,32.1523,476,14.80453964
5351,284.0785,5864,20.64218165
5352,108.5768,5216,48.03972856
5353,1027.7626,3775,3.673027215
5354,891.7726,367,0.411539893
5355,158.1546,7594,48.01630809
5356,666.0608,810,1.216105196
5357,1117.9594,419,0.374789997
5360,34.4409,1118,32.4614049
5371,112.6509,1268,11.25601305
5372,88.8785,2214,24.9104114
5373,453.1664,3427,7.562343545
5374,1373.3476,1480,1.077658708
5381,652.6147,384,0.588402315
5400,171.4653,877,5.114737501
5401,269.0932,847,3.147608338
5410,88.1949,317,3.594312143
5411,102.5527,324,3.159351241
5412,218.3209,1207,5.528559107
5413,502.8396,831,1.652614472
5414,93.3548,149,1.596061477
5415,130.8943,222,1.696024961
5416,167.9489,248,1.476639621
5417,17230.4585,1486,0.086242627
5418,546.1272,114,0.208742579
5419,1432.8203,223,0.155637103
5420,279.6993,83,0.296747257
5421,318.5731,139,0.436320581
5422,3115.844,1686,0.541105396
5431,4000.9125,906,0.226448341
5432,8075.8495,137,0.01696416
5433,1523.8032,1256,0.824253421
5434,9367.7992,456,0.048677388
5440,48669.2492,263,0.005403823
5451,141.8682,695,4.898913217
5452,70.8572,442,6.237898195
5453,544.4628,4938,9.069490147
5454,545.5774,398,0.729502358
5455,92.2952,58,0.628418379
5460,313.4523,746,2.379947443
5461,871.5763,2553,2.929175564
5462,159.1215,518,3.255374038
5464,812.8317,634,0.779989265
5470,180.8056,140,0.7743123
5471,127.8191,88,0.688473006
5472,172.3594,168,0.974707501
5473,204.7636,755,3.687178776
5480,256.6451,773,3.011941393
5481,352.449,562,1.594556943
5482,440.7632,516,1.170696646
5483,328.6549,347,1.055818733
5485,601.7359,581,0.965539866
5490,262.8676,172,0.654321795
5491,777.598,1816,2.335396953
5493,18.8997,91,4.814891242
5495,548.9596,595,1.083868467
5501,655.7071,7323,11.16809624
5502,356.5446,1540,4.319235237
5510,128.0996,113,0.882126096
5520,516.7301,589,1.139860055
5521,157.8364,148,0.937679775
5522,378.4738,1421,3.754553155
5523,966.8183,1935,2.001410193
5540,746.8247,15343,20.54431247
5550,594.0299,916,1.542009922
5552,585.505,381,0.650720318
5554,431.7849,5233,12.11946041
5555,605.9659,502,0.828429455
5556,146.5314,4039,27.56405794
5558,429.9849,4830,11.2329526
5560,363.8128,471,1.294621849
5570,199.1415,544,2.731725934
5571,523.3677,1850,3.534799721
5572,145.011,148,1.020612229
5573,1116.7128,2041,1.827685686
5575,1367.3235,2332,1.705521773
5576,474.9031,1070,2.25309121
5577,958.4969,528,0.550862501
5580,303.4677,346,1.14015429
5581,78.0889,542,6.940807208
5582,60.7914,648,10.65940248
5583,73.8878,785,10.62421672
5600,4440.9454,6202,1.396549482
5601,1101.2389,469,0.425883975
5602,3268.8786,1341,0.410232426
5603,1596.9115,446,0.279289115
5604,268.3535,194,0.722927035
5605,593.6214,1690,2.846932405
5606,88.5758,14128,159.5018052
5607,6379.9225,4919,0.771012501
5608,14.1814,13357,941.8675166
5609,3.0669,1950,635.8211875
5630,261.0052,136,0.521062416
5631,683.4725,1046,1.530420024
5632,839.6315,250,0.297749668
5633,1180.1994,321,0.271987937
5640,1185.2382,1017,0.858055368
5641,5586.1415,1023,0.183131774
5642,1840.0653,251,0.136408202
5650,1115.3651,175,0.156899297
5651,393.2341,79,0.200898142
5652,844.3886,728,0.862162279
5653,482.186,79,0.163837191
5654,2855.7105,241,0.084392308
5655,2572.3108,100,0.038875551
5660,465.7152,45,0.096625577
5661,1186.1577,146,0.1230865
5670,3448.4145,482,0.13977438
5671,1024.5239,163,0.159098289
5680,6743.6481,2117,0.31392504
5690,191157.7691,3656,0.019125563
5700,467.8028,11136,23.80490241
5701,145.4637,8,0.054996539
5710,68.0934,2673,39.25490576
5713,13811.9774,18,0.001303217
5715,7906.7542,42,0.005311914
5717,27097.7526,19,0.000701165
5719,36474.6506,41,0.001124068
5720,23480.1823,195,0.008304876
5722,23.8165,316,13.26811244
5723,78520.4522,2059,0.026222467
5724,57785.322,433,0.007493252
5725,288.3608,3888,13.48310866
5730,5245.9302,94,0.017918652
5731,70900.5723,499,0.007038025
5732,10976.0128,211,0.019223739
5733,68876.0855,229,0.003324811
5734,65518.1629,167,0.002548912
5950,7.2952,0,0
5960,8.8253,5,0.566552978
