POA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_persons_private_dwgs_M,Count_persons_private_dwgs_F,Count_persons_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spo_home_Eng_only_M,Lang_spo_home_Eng_only_F,Lang_spo_home_Eng_only_P,Lang_spo_home_Oth_Lang_M,Lang_spo_home_Oth_Lang_F,Lang_spo_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_instit_0_4_M,Age_per_att_educ_instit_0_4_F,Age_per_att_educ_instit_0_4_P,Age_per_att_educ_insti_5_14_M,Age_per_att_educ_insti_5_14_F,Age_per_att_educ_insti_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_instit_25_M,Age_per_att_educ_instit_25_F,Age_per_att_educ_instit_25_P,High_yr_sch_com_Yr_12_equiv_M,High_yr_sch_com_Yr_12_equiv_F,High_yr_sch_com_Yr_12_equiv_P,High_yr_sch_com_Yr_11_equiv_M,High_yr_sch_com_Yr_11_equiv_F,High_yr_sch_com_Yr_11_equiv_P,High_yr_sch_com_Yr_10_equiv_M,High_yr_sch_com_Yr_10_equiv_F,High_yr_sch_com_Yr_10_equiv_P,High_yr_sch_comp_Yr_9_equiv_M,High_yr_sch_comp_Yr_9_equiv_F,High_yr_sch_comp_Yr_9_equiv_P,High_yr_sch_comp_Yr_8_below_M,High_yr_sch_comp_Yr_8_below_F,High_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
POA5570,295,237,535,11,11,17,14,14,28,10,10,16,6,5,8,23,16,40,27,12,40,29,33,63,77,46,125,68,67,133,32,21,53,10,8,17,0,0,0,295,237,535,0,0,0,3,3,5,0,0,0,0,0,0,3,3,5,235,180,412,25,27,55,255,209,464,11,4,14,256,208,465,0,4,3,13,14,25,4,3,10,0,0,0,0,8,8,68,67,129,57,32,92,63,48,111,28,21,48,23,20,46,0,0,0
POA5571,923,860,1785,36,32,61,84,62,147,34,31,59,26,15,43,77,66,145,74,56,132,99,87,186,175,175,349,182,162,344,98,117,214,44,54,99,0,0,0,907,826,1737,19,34,45,24,8,27,0,0,0,0,0,3,26,12,33,792,715,1512,79,97,178,869,807,1681,15,16,31,869,797,1670,3,4,6,74,61,141,24,17,46,0,0,0,7,13,18,202,242,437,177,155,334,199,154,356,78,79,159,81,75,160,3,0,3
POA5572,67,72,137,5,6,13,5,12,20,0,3,3,0,0,3,4,8,14,12,11,19,7,16,23,12,11,26,7,3,11,3,0,4,0,4,4,0,0,0,67,72,137,0,0,0,3,3,6,0,0,0,0,0,0,3,3,6,61,66,123,0,3,5,64,71,135,0,0,3,65,68,133,0,0,0,8,11,18,0,3,3,0,0,0,0,3,3,24,18,42,12,18,32,6,11,19,9,5,12,3,3,3,0,0,0
POA5573,991,1000,1992,53,45,96,130,132,266,49,34,88,40,39,73,83,73,153,81,96,174,150,153,299,146,137,282,147,154,297,86,89,172,37,52,87,0,3,3,958,949,1913,28,51,81,85,91,177,0,0,0,0,0,0,85,90,174,865,885,1748,71,72,145,931,944,1870,19,20,43,917,936,1859,6,3,13,121,120,239,32,24,53,3,12,19,8,22,34,226,278,503,192,177,374,189,156,343,54,70,124,79,80,161,3,0,3
POA5575,1150,1106,2250,56,46,102,127,109,234,55,51,104,32,28,62,75,80,158,95,106,204,143,128,274,230,207,438,225,194,414,86,87,177,24,70,89,3,3,3,1130,1065,2200,13,40,52,12,12,20,3,0,0,0,0,0,11,12,25,969,902,1872,101,108,213,1067,1009,2075,22,18,42,1068,1029,2100,8,9,20,122,104,223,35,44,82,5,3,8,8,23,30,276,339,614,204,199,401,224,186,416,77,63,138,100,69,174,0,3,3
POA5576,527,516,1040,30,22,50,76,52,127,29,23,49,21,21,40,39,38,77,40,54,92,62,70,133,91,96,187,92,86,177,40,38,83,8,20,26,3,0,0,516,506,1026,14,9,21,3,0,8,0,0,0,0,0,0,3,0,8,453,437,890,45,64,107,504,492,994,5,14,17,498,480,978,5,8,10,69,50,118,19,19,37,3,7,6,0,12,10,104,147,247,113,106,219,93,98,194,41,34,77,41,40,79,0,0,0
POA5577,274,234,508,8,12,15,21,24,45,20,17,31,11,11,17,24,18,40,21,15,39,41,38,76,61,50,109,35,33,68,22,25,47,6,8,13,3,0,0,265,236,494,9,7,10,3,9,12,0,0,0,0,0,0,3,9,12,229,200,431,30,17,48,254,227,479,3,3,6,254,221,480,6,0,6,21,18,41,14,11,20,0,3,3,3,3,8,59,70,133,66,45,117,56,38,98,23,17,38,23,15,37,0,0,0
POA5580,172,170,344,8,15,22,18,19,37,12,3,11,5,3,9,22,17,37,12,9,21,22,22,42,31,26,63,27,28,53,17,11,27,3,12,12,0,0,0,172,170,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,156,312,10,12,21,167,167,334,3,3,7,162,161,323,0,3,3,15,17,35,4,0,4,0,0,0,0,0,3,37,58,95,41,24,63,46,32,75,13,4,20,8,9,20,0,0,0
POA5581,271,246,517,9,3,12,11,5,20,5,4,11,10,3,14,14,14,30,12,7,24,29,26,54,46,62,110,78,61,145,41,29,70,15,15,28,0,0,0,271,246,517,0,0,0,3,3,5,0,0,0,0,0,0,3,3,5,225,210,438,39,26,62,252,232,488,0,3,4,253,234,485,0,0,0,10,7,16,0,7,4,0,0,3,0,9,9,54,82,139,53,50,104,70,54,127,30,26,57,21,4,28,0,0,3
POA5582,324,317,640,15,19,34,20,18,41,22,14,36,5,4,13,13,16,35,14,23,38,43,44,84,71,59,134,66,60,131,29,32,61,16,32,50,0,0,0,303,288,588,18,30,46,0,0,0,0,0,0,0,0,0,0,0,0,272,257,523,33,38,75,304,289,598,3,7,12,303,292,594,3,6,8,20,18,40,18,7,23,0,0,0,0,8,10,80,82,162,56,56,111,68,65,130,33,31,63,30,26,59,0,0,0
POA5583,413,365,779,9,8,12,38,41,79,13,17,25,13,9,21,20,20,38,33,32,65,43,37,86,76,64,139,102,89,189,52,40,93,19,13,25,0,0,0,403,362,768,7,3,8,6,3,9,0,0,0,0,0,0,6,0,9,322,288,614,57,51,109,383,332,718,8,4,7,367,326,698,0,0,3,42,31,69,4,12,18,3,5,7,3,10,11,93,94,186,66,62,123,100,79,175,38,33,67,37,27,62,0,0,0
POA5600,3158,3001,6159,135,149,288,350,352,705,194,180,371,182,131,317,330,310,642,400,384,785,508,461,969,483,423,901,316,296,606,180,194,380,85,111,191,11,4,15,3029,2857,5887,136,144,276,65,59,122,0,3,3,0,0,0,62,64,125,2393,2274,4666,581,576,1158,2779,2630,5414,211,228,434,2772,2664,5439,23,29,55,346,328,677,150,136,280,36,38,72,47,122,171,990,1021,2009,681,547,1227,463,434,898,147,143,291,135,125,259,7,7,20
POA5601,257,210,463,4,4,12,24,36,60,16,7,20,3,0,3,17,5,20,29,25,56,52,45,98,44,38,84,44,38,80,13,5,18,0,3,0,0,0,0,257,210,463,0,0,0,4,6,11,0,0,0,0,0,0,4,10,15,201,166,365,33,27,64,231,191,420,5,3,14,228,186,411,0,0,0,20,32,51,6,8,13,0,0,0,3,3,7,66,62,124,53,25,74,43,42,80,17,12,29,24,15,38,0,0,0
POA5602,837,701,1533,50,30,82,96,70,166,24,27,52,35,29,63,75,64,135,87,78,165,136,107,244,135,125,258,142,110,254,36,31,67,17,31,49,3,5,3,784,657,1441,49,45,98,16,10,27,0,0,0,0,0,0,16,10,27,666,573,1235,42,39,78,699,605,1307,6,7,14,686,588,1277,5,3,4,89,60,143,16,16,33,0,0,3,9,9,19,184,196,378,127,114,242,154,122,273,50,31,84,49,44,94,0,0,0
POA5603,351,263,617,21,19,42,34,28,62,13,12,21,10,3,18,38,33,66,37,33,71,59,36,100,83,60,143,46,31,80,8,6,17,4,3,4,0,0,0,330,257,589,22,4,23,5,0,9,0,0,0,0,0,0,5,0,9,303,225,532,17,20,36,320,240,562,4,4,7,316,239,554,8,3,12,33,21,57,10,7,16,3,0,3,0,6,6,106,89,194,73,44,114,53,42,96,14,10,22,23,14,34,0,0,0
POA5604,140,120,258,6,4,10,3,8,9,3,0,4,4,5,8,8,11,21,12,7,18,23,15,41,38,30,63,28,23,51,6,8,22,0,3,3,3,0,3,132,116,246,13,7,15,0,0,3,0,0,0,0,0,0,0,0,3,118,103,225,11,12,23,132,111,243,3,0,3,129,115,245,0,0,0,3,8,9,0,0,0,0,0,0,0,7,7,34,50,86,32,20,49,29,24,51,10,6,20,11,3,10,0,0,0
POA5605,871,894,1768,37,35,71,69,92,162,43,32,68,29,31,61,64,68,125,90,79,166,129,104,240,147,148,302,150,157,305,79,93,177,25,62,85,0,5,3,791,843,1633,86,48,137,5,15,16,0,0,0,0,0,0,5,16,23,734,780,1512,58,48,107,804,836,1637,10,7,18,799,839,1630,6,10,11,65,84,152,24,19,49,0,6,8,8,18,27,217,273,492,162,135,295,162,153,317,52,41,100,75,84,156,0,0,0
POA5606,6887,6983,13870,481,407,891,918,859,1769,431,419,849,404,390,791,913,884,1792,787,834,1623,893,922,1816,895,913,1807,661,682,1348,374,435,811,136,240,376,30,26,55,6565,6774,13335,325,211,540,348,349,694,7,4,12,3,3,5,360,361,717,5736,5771,11503,544,630,1168,6078,6171,12252,237,282,518,6128,6211,12339,80,58,142,792,770,1563,281,286,565,24,80,108,88,215,303,1784,2234,4015,1208,1174,2383,1164,1026,2194,404,325,726,373,370,740,10,16,21
POA5607,2675,2237,4905,141,143,279,375,309,684,147,129,275,90,60,156,257,248,503,360,298,651,410,376,782,443,350,795,307,238,550,118,72,187,22,13,36,4,6,14,2466,2228,4691,211,7,219,118,84,203,0,0,0,0,0,0,118,84,203,2300,1893,4191,173,167,342,2266,2059,4326,31,33,61,2256,2048,4305,21,15,38,335,265,603,87,84,177,7,8,22,23,55,79,598,768,1366,460,382,839,435,338,770,153,88,236,115,67,180,3,3,5
POA5608,6685,6716,13401,454,420,870,917,867,1780,445,407,845,433,443,872,867,931,1799,780,716,1491,1046,891,1935,787,794,1581,558,678,1233,335,433,771,81,142,222,17,20,32,6532,6605,13138,157,108,268,366,404,768,9,15,22,5,11,18,380,429,813,4908,4810,9713,1139,1252,2392,5716,5762,11478,368,398,766,5679,5722,11401,90,80,176,795,734,1528,289,284,572,37,95,131,112,289,408,1539,1736,3272,1268,1161,2422,1090,1099,2189,374,378,758,334,369,708,26,23,51
POA5609,907,941,1850,93,73,170,134,154,290,53,64,113,62,61,127,157,179,329,129,125,254,112,102,214,70,72,142,46,62,107,43,38,84,5,7,12,0,0,0,907,941,1850,0,0,0,25,34,59,0,0,3,5,3,5,34,40,66,671,696,1369,202,199,402,794,832,1623,78,70,151,808,848,1651,17,15,32,125,139,262,38,44,86,5,17,25,22,42,63,311,362,675,179,151,333,107,107,217,24,32,55,25,14,38,0,0,0
POA5630,68,62,136,6,0,6,11,10,20,7,8,10,0,3,3,8,8,16,10,8,17,12,9,24,7,14,17,3,0,11,0,0,0,0,0,0,0,0,0,68,62,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,51,117,0,0,0,67,60,128,0,0,0,63,58,119,0,0,0,8,9,16,3,4,7,0,3,3,0,4,6,19,11,36,18,18,35,8,8,22,4,3,8,0,0,0,0,0,0
