POA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_persons_private_dwgs_M,Count_persons_private_dwgs_F,Count_persons_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spo_home_Eng_only_M,Lang_spo_home_Eng_only_F,Lang_spo_home_Eng_only_P,Lang_spo_home_Oth_Lang_M,Lang_spo_home_Oth_Lang_F,Lang_spo_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_instit_0_4_M,Age_per_att_educ_instit_0_4_F,Age_per_att_educ_instit_0_4_P,Age_per_att_educ_insti_5_14_M,Age_per_att_educ_insti_5_14_F,Age_per_att_educ_insti_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_instit_25_M,Age_per_att_educ_instit_25_F,Age_per_att_educ_instit_25_P,High_yr_sch_com_Yr_12_equiv_M,High_yr_sch_com_Yr_12_equiv_F,High_yr_sch_com_Yr_12_equiv_P,High_yr_sch_com_Yr_11_equiv_M,High_yr_sch_com_Yr_11_equiv_F,High_yr_sch_com_Yr_11_equiv_P,High_yr_sch_com_Yr_10_equiv_M,High_yr_sch_com_Yr_10_equiv_F,High_yr_sch_com_Yr_10_equiv_P,High_yr_sch_comp_Yr_9_equiv_M,High_yr_sch_comp_Yr_9_equiv_F,High_yr_sch_comp_Yr_9_equiv_P,High_yr_sch_comp_Yr_8_below_M,High_yr_sch_comp_Yr_8_below_F,High_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
POA5631,502,531,1036,37,29,69,80,73,161,19,29,54,25,28,57,54,64,112,55,66,116,70,69,142,66,53,126,44,43,88,27,48,70,15,29,43,0,3,0,490,509,1007,13,20,36,14,10,18,0,0,0,0,0,0,14,10,18,451,472,926,19,25,46,475,496,968,8,5,15,469,491,959,5,3,12,74,69,148,12,22,42,0,0,3,0,13,17,127,195,319,101,85,185,65,47,113,24,28,51,33,20,45,3,0,4
POA5632,127,118,247,7,9,19,24,27,52,7,7,17,11,4,14,12,17,26,14,16,25,30,23,57,12,9,25,11,0,13,3,4,5,0,0,0,0,0,0,127,118,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,107,228,0,3,3,119,109,236,0,0,0,118,114,232,0,0,3,20,28,50,7,4,12,0,0,3,0,4,4,37,44,78,28,20,46,17,10,25,3,0,8,7,4,6,0,0,0
POA5633,175,150,324,15,13,32,26,14,36,3,11,14,5,7,14,21,19,42,13,9,25,29,30,58,38,25,68,10,9,22,8,8,11,0,3,6,0,0,0,165,150,321,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,152,132,282,9,10,17,165,140,301,0,0,0,159,136,294,0,0,4,25,15,38,0,4,5,0,0,0,4,4,3,46,59,102,19,27,44,37,21,54,15,0,14,8,6,19,0,0,0
POA5640,629,589,1220,45,40,83,66,53,117,28,27,56,27,26,50,69,74,143,67,58,129,87,79,173,100,80,179,70,76,146,47,47,88,22,33,53,0,0,4,586,561,1147,41,33,75,3,0,3,0,0,0,0,0,0,3,0,3,528,513,1042,32,25,57,556,541,1098,9,3,11,552,535,1090,6,3,7,60,50,115,24,21,44,3,3,3,4,19,24,173,211,377,127,91,216,70,83,155,39,28,64,45,42,86,0,5,6
POA5641,562,505,1071,47,41,89,73,76,152,20,12,37,23,24,46,66,70,138,65,58,117,78,61,141,87,52,147,51,51,94,44,41,81,12,16,32,0,0,3,510,482,995,53,22,74,7,7,14,0,0,0,0,0,0,7,7,14,486,445,932,25,27,49,505,467,976,10,11,26,502,466,968,9,5,18,68,71,139,14,11,20,0,3,4,3,14,17,140,173,313,98,85,181,77,54,127,26,17,40,52,32,82,0,0,0
POA5642,163,137,299,7,5,19,21,25,47,8,12,20,7,3,10,17,8,20,17,22,36,24,21,51,40,17,59,15,16,29,0,7,7,0,0,3,0,0,0,160,139,292,5,3,12,3,0,0,0,0,0,0,0,0,0,0,3,145,119,261,4,4,14,145,122,269,3,4,7,149,124,270,0,0,0,22,24,39,5,10,11,0,0,0,0,6,3,29,38,72,46,24,74,24,20,50,4,3,8,6,4,11,0,0,0
POA5650,92,84,180,5,6,13,10,18,32,4,0,7,0,6,7,13,12,25,10,16,24,11,9,21,16,11,34,12,7,19,0,0,3,0,6,3,0,0,0,92,84,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,72,158,4,3,4,87,74,167,0,0,0,83,70,155,0,0,0,10,16,26,0,0,4,0,0,0,0,0,0,19,26,47,22,15,28,14,7,21,8,3,10,6,0,6,0,0,0
POA5651,39,35,72,0,0,3,3,9,10,0,3,4,4,0,3,3,0,4,6,8,17,11,5,17,7,0,11,0,0,3,0,0,4,0,0,0,0,0,0,39,35,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,30,67,0,3,4,41,34,72,0,0,3,39,33,74,0,0,0,3,9,10,0,3,3,0,0,0,0,0,0,8,14,18,8,12,21,10,3,13,0,0,4,3,0,3,0,0,0
POA5652,408,397,810,25,34,58,52,58,116,16,18,34,27,19,45,46,43,87,55,43,101,56,39,99,53,59,106,45,36,84,13,31,44,12,22,35,3,4,4,354,379,735,50,25,73,11,7,21,0,0,0,0,0,0,11,7,21,355,340,694,16,16,36,371,362,732,9,7,15,367,358,724,3,10,14,54,54,110,5,8,15,3,5,7,4,3,9,102,122,223,80,54,135,71,50,122,23,24,47,23,18,38,0,0,0
POA5653,44,34,78,5,3,10,5,12,12,0,0,0,6,0,5,0,4,7,4,4,6,8,9,11,8,6,12,3,3,11,0,0,0,3,0,3,0,0,0,44,34,78,0,0,0,3,5,4,0,0,0,0,0,0,3,5,4,38,28,69,3,5,7,43,32,71,0,0,0,44,30,71,0,0,3,5,12,12,0,0,0,0,0,0,0,0,0,9,13,21,11,5,17,9,5,12,3,0,3,0,0,0,0,0,0
POA5654,132,111,242,4,9,11,14,22,38,9,0,9,0,0,0,7,9,20,20,15,33,20,18,41,15,18,32,26,23,43,10,3,10,0,0,3,0,0,0,123,105,230,8,7,11,4,0,4,0,0,0,0,0,0,4,0,4,111,96,204,5,3,9,123,102,222,0,0,0,120,100,219,4,0,7,14,18,31,6,0,6,0,0,0,0,0,0,26,31,54,18,14,30,23,17,49,12,3,15,12,3,16,0,0,0
POA5655,60,44,102,13,10,18,6,5,10,0,0,0,8,0,7,9,6,14,6,5,11,3,3,6,13,5,16,9,5,8,0,0,0,0,0,0,0,0,0,60,44,102,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,50,38,92,0,0,0,53,42,99,0,0,0,53,42,99,3,0,5,3,5,10,0,0,0,0,3,3,0,4,4,14,18,34,10,3,14,10,4,19,3,0,6,0,0,0,0,0,0
POA5660,21,22,43,4,3,7,4,3,8,0,3,3,6,0,3,0,3,8,3,0,7,4,4,9,7,3,4,3,0,3,0,0,0,0,0,0,0,0,0,21,22,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23,41,0,0,0,24,22,42,0,0,0,24,23,41,0,0,0,4,3,8,0,0,0,0,0,0,0,3,3,4,10,15,8,0,7,9,3,10,0,0,3,0,0,0,0,0,0
POA5661,74,53,127,7,9,12,12,8,17,0,0,0,7,3,8,13,6,21,11,10,21,3,3,6,13,7,23,10,8,14,0,3,6,0,0,0,0,0,0,74,53,129,3,0,3,3,0,3,0,0,0,0,0,0,3,0,3,71,52,120,4,8,11,73,55,127,3,0,6,68,53,122,0,4,7,13,8,18,0,0,0,0,0,0,0,0,0,20,24,47,10,4,14,10,4,13,4,0,4,3,3,9,0,0,0
POA5670,274,235,505,15,13,30,33,29,68,3,4,14,7,7,13,26,22,50,29,26,51,36,29,67,55,43,98,42,37,78,18,10,26,6,5,11,0,0,0,268,223,488,7,12,17,10,12,20,0,0,0,0,0,0,10,12,20,240,191,433,11,25,37,255,216,477,3,6,10,260,207,472,0,6,8,34,27,61,3,0,8,0,0,0,3,3,9,84,76,160,43,30,78,48,36,85,10,8,24,13,6,22,0,0,0
POA5671,100,73,178,3,3,9,10,12,28,0,0,0,3,6,9,7,8,17,14,6,18,28,15,40,19,15,32,11,4,17,4,3,9,0,0,0,4,3,7,102,73,176,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,83,66,148,3,7,8,91,69,158,0,0,0,86,67,156,0,0,0,13,7,18,0,0,0,0,0,0,0,0,0,19,25,44,15,11,30,24,14,36,3,4,5,3,5,9,0,0,0
POA5680,1391,1126,2521,61,67,124,130,138,266,52,36,86,42,45,86,118,98,220,153,126,288,257,176,433,280,219,506,195,139,338,72,45,120,21,35,59,11,4,13,1354,1089,2442,37,38,76,46,46,93,0,0,0,0,0,4,47,46,97,1105,920,2022,80,62,147,1152,959,2111,28,21,46,1166,963,2132,9,14,23,120,120,236,27,27,47,3,8,15,13,23,40,357,345,706,231,177,407,254,164,416,60,40,104,82,39,125,3,0,7
POA5690,2176,2045,4223,132,134,262,270,249,522,125,109,238,136,105,239,257,270,529,254,253,500,296,283,581,320,299,619,282,230,510,80,73,156,24,45,70,35,11,48,1967,1920,3884,211,127,335,496,535,1032,0,0,0,7,7,12,501,544,1048,1695,1590,3288,136,142,279,1565,1500,3068,215,211,423,1792,1678,3471,27,29,51,215,205,425,62,67,128,10,9,17,24,49,72,412,525,937,321,291,616,354,303,662,146,94,237,142,106,252,5,6,6
POA5700,5644,5858,11501,351,370,725,736,695,1434,305,311,612,339,376,718,724,769,1490,605,622,1232,775,827,1600,811,761,1571,647,648,1292,281,325,609,66,153,219,43,61,103,5301,5559,10861,338,302,637,959,1135,2094,10,13,21,20,13,33,989,1162,2144,4533,4739,9271,433,467,897,4701,4898,9602,292,342,634,4840,5045,9879,55,75,133,622,602,1218,175,181,360,40,55,95,67,117,179,1171,1471,2645,1066,996,2062,886,902,1783,365,325,689,316,342,653,32,26,62
POA5701,10,15,22,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,10,0,5,4,0,0,0,0,0,0,0,0,0,10,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,18,0,0,4,10,15,22,0,0,0,10,15,22,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,4,5,5,8,0,0,3,0,0,0,0,0,0,0,0,0
POA5710,1538,1082,2617,80,84,167,166,148,310,73,59,140,144,66,212,344,152,499,262,141,401,183,157,343,170,149,315,90,65,152,22,39,59,9,13,19,0,0,0,1013,1072,2090,524,5,529,284,116,403,4,0,3,0,0,0,290,113,407,1370,975,2347,87,43,125,940,1007,1946,15,21,34,952,1015,1966,11,16,29,152,132,281,42,45,90,3,5,7,6,24,35,184,317,502,239,218,451,187,161,350,43,33,84,41,38,81,0,3,3
POA5713,26,9,27,0,0,0,0,0,4,0,0,0,3,0,3,6,0,6,0,3,3,7,0,6,4,0,4,0,0,3,0,0,0,0,0,0,0,0,0,13,5,15,15,5,13,0,0,0,0,0,0,0,0,0,0,0,0,18,7,28,3,0,3,19,9,29,0,0,0,18,7,28,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,3,10,3,3,3,3,0,3,3,0,0,5,0,3,0,0,0
POA5715,33,20,58,3,4,9,6,3,12,0,0,0,0,3,4,3,4,9,3,3,9,3,3,3,8,3,9,4,3,5,0,0,0,0,0,0,0,0,0,33,18,51,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,27,18,42,0,0,0,21,18,40,3,0,3,25,15,41,0,0,0,6,0,8,0,0,0,0,3,3,0,0,0,3,8,11,10,3,12,0,0,3,0,0,0,0,0,0,0,0,0
POA5717,20,8,31,3,3,4,0,0,0,0,0,0,3,0,3,3,4,9,3,0,3,4,3,6,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,13,5,15,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,19,8,21,0,0,0,16,8,20,0,0,0,19,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,9,0,0,4,8,0,6,0,0,0,0,0,0,0,0,0
POA5719,49,26,79,0,0,0,3,0,3,0,0,0,3,3,3,7,3,9,8,6,12,3,3,4,8,6,14,13,9,20,0,0,3,0,0,0,0,0,0,23,15,38,29,14,40,0,0,3,0,0,0,0,0,0,0,0,3,29,24,52,11,7,13,37,28,62,7,0,7,36,23,67,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,16,17,31,8,6,15,13,3,15,0,0,0,5,0,7,0,0,0
POA5720,254,99,354,3,4,7,9,0,7,4,0,4,15,7,15,42,11,58,41,12,54,54,30,81,55,20,76,24,12,35,8,0,9,0,0,0,9,0,11,157,75,234,100,24,123,14,4,16,0,0,0,0,0,0,14,4,16,171,68,241,30,19,47,189,79,266,17,5,23,202,82,282,0,0,3,3,0,4,0,0,0,0,0,0,6,0,8,76,38,116,53,23,77,46,13,63,13,0,19,10,3,12,0,0,0
POA5722,169,140,311,7,3,9,18,15,28,7,8,17,4,4,10,15,15,32,9,13,25,24,28,54,29,21,50,35,16,54,17,10,30,0,0,4,0,0,0,169,140,310,0,0,0,6,8,8,0,0,0,0,0,0,6,6,11,117,103,221,32,20,57,140,117,250,21,12,37,150,118,277,3,0,3,18,10,28,0,9,6,0,0,0,0,3,3,49,42,85,19,19,41,23,26,49,17,11,27,17,10,28,0,0,0
POA5723,1788,1082,2871,50,59,108,95,98,191,37,41,76,68,72,133,321,172,493,265,110,378,308,156,466,279,185,464,259,151,414,96,34,134,13,3,13,30,31,56,1040,831,1871,741,257,1000,162,157,319,0,0,7,3,3,5,166,167,329,1037,629,1664,352,235,585,1117,689,1802,285,193,479,1290,791,2085,12,8,20,69,70,138,18,17,37,3,7,9,47,48,91,514,342,860,246,126,374,282,146,423,83,42,122,96,36,133,11,9,20
POA5724,291,273,565,6,17,27,28,29,55,18,8,23,26,26,51,43,43,88,39,41,75,31,41,70,57,38,97,34,22,62,14,0,17,3,0,3,9,3,10,256,251,504,36,22,56,105,124,231,0,0,0,0,0,0,108,124,230,209,207,421,38,22,59,146,124,269,97,98,194,237,221,460,3,4,4,23,30,52,3,3,5,0,0,0,0,12,15,60,68,132,28,40,66,40,35,77,26,15,48,27,4,30,17,6,29
POA5725,2957,1672,4630,197,197,396,311,302,611,96,57,161,183,118,297,712,374,1084,631,271,898,506,190,699,273,123,397,42,24,65,4,6,10,4,0,4,3,7,10,1874,1636,3515,1080,38,1120,89,45,139,0,0,0,4,3,5,94,47,143,2155,1299,3452,331,233,563,2316,1429,3746,189,128,319,2350,1421,3769,28,22,50,277,277,561,49,36,87,12,20,33,80,111,190,894,636,1532,586,194,779,434,180,609,69,43,115,21,16,39,3,0,3
POA5730,91,74,162,0,3,3,6,3,6,4,4,3,3,4,5,9,4,17,11,4,15,9,3,14,30,21,51,20,17,34,3,3,11,0,0,0,5,0,5,65,48,117,20,23,43,11,4,15,0,0,0,0,0,0,11,4,15,79,56,133,3,7,7,77,58,143,5,5,8,85,62,149,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,30,31,63,23,14,33,17,19,37,3,4,5,3,4,3,3,0,3
POA5731,856,247,1098,20,9,25,42,27,71,11,0,11,37,20,52,168,27,198,187,33,218,215,62,272,135,44,182,30,23,55,11,3,10,0,0,0,14,0,18,216,175,395,640,67,704,33,17,52,0,0,0,0,0,0,33,17,52,553,149,707,121,29,152,626,181,809,53,8,58,629,168,796,3,0,5,27,21,43,4,0,4,0,4,4,17,5,19,295,66,363,180,41,225,130,39,164,21,3,26,19,3,24,0,0,0
POA5732,223,117,341,6,0,5,6,10,22,3,0,3,4,7,14,45,22,61,52,23,76,62,21,83,38,22,61,8,7,17,5,0,5,0,3,3,3,7,8,107,92,194,118,30,149,58,52,106,0,0,0,0,0,0,58,52,106,190,88,275,21,18,43,169,81,248,22,10,38,206,98,307,0,0,0,5,9,14,3,0,3,0,0,0,6,3,7,75,47,115,46,16,59,46,10,57,12,7,16,10,3,9,3,0,4
POA5733,304,156,456,9,8,17,10,15,27,8,3,15,9,10,18,62,21,86,44,19,64,58,27,80,58,36,96,32,18,47,5,5,7,0,0,0,8,5,11,131,106,239,167,43,216,32,25,56,0,0,0,0,0,0,30,25,56,201,107,311,38,19,52,228,116,347,10,10,17,222,117,338,0,0,0,12,13,23,3,0,0,0,3,3,6,0,9,97,54,150,44,22,73,42,17,58,17,3,17,14,3,14,0,0,0
POA5734,113,111,222,4,4,16,9,10,21,6,6,14,4,6,17,16,22,36,19,9,29,21,17,42,20,14,32,12,11,18,6,3,9,0,0,0,0,4,6,92,88,176,24,23,44,46,57,106,0,0,0,0,0,0,46,57,106,75,69,148,8,6,10,67,62,123,20,18,34,80,75,157,4,0,3,6,10,15,3,4,9,0,0,0,0,0,0,18,21,38,12,9,25,13,6,18,4,9,13,14,10,21,3,0,3
POA5950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA5960,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
