POA_CODE_2016,Total,Total.Male,Total.Female,tier.1.0-14,tier.2.15-19,tier.3.20-54,tier.4.54-100
5169,16761,8013,8747,3666,1019,7906,4170
5170,1116,535,585,183,70,508,355
5171,5785,2808,2979,985,380,2246,2180
5172,3878,1900,1973,714,281,1604,1284
5173,12539,6020,6522,2942,816,5656,3129
5174,2858,1439,1424,555,195,1339,767
5201,1905,949,952,345,129,868,560
5202,833,422,410,163,51,364,257
5203,1235,606,627,188,63,400,587
5204,2827,1386,1444,344,98,839,1554
5210,1660,818,843,362,122,714,463
5211,14773,6904,7870,2007,679,4344,7743
5212,2074,1012,1065,259,72,573,1168
5213,1124,582,541,192,62,434,441
5214,8018,3833,4186,1004,295,2359,4376
5220,151,75,74,29,3,70,44
5221,342,160,182,51,7,117,152
5222,668,335,330,89,24,235,324
5223,3772,1933,1838,631,197,1529,1407
5231,1177,593,583,193,101,515,368
5232,424,216,208,57,34,182,136
5233,1445,716,728,237,107,586,513
5234,1302,656,641,264,113,549,374
5235,2438,1207,1233,423,131,948,934
5236,296,150,147,40,24,144,91
5237,340,182,157,65,10,148,102
5238,4116,2074,2042,563,211,1386,1954
5240,472,251,218,82,35,195,158
5241,2488,1170,1314,504,147,1076,768
5242,1559,742,809,277,112,660,512
5243,815,392,420,120,59,352,280
5244,4117,2076,2046,744,298,1770,1305
5245,3112,1524,1592,490,195,1081,1331
5250,3448,1675,1767,796,254,1516,876
5251,14401,6801,7606,2949,991,6505,3958
5252,6391,3150,3238,1448,478,3133,1344
5253,18469,9223,9249,3189,1156,8328,5806
5254,2356,1226,1126,417,180,1037,722
5255,9063,4351,4710,1706,590,3560,3212
5256,1326,659,666,177,57,474,615
5259,1064,578,491,179,63,452,374
5260,1764,879,885,285,108,663,711
5261,350,188,162,71,25,151,104
5262,397,222,174,92,18,174,109
5263,129,71,55,15,9,53,48
5264,1225,604,620,204,44,432,542
5265,445,239,204,91,21,195,138
5266,595,332,266,136,32,267,172
5267,1922,988,935,410,109,779,628
5268,3486,1831,1653,620,217,1571,1081
5269,244,134,106,49,17,101,85
5270,582,313,274,118,43,257,166
5271,7372,3816,3552,1436,392,3298,2246
5272,742,399,345,139,47,305,258
5273,105,59,44,26,3,50,19
5275,2329,1199,1131,372,106,845,1004
5276,1227,630,601,168,33,489,530
5277,2880,1500,1382,564,148,1239,933
5278,501,277,224,96,28,219,162
5279,513,250,266,96,36,174,202
5280,7092,3524,3569,1270,419,2783,2634
5290,25131,12231,12902,4985,1607,10829,7714
5291,8993,4893,4107,1800,592,4022,2578
5301,557,304,255,110,31,204,213
5302,819,409,415,141,43,316,307
5303,221,121,100,43,10,115,51
5304,816,422,392,134,37,385,264
5306,79,43,29,11,8,21,26
5307,564,277,289,100,31,190,249
5308,141,78,63,28,7,68,42
5309,143,78,62,26,11,60,49
5310,56,32,27,7,0,30,20
5311,397,216,181,71,35,175,121
5320,628,332,294,68,22,211,328
5321,547,396,147,27,20,303,189
5322,1007,535,472,148,67,406,384
5330,3394,1689,1698,596,193,1275,1333
5331,329,175,156,61,14,126,135
5332,389,197,190,84,11,141,159
5333,5782,2840,2941,1045,374,2297,2064
5340,1660,891,774,250,66,845,492
5341,7720,3871,3848,1310,465,3278,2664
