POA_CODE_2016,people.tier.1.74-199,people.tier.2.200-449,people.tier.3.450-849,people.tier.4.850-1200,avg.rent.per.week
5213,4135,20914.5,0,0,248.0148515
5214,25338.5,171626,7793,3225,248.1891408
5220,1919.5,636,0,0,182.5357143
5221,1718.5,1634,0,0,167.625
5222,3784,4865,0,0,166.3269231
5223,26040,29990,0,0,164.7941176
5231,846,6926.5,0,0,259.0833333
5232,111,0,0,0,37
5233,2739,14664,1798.5,0,266.6875
5234,2214.5,12029.5,0,0,229.7419355
5235,3878.5,27947.5,1498.5,0,220.692053
5236,111,3069,0,0,212
5237,634.5,1384.5,0,0,168.25
5238,27822.5,46868.5,0,0,190.0534351
5240,0,5678,0,0,298.8421053
5241,3693.5,35006.5,0,0,258
5242,1158,23724,5395,0,315.3854167
5243,809,8899,3796.5,0,329.3780488
5244,5513,58594,0,3225,281.7238494
5245,3795.5,30391.5,10890,0,308.7465753
5250,2853,45307.5,8791.5,0,333.0526316
5251,41577,431028.5,34267,4300,299.1062025
5252,5971.5,133964.5,7493.5,0,300.2637475
5253,123680,384183,8592,5375,211.2672065
5254,4524.5,11641,0,0,171.9734043
5255,22165,150190,4296,0,253.0816619
5256,3674,14174,0,0,225.9240506
5259,7249.5,4915,0,0,126.7135417
5260,10283,16064.5,0,0,169.983871
5261,1751,636,0,0,91.80769231
5262,1851.5,1384.5,0,0,115.5714286
5263,891.5,0,0,0,52.44117647
5264,11724,9331.5,0,0,151.4784173
5265,3531.5,636,0,0,104.1875
5266,4734.5,636,0,0,91.02542373
5267,16185,2956.5,0,0,114.6197605
5268,21563.5,32555.5,0,0,173.4583333
5269,1119,0,0,0,93.25
5270,1267,2944,0,0,150.3928571
5271,48495.5,87277,0,3225,189.6282401
5272,7135.5,0,0,0,90.32278481
5273,333,0,0,0,37
5275,19254,17987,0,0,153.255144
5276,7122,17017,0,0,197.8606557
5277,23580.5,19597,1498.5,0,163.6483516
5278,4109.5,0,0,0,132.5645161
5279,3186,1384.5,0,0,134.4264706
5280,65060.5,34665.5,0,0,153.8981481
5290,243658,413434.5,3796.5,5375,197.2946402
5291,25807,41500,1998,0,177.7051282
5301,2991.5,0,0,0,71.22619048
5302,7105.5,1908,0,0,123.4726027
5303,296,0,0,0,37
5304,5925.5,1908,0,0,135.0603448
5306,484.5,0,0,0,80.75
5307,4271,1384.5,0,0,145.0128205
5308,819.5,0,0,0,74.5
5309,222,0,0,0,37
5310,0,0,0,0,0
5311,2212.5,0,0,0,88.5
5320,4979,2120,0,0,136.5192308
5321,3375.5,0,0,0,140.6458333
5322,5648,4266.5,0,0,139.6408451
5330,32848,28118.5,1498.5,0,168.8243243
5331,1531.5,0,0,0,127.625
5332,2528.5,748.5,0,0,156.047619
5333,42294,62866,2497.5,0,192.2455357
5340,10544,11814,0,0,166.8507463
5341,78562,73333,0,3225,179.7450753
