POA_CODE_2016,people.tier.1-500,people.tier.2.500-1249,people.tier.3.1250-2499,people.tier.4.2500-6000,avg.income.per.week
POA5173,81600,997150,2184375,1233000,1520.502198
POA5174,17625,231600,486000,358500,1592.030568
POA5201,7875,134875,358375,388500,1884.798729
POA5202,6000,57450,154500,94750,1571.356784
POA5203,8900,98600,202250,146500,1562.5
POA5204,22350,313275,420500,216500,1330.540356
POA5210,9225,123325,365500,218500,1689.976415
POA5211,118775,1737175,2092000,1288000,1348.081874
POA5212,16750,246775,256125,163500,1301.238095
POA5213,2700,102200,218000,136750,1671.454545
POA5214,58575,962400,1030000,537500,1274.483013
POA5220,0,8925,13500,8250,1460.714286
POA5221,3750,30325,30875,0,999.2307692
POA5222,5850,62150,69875,30000,1207.733813
POA5223,24850,284250,549875,340000,1502.474937
POA5231,4275,49900,268375,333750,2194.983278
POA5232,1350,15325,73250,168250,2435.613208
POA5233,8250,98000,245500,310250,1859.550562
POA5234,3150,93650,242000,284750,1948.59375
POA5235,22050,198375,455250,380500,1645.132399
POA5236,2025,22850,50375,35750,1541.666667
POA5237,3750,25650,47000,29000,1424.324324
POA5238,37175,418025,523375,276750,1286.193648
POA5240,2400,34800,121500,95500,1828.776978
POA5241,10275,190675,465375,437000,1745.767405
POA5242,3300,94925,288375,454750,2140.839695
POA5243,2025,49125,117000,313500,2361.029412
POA5244,17800,254900,757625,826250,1875.328283
POA5245,9000,168575,475125,868250,2169.686163
POA5250,9825,177150,656875,1013750,2154.988399
POA5251,69975,948600,2681125,2853500,1863.822526
POA5252,18550,411350,1386625,1209750,1862.323077
POA5253,134225,1623475,2835375,1428250,1415.117509
POA5254,11925,180250,461000,276500,1602.887931
POA5255,49000,709875,1693250,1293500,1658.824181
POA5256,14050,128825,186125,119000,1357.575758
POA5259,10575,90950,144125,93250,1436.016949
POA5260,13500,204850,237000,97500,1279.74537
POA5261,4050,18150,81750,23500,1481.976744
POA5262,3300,30525,86750,46750,1656.683168
POA5263,0,5550,22000,21250,1952
POA5264,9375,111175,148375,110750,1411.431227
POA5265,3300,36950,67375,13750,1348.611111
POA5266,4275,45000,131375,70750,1687.248322
POA5267,11475,132950,344375,229500,1610.538117
POA5268,17875,242750,627500,358500,1600.288832
POA5269,1350,21275,39750,8250,1332.54717
POA5270,2250,35900,126625,125500,1922.350993
POA5271,41875,510225,1331250,985000,1671.532634
POA5272,3150,52375,160125,115750,1665.326633
POA5273,0,7200,14625,0,1364.0625
POA5275,18900,216000,343375,345250,1554.755892
POA5276,4500,82700,210625,150500,1672.854478
POA5277,19075,210950,512375,357750,1589.812139
POA5278,6000,45125,64625,42750,1331.932773
POA5279,8100,41575,90625,43250,1369.776119
POA5280,52600,575875,1081875,962750,1593.97734
POA5290,178225,1861475,4337875,2888500,1576.131145
POA5291,35300,523000,1631250,1886750,1939.248335
POA5301,6900,58175,80500,46750,1308.333333
POA5302,5675,65450,139500,136750,1719.678218
POA5303,0,14600,36375,8250,1600.675676
POA5304,3825,43625,154125,99500,1691.432584
POA5306,1575,3375,5500,9750,1262.5
POA5307,6450,59425,69375,35750,1257.352941
POA5308,1350,8250,29625,0,1307.5
POA5309,0,10425,32625,0,1484.482759
POA5310,0,3600,4125,8250,1597.5
POA5311,3150,32950,71500,47750,1618.229167
POA5320,13875,67200,68000,41750,1142.664671
POA5321,2475,31000,45750,11000,1171.753247
POA5322,5625,95775,178500,107750,1502.51938
POA5330,24025,289275,545000,367000,1501.593137
POA5331,2475,35525,66500,8250,1326.470588
POA5332,2700,45775,77125,23250,1391.121495
POA5333,38300,452375,1019375,650750,1559.018759
POA5340,4725,107925,259000,185250,1667.365269
POA5341,60075,639775,1143375,782250,1489.208735
POA5342,7700,95850,219750,163250,1660.580205
POA5343,37650,400125,667125,534750,1502.887259
POA5344,7050,71525,194750,107500,1560.758197
POA5345,31575,289525,553000,374250,1477.337278
POA5346,2250,28225,75000,20750,1434.375
POA5350,675,15775,85625,112250,2143.25
POA5351,26075,372400,1175625,1244000,1898.989218
POA5352,20450,341425,926000,1207750,1972.826087
POA5353,22700,275775,663625,687750,1795.266594
POA5354,6050,31450,31375,11000,1109.375
POA5355,28900,554475,1519125,1185750,1737.057581
POA5356,6675,52275,131500,87500,1502.432432
POA5357,3150,42450,46750,11000,1135.714286
POA5360,6525,63775,264125,233000,1878.890728
POA5371,2400,60825,247125,288750,2073.010381
POA5372,9950,133200,483875,345250,1745.556553
POA5373,18325,294025,601750,472750,1607.010429
POA5374,12475,110700,223625,152250,1450.726744
POA5381,3525,35275,46750,8250,1172.5
POA5400,1350,38725,196250,100250,1849.313187
POA5401,5900,66925,123500,93250,1548.529412
POA5410,1350,31225,55125,29500,1522.077922
POA5411,0,28025,35625,59000,1777.536232
POA5412,7700,112875,168000,117250,1465.072202
POA5413,7800,76450,116750,52500,1327.225131
POA5414,1800,11000,19000,0,1223.076923
POA5415,0,26650,31250,44000,1670.491803
POA5416,0,22500,37500,0,1304.347826
POA5417,7525,128750,208250,116500,1418.538462
POA5418,1350,5800,13625,15000,1626.136364
POA5419,1800,18225,34750,19500,1485.5
POA5420,0,5550,6500,0,1205
POA5421,2250,3900,19125,0,1053.125
POA5422,22625,165300,135250,92250,1144.421488
POA5431,6900,62200,140375,102500,1544.430693
POA5432,0,8000,34375,41000,2194.078947
POA5433,7200,99325,152375,185000,1675.09434
POA5434,1800,21825,48000,40000,1550.347222
POA5440,0,10775,30750,23250,1704.605263
POA5451,4325,50250,135125,80000,1586.470588
POA5452,1350,22675,127125,67500,1868.803419
POA5453,24175,348750,896500,798750,1746.769426
POA5454,3600,40875,47375,24750,1340.229885
POA5455,0,0,4875,0,1625
POA5460,4950,59750,113125,97750,1611.549708
POA5461,17050,200875,403875,351500,1660.921502
POA5462,1350,47750,85375,51250,1573.940678
POA5464,2400,59875,120750,64250,1585.096154
POA5470,0,10875,14625,28250,1853.448276
POA5471,0,6075,10375,8250,1543.75
POA5472,1350,18500,11625,0,1049.166667
POA5473,5775,76475,108125,37500,1273.044693
POA5480,6750,57225,130000,78250,1504.005525
POA5481,3375,56350,91000,64500,1505.06993
POA5482,0,29050,95250,74750,1895.714286
POA5483,300,19725,48375,59250,1905.223881
POA5485,3750,40400,74250,70000,1583.193277
POA5490,4050,8300,19125,18000,1413.571429
POA5491,9375,125150,321875,318750,1815.339578
POA5493,0,8250,0,0,916.6666667
POA5495,6450,61375,67500,83750,1470.302013
POA5501,40250,480000,1349375,1044500,1711.171462
POA5502,4875,109475,304625,216250,1689.428191
POA5510,0,10100,29625,15000,1765.322581
POA5520,3300,52125,68000,69000,1468.89313
POA5521,2700,15175,16500,15000,1334.459459
POA5522,14475,123025,179750,180000,1458.211144
POA5523,13050,130050,278375,385500,1789.301552
POA5540,126300,1203575,2118625,1795250,1522.575494
POA5550,4650,78075,153250,63000,1444.323671
POA5552,2250,28075,47875,75750,1832.738095
POA5554,42825,407450,803500,595000,1529.177006
POA5555,5175,44225,58750,60000,1449.568966
POA5556,40725,423700,502625,369000,1352.277328
POA5558,41100,488750,672125,429750,1382.817797
POA5560,5550,46225,60375,53000,1436.086957
POA5570,7200,55300,68875,26750,1225.775194
POA5571,13950,181275,249000,167750,1384.558824
POA5572,0,10125,20625,31000,1991.935484
POA5573,11825,155550,322250,246000,1595.715835
POA5575,19925,236000,299375,176250,1344.761029
POA5576,7425,92375,136000,137500,1511.336032
POA5577,4950,47075,76250,26250,1236.2
POA5580,1800,36825,48000,35750,1456.845238
POA5581,1350,73850,41750,50000,1294.186047
POA5582,5700,62625,96875,58000,1377.777778
POA5583,6300,79750,71125,42250,1216.006098
POA5600,36175,334650,964375,1622750,2044.194886
POA5601,3825,33000,44500,100750,1785.04902
POA5602,9150,108950,188000,168000,1534.304207
POA5603,2550,35875,70500,74250,1696.064815
POA5604,2700,16300,23625,8250,1240.853659
POA5605,11400,132050,257250,184000,1563.368984
POA5606,84250,985675,2152375,1962000,1676.681759
POA5607,28375,341950,805500,717500,1698.049327
POA5608,146675,977750,1630375,1510750,1458.307692
POA5609,9750,115075,312625,542000,2070.718816
POA5630,0,3375,18375,36250,2761.904762
POA5631,7700,70525,207000,157750,1779.016064
POA5632,0,8000,71375,73250,2422.619048
POA5633,1350,26000,49625,31250,1524.295775
POA5640,9975,59600,180125,133000,1628.510638
POA5641,6575,63600,189875,160750,1783.050847
POA5642,0,21800,40250,73000,2046.212121
POA5650,0,13800,32125,50750,2148.333333
POA5651,0,0,0,43250,4325
POA5652,2250,50150,135375,107000,1744.230769
POA5653,0,6075,6750,15000,2318.75
POA5654,2250,15650,43125,44500,1758.75
POA5655,0,9675,22125,13750,1687.037037
POA5660,0,0,0,0,0
POA5661,1350,14100,29125,36500,1801.666667
POA5670,2550,38050,77750,48000,1526.146789
POA5671,1350,11675,19000,34500,1847.916667
POA5680,10725,143000,321375,260500,1649.327354
POA5690,19650,201575,497125,484000,1750.14556
POA5700,85750,751375,1390125,1515750,1616.148532
POA5701,0,0,0,0,0
POA5710,9500,127800,374500,417750,1866.566265
POA5713,0,0,0,0,0
POA5715,0,0,0,0,0
POA5717,0,0,0,0,0
POA5719,0,0,0,0,0
POA5720,0,6075,25875,28000,2305.769231
POA5722,1800,15825,22125,55000,1822.115385
POA5723,7250,102850,205875,145500,1559.037162
POA5724,6300,27125,11625,31750,1146.268657
POA5725,5875,29975,530125,1789000,2973.453283
POA5730,1350,4875,16500,0,1262.5
POA5731,0,16500,42000,21250,1627.55102
POA5732,4050,14000,9000,0,872.5806452
POA5733,2700,12350,11625,0,987.962963
POA5734,3525,2300,6750,0,739.7058824
POA5950,0,0,0,0,0
POA5960,0,0,0,0,0
