POA_CODE_2016,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA5460,0,0,0,0,0,8,7,4,3,22,0,0,0,0,0,0,0,0,0,0,4,0,3,9,3,9,7,4,3,46,26,31,62,83,115,103,83,27,7,541
POA5461,0,3,0,7,12,11,46,57,57,191,4,0,0,0,0,0,0,0,0,0,4,10,16,15,23,18,31,21,19,149,52,144,223,299,330,319,308,178,116,1961
POA5462,0,0,0,0,0,0,5,8,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,12,23,58,57,64,53,40,25,6,347
POA5464,0,0,0,0,3,0,8,3,3,20,0,0,0,0,0,0,0,0,0,0,6,0,10,7,8,5,0,3,0,35,12,24,66,66,85,109,64,26,7,457
POA5470,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,12,11,18,18,23,7,3,104
POA5471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,0,3,9,19,15,6,3,4,69
POA5472,0,0,0,0,0,0,7,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,16,3,3,5,25,25,31,36,12,0,138
POA5473,0,0,0,0,0,5,21,10,0,42,0,0,0,0,0,0,0,0,0,3,3,5,7,4,0,8,15,3,3,48,16,33,69,54,98,120,124,41,9,572
POA5480,0,0,3,0,0,3,17,17,13,52,0,0,0,0,0,3,0,0,0,4,3,0,3,3,4,13,4,7,0,42,10,29,80,82,99,133,127,64,26,648
POA5481,0,0,0,0,0,0,21,7,4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,4,3,31,8,13,18,39,91,132,92,44,17,460
POA5482,0,0,0,0,0,3,4,18,18,47,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,3,3,11,29,7,17,36,45,77,72,55,51,40,400
POA5483,0,0,0,0,0,3,6,5,8,19,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,3,11,3,0,32,8,16,31,36,50,59,60,24,10,286
POA5485,0,0,0,0,4,9,12,8,3,37,0,0,0,0,0,0,0,0,0,0,3,0,7,4,11,7,6,9,0,50,15,16,45,60,75,102,87,42,10,449
POA5490,0,0,0,0,0,0,3,0,4,13,0,0,0,0,0,0,0,0,0,0,4,5,3,0,4,4,0,4,3,23,4,8,19,11,30,29,13,10,7,135
POA5491,0,0,3,0,0,14,39,38,27,116,0,0,0,0,0,0,0,0,0,0,6,4,15,12,23,23,20,13,29,143,31,104,185,199,237,279,213,126,90,1467
POA5493,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,10,0,0,10,11,9,15,11,4,0,67
POA5495,0,0,0,0,4,7,22,17,0,46,0,0,0,0,0,0,0,0,0,3,0,3,0,6,8,23,34,15,0,89,8,22,25,57,85,147,151,52,5,553
POA5501,3,6,7,18,27,57,117,57,26,316,0,0,0,0,3,9,5,7,0,27,26,26,55,67,98,86,68,25,18,463,215,412,722,970,1287,990,649,217,68,5521
POA5502,0,0,0,6,7,10,19,12,5,54,0,0,0,0,0,0,0,0,0,4,8,5,10,8,16,14,12,9,6,90,40,87,166,179,237,216,159,61,25,1169
POA5510,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,5,3,4,12,11,15,21,15,0,0,93
POA5520,0,0,0,0,0,3,19,14,5,45,0,0,0,0,0,0,0,0,0,3,0,0,3,3,6,7,5,3,8,36,6,16,66,46,74,93,72,44,20,445
POA5521,0,0,0,0,0,3,7,5,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,3,4,17,29,22,23,12,3,116
POA5522,0,0,0,0,3,14,40,47,30,127,0,0,0,0,0,0,0,0,0,0,3,0,3,4,18,19,35,28,22,140,19,20,77,97,163,276,308,174,85,1218
POA5523,0,0,0,0,5,9,30,36,21,109,0,0,0,0,0,0,0,0,0,0,7,4,5,12,18,21,22,17,8,104,34,103,167,178,268,286,253,130,65,1482
POA5540,3,3,17,42,58,137,385,333,179,1156,0,0,8,0,10,8,7,4,9,46,62,46,100,135,167,160,191,156,80,1109,414,854,1665,1733,2176,2028,1697,1025,419,12013
POA5550,0,0,0,3,5,6,17,9,3,46,0,0,0,0,3,3,0,0,0,3,3,0,11,5,9,14,3,3,3,57,23,48,113,111,131,145,99,39,10,720
POA5552,0,0,0,0,0,0,12,7,3,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,13,3,0,27,5,4,52,46,60,50,47,14,7,280
POA5554,4,4,7,12,20,37,104,75,44,303,0,3,0,0,0,3,0,0,0,13,24,30,44,43,65,66,75,65,52,472,136,267,533,537,713,666,557,353,150,3918
