POA_CODE_2016,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA5717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,3,6,3,5,0,0,27
POA5719,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,14,0,3,9,12,4,14,20,3,0,73
POA5720,0,0,0,0,3,6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,8,5,0,0,42,6,20,54,53,81,70,39,10,0,321
POA5722,0,0,0,0,0,3,16,8,0,26,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,11,15,0,40,8,10,32,25,54,50,54,30,4,265
POA5723,0,0,3,6,7,21,59,30,4,132,0,0,3,0,4,0,7,5,0,20,11,33,119,87,120,90,85,28,4,578,39,130,475,371,460,454,409,134,13,2485
POA5724,3,3,4,5,3,3,11,0,0,30,0,0,3,0,8,0,9,4,0,29,0,7,19,14,9,20,12,3,0,89,18,45,81,75,70,97,62,17,3,466
POA5725,0,0,3,9,6,4,5,0,0,37,0,0,0,0,0,0,0,0,0,3,13,35,155,135,112,62,8,0,0,529,80,297,1084,901,696,395,69,10,4,3532
POA5730,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,7,6,6,12,17,14,51,34,11,0,150
POA5731,0,0,0,0,4,6,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,13,31,51,49,36,13,4,0,201,6,53,194,216,266,182,55,10,0,986
POA5732,0,0,0,0,0,6,3,0,0,9,0,0,0,0,0,0,0,0,0,4,0,3,7,12,16,7,0,0,0,46,0,14,61,76,82,61,17,5,3,313
POA5733,0,0,0,0,4,5,4,5,0,14,0,0,0,0,0,0,0,0,0,0,0,3,19,13,21,23,10,0,0,89,7,18,79,64,79,97,42,7,0,404
POA5734,0,0,0,4,10,3,3,0,0,21,0,0,0,0,0,3,0,0,0,3,3,0,7,7,10,14,10,3,0,57,6,11,29,23,42,32,17,9,0,176
POA5950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
