POA_CODE_2016,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
POA5520,49,650,483,145,1205,0.7,790,2.1
POA5521,50,597,418,150,850,0.7,716,2.3
POA5522,60,1148,486,185,1172,0.7,796,1.9
POA5523,46,1042,557,169,1435,0.7,1019,2.4
POA5540,43,1018,484,170,1210,0.7,896,2.3
POA5550,40,867,597,195,1272,0.8,971,2.3
POA5552,42,672,528,120,1265,0.8,1048,2.6
POA5554,43,1154,526,220,1280,0.7,969,2.3
POA5555,53,725,476,100,1125,0.8,913,2.3
POA5556,53,1192,466,230,1027,0.7,827,2.1
POA5558,54,1181,464,235,1097,0.7,861,2.1
POA5560,44,867,462,150,1011,0.7,796,2.3
POA5570,60,819,446,105,1009,0.7,751,1.8
POA5571,58,1083,481,200,1092,0.7,801,2
POA5572,46,867,725,190,1821,0.6,1125,2.1
POA5573,50,975,501,140,1283,0.7,947,2.2
POA5575,54,1083,478,170,1082,0.7,860,2.1
POA5576,51,962,482,180,1158,0.7,837,2.2
POA5577,53,800,462,100,1081,0.7,785,2.1
POA5580,51,748,543,150,1151,0.7,882,2.2
POA5581,63,1042,487,200,992,0.6,829,1.9
POA5582,59,1083,473,230,1081,0.7,875,2
POA5583,60,997,454,185,1071,0.7,779,2
POA5600,44,1466,632,184,1852,0.7,1347,2.2
POA5601,51,1625,474,120,1228,0.7,911,2.1
POA5602,49,1192,584,200,1286,0.7,1098,2.3
POA5603,48,867,696,215,1220,0.8,1189,2.4
POA5604,55,1034,556,180,1231,0.7,911,1.9
POA5605,54,1185,579,190,1253,0.7,891,2
POA5606,40,1300,610,220,1398,0.8,1081,2.3
POA5607,43,1478,626,200,1431,0.8,1223,2.5
POA5608,38,1083,457,165,1121,0.7,805,2.2
POA5609,32,1825,738,250,1908,0.7,1655,2.6
POA5630,40,719,630,63,1624,0.8,1333,2.9
POA5631,41,1083,689,150,1474,0.8,1213,2.5
POA5632,33,697,833,60,2017,0.8,1888,3
POA5633,45,260,633,82,1264,0.7,1086,2.4
POA5640,46,867,626,150,1434,0.7,1059,2.1
POA5641,42,802,706,93,1448,0.7,1236,2.4
POA5642,43,0,713,0,1541,0.7,1152,2.6
POA5650,40,542,638,0,1843,0.8,1178,2.4
POA5651,42,956,1071,50,2625,0.6,1875,2.2
POA5652,40,867,656,154,1458,0.7,1166,2.4
POA5653,46,813,1042,80,2250,0.7,1625,2.5
POA5654,46,607,545,87,1281,0.7,820,2
POA5655,34,563,608,1,1199,0.7,1025,2.2
POA5660,32,0,714,0,1625,0.6,1416,2
POA5661,39,338,725,63,1350,0.8,1156,2.4
POA5670,50,1185,524,150,1239,0.8,933,2.2
POA5671,46,705,616,0,1281,0.7,985,1.9
POA5680,49,1300,663,182,1385,0.8,1218,2.3
POA5690,41,1281,674,172,1482,0.8,1229,2.5
POA5700,41,1167,580,177,1304,0.8,1044,2.3
POA5701,59,0,674,0,0,1,1062,0
