"","POA_CODE_2016","Total","Total.Male","Total.Female","tier.1.0.14","tier.2.15.19","tier.3.20.54","tier.4.54.100"
"73",5095,20723,10352,10373,3898,1265,11520,4035
"74",5096,13239,6598,6638,2568,848,6275,3557
"75",5097,13278,6515,6763,2286,788,5875,4340
"76",5098,12221,6046,6180,2206,664,5423,3931
"77",5106,320,216,103,0,36,173,105
"78",5107,17178,8511,8668,3537,1139,8304,4188
"79",5108,40356,20006,20343,8445,2666,19759,9481
"80",5109,20581,10155,10428,3828,1325,9372,6051
"81",5110,8923,4379,4540,2027,532,4360,2013
"82",5111,303,262,45,0,36,247,11
"83",5112,19701,9775,9928,3803,1316,8864,5734
"84",5113,18833,9413,9418,4298,1221,8575,4738
"85",5114,33540,16364,17174,8191,2417,16580,6353
"86",5115,10272,5012,5261,2829,643,5409,1393
"87",5116,9324,4436,4893,1906,646,3997,2764
"88",5117,2863,1450,1414,711,226,1360,559
"89",5118,18132,8783,9346,3296,1254,7945,5631
"90",5120,1982,1032,946,418,93,914,558
"91",5121,1643,814,829,266,79,702,599
"92",5125,18846,9061,9788,3687,1419,8796,4938
"93",5126,7019,3482,3533,1381,423,3232,1983
"94",5127,7648,3670,3977,1278,577,3513,2284
"95",5131,958,472,486,158,71,399,329
"96",5132,407,204,202,80,22,170,140
"97",5133,383,183,199,68,34,158,126
"98",5134,418,209,206,73,31,161,152
"99",5136,511,265,241,107,34,223,143
"100",5137,566,291,272,102,40,226,196
"101",5138,287,151,132,51,17,112,100
"102",5139,221,114,110,44,14,82,80
"103",5140,412,210,205,94,41,193,87
"104",5141,686,334,346,140,51,280,222
"105",5142,549,252,297,108,21,221,205
"106",5144,399,198,202,52,24,156,164
"107",5150,58,34,27,6,0,26,31
"108",5151,370,193,181,63,31,164,114
"109",5152,6028,2945,3083,1263,368,2386,2013
"110",5153,6290,3117,3174,1157,489,2682,1975
"111",5154,3296,1588,1711,681,230,1220,1160
"112",5155,3734,1788,1944,796,222,1688,1033
"113",5156,936,489,446,186,59,402,299
"114",5157,2844,1402,1443,468,199,1150,1028
"115",5158,24287,11864,12426,4706,1619,11484,6485
"116",5159,32153,15719,16437,5804,2286,14205,9858
"117",5160,25,11,13,0,3,6,12
"118",5161,10018,4917,5106,1788,586,4612,3037
"119",5162,33866,16446,17424,6245,2208,15446,9958
"120",5163,13852,6718,7135,2569,844,6232,4213
