"","POA_CODE_2016","M_0_149_CFNC","M_0_149_CF_C_und15","M_0_149_CFNC_und15","M_0_149_1PF_C_und15","M_0_149_1PFNC_und15","M_0_149_OthF","M_0_149_Tot","M_150_299_CFNC","M_150_299_CF_C_und15","M_150_299_CFNC_und15","M_150_299_1PF_C_und15","M_150_299_1PFNC_und15","M_150_299_OthF","M_150_299_Tot","M_300_449_CFNC","M_300_449_CF_C_und15","M_300_449_CFNC_und15","M_300_449_1PF_C_und15","M_300_449_1PFNC_und15","M_300_449_OthF","M_300_449_Tot","M_450_599_CFNC","M_450_599_CF_C_und15","M_450_599_CFNC_und15","M_450_599_1PF_C_und15","M_450_599_1PFNC_und15","M_450_599_OthF","M_450_599_Tot","M_600_799_CFNC","M_600_799_CF_C_und15","M_600_799_CFNC_und15","M_600_799_1PF_C_und15","M_600_799_1PFNC_und15","M_600_799_OthF","M_600_799_Tot","M_800_999_CFNC","M_800_999_CF_C_und15","M_800_999_CFNC_und15","M_800_999_1PF_C_und15","M_800_999_1PFNC_und15","M_800_999_OthF","M_800_999_Tot","M_1000_1199_CFNC","M_1000_1199_CF_C_und15","M_1000_1199_CFNC_und15","M_1000_1199_1PF_C_und15","M_1000_1199_1PFNC_und15","M_1000_1199_OthF","M_1000_1199_Tot","M_1200_1399_CFNC","M_1200_1399_CF_C_und15","M_1200_1399_CFNC_und15","M_1200_1399_1PF_C_und15","M_1200_1399_1PFNC_und15","M_1200_1399_OthF","M_1200_1399_Tot","M_1400_1599_CFNC","M_1400_1599_CF_C_und15","M_1400_1599_CFNC_und15","M_1400_1599_1PF_C_und15","M_1400_1599_1PFNC_und15","M_1400_1599_OthF","M_1400_1599_Tot","M_1600_1799_CFNC","M_1600_1799_CF_C_und15","M_1600_1799_CFNC_und15","M_1600_1799_1PF_C_und15","M_1600_1799_1PFNC_und15","M_1600_1799_OthF","M_1600_1799_Tot","M_1800_1999_CFNC","M_1800_1999_CF_C_und15","M_1800_1999_CFNC_und15","M_1800_1999_1PF_C_und15","M_1800_1999_1PFNC_und15","M_1800_1999_OthF","M_1800_1999_Tot","M_2000_2199_CFNC","M_2000_2199_CF_C_und15","M_2000_2199_CFNC_und15","M_2000_2199_1PF_C_und15","M_2000_2199_1PFNC_und15","M_2000_2199_OthF","M_2000_2199_Tot","M_2200_2399_CFNC","M_2200_2399_CF_C_und15","M_2200_2399_CFNC_und15","M_2200_2399_1PF_C_und15","M_2200_2399_1PFNC_und15","M_2200_2399_OthF","M_2200_2399_Tot","M_2400_2599_CFNC","M_2400_2599_CF_C_und15","M_2400_2599_CFNC_und15","M_2400_2599_1PF_C_und15","M_2400_2599_1PFNC_und15","M_2400_2599_OthF","M_2400_2599_Tot","M_2600_2999_CFNC","M_2600_2999_CF_C_und15","M_2600_2999_CFNC_und15","M_2600_2999_1PF_C_und15","M_2600_2999_1PFNC_und15","M_2600_2999_OthF","M_2600_2999_Tot","M_3000_3999_CFNC","M_3000_3999_CF_C_und15","M_3000_3999_CFNC_und15","M_3000_3999_1PF_C_und15","M_3000_3999_1PFNC_und15","M_3000_3999_OthF","M_3000_3999_Tot","M_4000_4999_CFNC","M_4000_4999_CF_C_und15","M_4000_4999_CFNC_und15","M_4000_4999_1PF_C_und15","M_4000_4999_1PFNC_und15","M_4000_4999_OthF","M_4000_4999_Tot","M_5000over_CFNC","M_5000over_CF_C_und15","M_5000over_CFNC_und15","M_5000over_1PF_C_und15","M_5000over_1PFNC_und15","M_5000over_OthF","M_5000over_Tot","M_NS_CFNC","M_NS_CF_C_und15","M_NS_CFNC_und15","M_NS_1PF_C_und15","M_NS_1PFNC_und15","M_NS_OthF","M_NS_Tot","Tot_CFNC","Tot_CF_C_und15","Tot_CFNC_und15","Tot_1PF_C_und15","Tot_1PFNC_und15","Tot_OthF","Tot_Tot"
"330","5719",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"331","5720",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"332","5722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,4,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,4,0,0,0,31
"333","5723",4,0,0,0,0,0,4,4,0,0,3,0,0,7,3,3,0,0,3,0,11,5,7,0,0,0,0,11,3,3,0,0,0,0,10,3,0,0,0,0,0,4,4,3,0,0,0,0,4,3,6,0,0,0,0,14,0,0,0,0,0,0,3,0,3,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,26,7,4,8,0,84
"334","5724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"335","5725",3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,5,0,0,0,0,0,0,0,3,3,0,0,0,0,13,4,6,0,0,0,0,12,3,5,3,0,0,0,15,4,8,3,0,0,0,18,4,12,0,0,0,0,16,5,10,4,0,0,0,16,8,17,5,0,0,0,30,8,9,0,0,0,0,16,4,3,0,0,0,0,16,9,17,5,0,0,0,27,4,9,3,0,0,0,22,0,3,0,0,0,0,7,3,0,0,0,0,0,7,3,0,3,3,0,0,12,75,112,26,8,12,0,232
"336","5730",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"337","5731",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"338","5732",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
"339","5733",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"340","5734",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"341","5950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"342","5960",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
