POA_CODE_2016,total.people,total.people.male,total.people.female,total.age.0-14,total.age.15-19,total.age.20-54,total.age.54-100,age.predominant.class,age.predominant.class.value,total.family.weekly.income.1-500,total.family.weekly.income.500-1249,total.family.weekly.income.1250-2499,total.family.weekly.income.2500-6000,average.family.weekly.income,averaga.family.weekly.income.class,family.comp.couples.no.children,family.comp.couples.children.under.15y,family.comp.one.parent.children.under.15y,family.com.predominant.class,family.com.predominant.class.value
5049,9590,4662,4930,1634,544,4151,3262,adults,4151,47150,584975,1749000,2917500,2094.318182,very high,2427,2984,490,family.comp.couples.children.under.15y,2984
5050,5484,2643,2834,865,382,2185,2036,adults,2185,22425,322775,942875,1656250,2127.402457,very high,1361,1608,213,family.comp.couples.children.under.15y,1608
5051,13725,6765,6960,2796,932,5955,4032,adults,5955,34575,675950,2566625,5179500,2339.969563,very high,3057,5464,509,family.comp.couples.children.under.15y,5464
5052,6205,3007,3200,1072,435,2530,2171,adults,2530,12375,293200,1135375,2505750,2434.731647,very high,1488,2148,225,family.comp.couples.children.under.15y,2148
5061,9578,4509,5067,1574,644,4361,2996,adults,4361,28575,332975,1156250,4970250,2887.427681,very high,2063,2978,313,family.comp.couples.children.under.15y,2978
5062,14668,6967,7698,2618,1078,6167,4815,adults,6167,41150,584800,1989750,6704250,2659.803082,very high,2909,5014,529,family.comp.couples.children.under.15y,5014
5063,12388,5767,6619,1978,709,5891,3804,adults,5891,33900,473300,1606125,4576500,2514.971805,very high,2294,3662,494,family.comp.couples.children.under.15y,3662
5064,9923,4543,5379,1611,819,3646,3840,seniors,3840,34900,399825,1224750,4403500,2674.44861,very high,2111,3095,301,family.comp.couples.children.under.15y,3095
5065,10279,4718,5561,1818,632,4268,3554,adults,4268,29125,442925,1292750,4136250,2579.130245,very high,1980,3495,369,family.comp.couples.children.under.15y,3495
5066,11615,5568,6047,2213,913,4609,3872,adults,4609,35925,416900,1472125,6203250,2844.016795,very high,2378,4371,415,family.comp.couples.children.under.15y,4371
5067,10175,4941,5233,1326,611,5122,3112,adults,5122,30150,399075,1273750,3713500,2536.990632,very high,2163,2356,377,family.comp.couples.children.under.15y,2356
5068,12139,5513,6625,1834,910,5225,4168,adults,5225,50325,570900,1549750,4353500,2413.790233,very high,2405,3438,477,family.comp.couples.children.under.15y,3438
5069,8260,4090,4168,1326,501,4058,2379,adults,4058,29300,328925,1010250,3629500,2648.6354,very high,1696,2533,266,family.comp.couples.children.under.15y,2533
5070,14191,6668,7520,2054,699,6801,4637,adults,6801,64625,881025,2043625,3457000,2006.934932,very high,2939,3904,503,family.comp.couples.children.under.15y,3904
5072,12542,5978,6563,2092,871,5605,3970,adults,5605,53975,700800,1782500,3963000,2202.736361,very high,2523,3925,552,family.comp.couples.children.under.15y,3925
5073,15190,7373,7815,2560,983,6936,4705,adults,6936,72300,1030675,2496250,3637750,1944.900564,high,3068,4931,647,family.comp.couples.children.under.15y,4931
5074,13005,6339,6670,2165,719,5954,4167,adults,5954,80750,916350,2251500,2015750,1722.627618,high,2491,3948,650,family.comp.couples.children.under.15y,3948
5075,10588,5129,5466,1741,616,4613,3620,adults,4613,54025,762650,1845500,2162500,1830.996205,high,2380,3178,485,family.comp.couples.children.under.15y,3178
5076,9061,4500,4564,1487,630,4080,2862,adults,4080,35875,535950,1756750,2693250,2077.709971,very high,1987,2954,321,family.comp.couples.children.under.15y,2954
5081,9449,4580,4874,1430,605,4165,3257,adults,4165,29975,342400,1196875,3933000,2646.584897,very high,2016,2634,292,family.comp.couples.children.under.15y,2634
5082,14773,7420,7357,2496,817,7591,3870,adults,7591,49225,680850,2112875,4854750,2336.176024,very high,2649,4946,455,family.comp.couples.children.under.15y,4946
5083,7379,3651,3727,1303,374,3769,1940,adults,3769,24175,401200,1203000,2046500,2130.362319,very high,1353,2537,289,family.comp.couples.children.under.15y,2537
5084,10099,5354,4745,1816,598,5433,2256,adults,5433,78750,728450,1123000,788500,1396.353364,low,1318,2911,789,family.comp.couples.children.under.15y,2911
5085,20167,10225,9939,3705,1037,10992,4426,adults,10992,104875,1186400,3229250,3395750,1804.896261,high,3406,6864,1191,family.comp.couples.children.under.15y,6864
