POA_CODE_2016,kids,adults,seniors
5555,68,15,173
5556,572,187,1409
5558,674,206,1503
5560,93,23,160
5570,45,16,151
5571,208,59,506
5572,33,3,59
5573,362,88,699
5575,336,104,698
5576,177,49,342
5577,60,31,172
5580,59,11,109
5581,32,11,122
5582,75,36,170
5583,91,25,210
5600,993,371,2713
5601,72,20,177
5602,248,52,607
5603,104,21,255
5604,19,4,88
5605,233,68,592
5606,2660,849,6022
5607,963,275,2092
5608,2650,845,6097
5609,460,113,924
5630,26,10,60
5631,230,54,427
5632,71,17,122
5633,68,14,139
5640,200,56,495
5641,241,37,442
5642,66,20,117
5650,45,7,77
5651,13,4,41
5652,174,34,332
5653,22,0,29
5654,49,9,94
5655,28,0,38
5660,15,3,27
5661,29,0,56
5670,98,14,181
5671,37,0,84
5680,390,86,1027
5690,784,238,1849
5700,2159,612,5040
5701,3,0,3
5710,477,140,1455
5713,4,0,18
5715,21,0,25
5717,4,0,21
5719,3,0,28
5720,14,4,208
5722,37,17,121
5723,299,76,1470
5724,82,23,284
5725,1007,161,2978
5730,9,3,51
5731,96,11,740
5732,27,3,234
5733,44,15,248
5734,37,14,124
5950,0,0,0
5960,0,0,0
