POA_CODE_2016,AUD 1-500,AUD 500-1249,AUD 1250-2499,AUD 2500-6000
5320,13875,67200,68000,41750
5321,2475,31000,45750,11000
5322,5625,95775,178500,107750
5330,24025,289275,545000,367000
5331,2475,35525,66500,8250
5332,2700,45775,77125,23250
5333,38300,452375,1019375,650750
5340,4725,107925,259000,185250
5341,60075,639775,1143375,782250
5342,7700,95850,219750,163250
5343,37650,400125,667125,534750
5344,7050,71525,194750,107500
5345,31575,289525,553000,374250
5346,2250,28225,75000,20750
5350,675,15775,85625,112250
5351,26075,372400,1175625,1244000
5352,20450,341425,926000,1207750
5353,22700,275775,663625,687750
5354,6050,31450,31375,11000
5355,28900,554475,1519125,1185750
5356,6675,52275,131500,87500
5357,3150,42450,46750,11000
5360,6525,63775,264125,233000
5371,2400,60825,247125,288750
5372,9950,133200,483875,345250
5373,18325,294025,601750,472750
5374,12475,110700,223625,152250
5381,3525,35275,46750,8250
5400,1350,38725,196250,100250
5401,5900,66925,123500,93250
5410,1350,31225,55125,29500
5411,0,28025,35625,59000
5412,7700,112875,168000,117250
5413,7800,76450,116750,52500
5414,1800,11000,19000,0
5415,0,26650,31250,44000
5416,0,22500,37500,0
5417,7525,128750,208250,116500
5418,1350,5800,13625,15000
5419,1800,18225,34750,19500
5420,0,5550,6500,0
5421,2250,3900,19125,0
5422,22625,165300,135250,92250
5431,6900,62200,140375,102500
5432,0,8000,34375,41000
5433,7200,99325,152375,185000
5434,1800,21825,48000,40000
5440,0,10775,30750,23250
5451,4325,50250,135125,80000
5452,1350,22675,127125,67500
5453,24175,348750,896500,798750
5454,3600,40875,47375,24750
5455,0,0,4875,0
5460,4950,59750,113125,97750
5461,17050,200875,403875,351500
5462,1350,47750,85375,51250
5464,2400,59875,120750,64250
5470,0,10875,14625,28250
5471,0,6075,10375,8250
5472,1350,18500,11625,0
5473,5775,76475,108125,37500
5480,6750,57225,130000,78250
5481,3375,56350,91000,64500
5482,0,29050,95250,74750
5483,300,19725,48375,59250
5485,3750,40400,74250,70000
5490,4050,8300,19125,18000
5491,9375,125150,321875,318750
5493,0,8250,0,0
5495,6450,61375,67500,83750
5501,40250,480000,1349375,1044500
5502,4875,109475,304625,216250
5510,0,10100,29625,15000
5520,3300,52125,68000,69000
5521,2700,15175,16500,15000
5522,14475,123025,179750,180000
5523,13050,130050,278375,385500
5540,126300,1203575,2118625,1795250
5550,4650,78075,153250,63000
5552,2250,28075,47875,75750
5554,42825,407450,803500,595000
5555,5175,44225,58750,60000
5556,40725,423700,502625,369000
5558,41100,488750,672125,429750
5560,5550,46225,60375,53000
5570,7200,55300,68875,26750
5571,13950,181275,249000,167750
5572,0,10125,20625,31000
5573,11825,155550,322250,246000
5575,19925,236000,299375,176250
5576,7425,92375,136000,137500
5577,4950,47075,76250,26250
5580,1800,36825,48000,35750
5581,1350,73850,41750,50000
5582,5700,62625,96875,58000
5583,6300,79750,71125,42250
5600,36175,334650,964375,1622750
5601,3825,33000,44500,100750
5602,9150,108950,188000,168000
5603,2550,35875,70500,74250
5604,2700,16300,23625,8250
5605,11400,132050,257250,184000
5606,84250,985675,2152375,1962000
5607,28375,341950,805500,717500
5608,146675,977750,1630375,1510750
5609,9750,115075,312625,542000
5630,0,3375,18375,36250
5631,7700,70525,207000,157750
5632,0,8000,71375,73250
5633,1350,26000,49625,31250
5640,9975,59600,180125,133000
5641,6575,63600,189875,160750
5642,0,21800,40250,73000
5650,0,13800,32125,50750
5651,0,0,0,43250
5652,2250,50150,135375,107000
5653,0,6075,6750,15000
5654,2250,15650,43125,44500
5655,0,9675,22125,13750
5660,0,0,0,0
5661,1350,14100,29125,36500
5670,2550,38050,77750,48000
5671,1350,11675,19000,34500
5680,10725,143000,321375,260500
5690,19650,201575,497125,484000
5700,85750,751375,1390125,1515750
5701,0,0,0,0
5710,9500,127800,374500,417750
5713,0,0,0,0
5715,0,0,0,0
5717,0,0,0,0
5719,0,0,0,0
5720,0,6075,25875,28000
5722,1800,15825,22125,55000
5723,7250,102850,205875,145500
5724,6300,27125,11625,31750
5725,5875,29975,530125,1789000
5730,1350,4875,16500,0
5731,0,16500,42000,21250
5732,4050,14000,9000,0
5733,2700,12350,11625,0
5734,3525,2300,6750,0
5950,0,0,0,0
5960,0,0,0,0
