"","POA_CODE_2016","CF_no_children_F","CF_no_children_P","CF_ChU15_a_Total_F","CF_ChU15_a_Total_P","OPF_ChU15_a_Total_F","OPF_ChU15_a_Total_P"
"155","5242",192,384,131,508,25,68
"156","5243",116,220,49,198,15,47
"157","5244",446,877,346,1413,61,161
"158","5245",376,746,225,922,38,94
"159","5250",346,672,349,1432,70,184
"160","5251",1514,2981,1208,4911,360,1052
"161","5252",648,1272,643,2553,141,401
"162","5253",2105,4183,1133,4677,531,1595
"163","5254",296,595,189,783,31,105
"164","5255",1180,2312,713,2939,185,540
"165","5256",197,393,62,244,30,88
"166","5259",142,285,68,284,22,65
"167","5260",243,483,95,399,59,158
"168","5261",47,91,28,121,8,26
"169","5262",55,99,36,142,6,19
"170","5263",15,37,5,29,0,0
"171","5264",183,346,68,281,27,76
"172","5265",47,90,39,158,12,26
"173","5266",83,165,56,242,4,11
"174","5267",256,496,166,715,22,65
"175","5268",406,790,263,1102,44,137
"176","5269",25,53,16,78,4,14
"177","5270",81,161,54,232,0,0
"178","5271",911,1793,596,2473,124,363
"179","5272",129,244,55,233,14,33
"180","5273",16,27,12,55,0,0
"181","5275",367,723,163,644,29,94
"182","5276",174,350,68,269,8,28
"183","5277",356,692,223,927,58,164
"184","5278",70,144,30,129,20,46
"185","5279",80,153,32,143,13,42
"186","5280",942,1844,486,2064,133,393
"187","5290",2696,5313,1824,7518,770,2198
"188","5291",1042,2060,793,3291,109,311
"189","5301",96,182,40,186,13,28
"190","5302",117,224,67,260,9,21
"191","5303",13,30,17,78,0,0
"192","5304",92,178,55,217,11,27
"193","5306",5,16,3,18,3,10
"194","5307",83,165,37,150,10,35
"195","5308",19,43,13,58,0,3
"196","5309",18,34,10,41,0,3
"197","5310",7,14,6,16,0,0
"198","5311",48,100,30,144,4,8
"199","5320",106,207,20,76,20,53
"200","5321",58,117,9,50,3,17
"201","5322",149,297,58,247,15,44
"202","5330",460,901,233,962,84,222
"203","5331",46,97,23,108,5,15
"204","5332",59,116,26,98,16,48
"205","5333",733,1455,406,1698,131,382
"206","5340",187,374,99,392,20,60
"207","5341",921,1814,499,2059,191,562
"208","5342",161,309,72,306,23,83
"209","5343",545,1076,305,1239,151,466
"210","5344",123,252,76,306,14,50
"211","5345",433,860,219,912,93,262
"212","5346",55,101,27,104,11,22
"213","5350",52,100,44,179,6,26
"214","5351",696,1386,516,2111,97,287
"215","5352",675,1317,375,1524,97,262
"216","5353",475,939,264,1085,74,216
"217","5354",43,82,11,54,4,10
"218","5355",957,1886,613,2513,136,400
"219","5356",93,187,60,250,15,28
"220","5357",62,121,22,86,11,25
